cls,source_id,sig,P_d,M2_msun,G,bp_rp,simbad_main,otype,sp_type,has_HD,has_HIP,has_GJ,has_TYC,named_ids
BH,692538600029976064,191.31996154785156,587.6408113374574,10.1963,9.349504470825195,0.6611423492431641,BD+27  1683,SB*,F8,false,false,false,true,BD+27  1683
BH,6139235843567141248,158.2244415283203,419.69711631658015,4.5616,9.88216495513916,1.0898237228393555,CD-40  7655,SB*,"",false,false,false,true,""
BH,6696544512063546624,123.27660369873047,666.0498809843191,3.2822,10.273303031921387,1.195302963256836,CD-34 14408,SB*,"",false,false,false,true,""
BH,6881234840303845504,111.22132110595703,705.0691924777432,3.2923,12.244955062866211,0.8155546188354492,UCAC4 395-121595,SB*,"",false,false,false,false,""
BH,6811355413155399040,94.61969757080078,951.9482033702395,7.565,8.719406127929688,0.6951093673706055,HD 207141,*,F5V,true,false,false,true,HD 207141
BH,3229063344935793024,88.76564025878906,830.1470066526825,4.9769,10.819879531860352,1.1448822021484375,TYC  102-1311-1,*,"",false,false,false,true,""
BH,3286048867940514304,79.12081146240234,872.7070610684113,4.0558,8.159612655639648,1.3643064498901367,HD  29124,SB*,K,true,false,false,true,BD+06   709|HD  29124
BH,4433039709908858496,76.32177734375,312.3657389777321,3.2779,8.735615730285645,1.139103889465332,HD 147132,SB*,G6IV/V,true,false,false,true,BD+02  3078|HD 147132
BH,3509370326763016704,76.10486602783203,109.3921278129309,3.8839,12.469695091247559,1.358475685119629,GALEX J130117.1-185207,**,"",false,false,false,false,""
BH,4277855016732107520,75.39857482910156,424.4031062075086,13.6594,11.249515533447266,0.9928140640258789,TYC  436-126-1,*,"",false,false,false,true,""
BH,3457836839541875968,73.4832763671875,1098.6870459182715,3.6578,6.999918460845947,1.8106961250305176,HD  39923,SB*,K5,true,false,false,true,BD+38  1337|HD  39923
BH,6098609404322956544,70.66064453125,872.6949680769353,3.1706,12.866613388061523,0.8722114562988281,,,,false,false,false,false,""
BH,6471824298353396736,64.44401550292969,490.7924257670868,3.6269,10.811073303222656,0.6594972610473633,TYC 8785-1657-1,SB*,"",false,false,false,true,""
BH,646385744755529088,61.39568328857422,497.74167927288426,3.5453,12.539128303527832,0.8062677383422852,UCAC4 578-046427,SB*,"",false,false,false,false,""
BH,6545745216706898560,60.160709381103516,587.0433001319719,5.5402,11.24887466430664,0.7206630706787109,TYC 8007-359-1,*,"",false,false,false,true,""
BH,4471137714791574912,59.9361457824707,850.1690213921561,3.1314,12.881319999694824,0.9525032043457031,LP  569-12,PM*,"",false,false,false,false,""
BH,4161201712124704128,56.54991912841797,1106.5953828221172,3.1461,8.053447723388672,2.03607177734375,HD 169134,SB*,K5,true,false,false,true,BD-05  4648|HD 169134
BH,3868256247828634112,53.98655700683594,763.3802737725231,3.2256,11.720399856567383,0.8517036437988281,,,,false,false,false,false,""
BH,1714135092946125184,53.900177001953125,618.0854603010948,4.0864,4.3238396644592285,1.5702972412109375,*   4 UMi,SB*,K3-IIIbFe-0.5,true,true,false,true,HIP 69112|*   4 UMi|BD+78   478|HD 124547|HR  5321
BH,3314911048168722432,48.5894889831543,930.7966299860044,3.3298,8.463312149047852,2.0419325828552246,HD 288392,*,M0,true,false,false,true,BD+01  1204|HD 288392
BH,6042337086405761280,48.18854904174805,709.4489757947607,3.6642,12.049622535705566,1.1374692916870117,,,,false,false,false,false,""
BH,4530990974586786304,45.76750946044922,552.0362064507447,3.4801,10.564544677734375,1.295454978942871,HD 349055,SB*,G5,true,false,false,true,BD+20  3885|HD 349055
BH,1913089145012902016,38.089298248291016,874.6780625674393,3.2105,10.362242698669434,0.6260995864868164,TYC 2773-348-1,SB*,"",false,false,false,true,""
BH,2007282931791340544,36.311119079589844,936.3209476099831,3.294,10.239288330078125,0.6636381149291992,TYC 3992-1516-1,SB*,"",false,false,false,true,""
BH,3024642795934503808,35.218177795410156,921.1207024472291,3.3299,10.209256172180176,1.9195575714111328,TYC 4786-2091-1,*,"",false,false,false,true,""
BH,666596383384888320,32.06718444824219,945.7448389368586,3.8756,9.89788818359375,0.5600833892822266,TYC 1363-2339-1,SB*,"",false,false,false,true,""
BH,3396420280383215360,32.0366096496582,620.1455017352118,3.4973,10.117246627807617,0.5616931915283203,TYC 1299-727-1,SB*,"",false,false,false,true,""
BH,6784701430232308352,30.364852905273438,522.4357533498489,3.7143,11.746414184570312,0.8804292678833008,,,,false,false,false,false,""
BH,6656986282721029120,27.97608757019043,443.9038845581417,3.1437,6.469020366668701,1.7725443840026855,HD 178734,*,K5III,true,true,false,true,HIP 94365|HD 178734
BH,826299038567583744,27.892467498779297,1164.7737965940294,3.2234,11.70923137664795,0.7362308502197266,TYC 3432-119-1,SB*,"",false,false,false,true,""
BH,1330195012735726208,27.88136863708496,1152.7195624520773,3.0857,5.160966873168945,1.556495189666748,HD 145849,SB*,K3III,true,true,false,true,HIP 79358|BD+36  2706|HD 145849|HR  6046
BH,793712979957805440,26.473167419433594,859.3836301581845,3.1875,12.297215461730957,0.7524023056030273,UCAC4 618-047163,SB*,"",false,false,false,false,""
