name,hip,gaia_dr3_source_id,vmag,spectral_type,distance_pc,category,nss_pool,p_orb_d,m2_mj_marginalized_median,m2_marginalized_1sigma_lo,m2_marginalized_1sigma_hi,hgca_snrpma,kervella_m2_5au_mj,kervella_snrpma,penoyre_ruwe_value,gaia_rv_amplitude_robust_kms,archival_rv_summary,p_substellar_marginalized,filters_passed,status_tentative_only,notes,fp_risk_tier,P_real_companion,P_substellar_given_real,P_real_substellar,companion_class
HD 101767,57135,841536616165020416,8.88,F8,,filter_survivor_substellar_candidate,nss_orbital,486.0,62,55,68,2.79,8.4,low,2.94,3.0,APOGEE 2 epochs over 27d; Gaia DR3 rv_amplitude_robust = 3.0 km/s across 21 transits with rv_chisq_pvalue = 2.8e-11 indicating significant RV variability,0.9999,35/35,TENTATIVE,Pipeline-derived; mass posterior depends on inclination prior; no orbital RV time-series available,low,0.992,0.99,0.982,substellar_BD
HD 104828,58863,3905850581902839168,9.86,K0,33,filter_survivor_substellar_candidate_triple_corroborated,nss_acceleration,~3600,41,30,55,23.6,4.2,low,1.86,,CARMENES Cortes-Contreras 2024: 3 epochs over 88d with K_pp = 1.30 km/s,0.9,35/35 + HIP Sn=7 pre-Gaia stochastic,TENTATIVE_TRIPLE_CORROBORATED,"v1.16.0 (2026-05-17) full Hipparcos van Leeuwen 2007 bulk pull (117,955 rows) reveals HIP 58863 has Sn=7 (stochastic-motion classification — Hipparcos itself flagged anomalous motion not fit by single-star model). This is a PRE-Gaia independent astrometric companion signature. Combined with Gaia DR3 NSS Acceleration + HGCA chi^2=23.6 (Hipparcos-to-Gaia 25-yr PMa) + CARMENES 3-epoch RV, HD 104828 is now TRIPLE-corroborated: (1) Hipparcos own Sn=7 stochastic, (2) HGCA 25-yr PMa, (3) DR3 NSS Acceleration. The HIP Sn=7 pre-dates Gaia by 26 years; the companion has been astrometrically detectable since 1991 but never published. RV peak-to-peak roughly consistent with predicted K at substellar mass but only 3 archival epochs.",negligible,0.998,0.95,0.948,substellar_BD
HD 140895,77262,4395581616493055616,9.39,,,multi_body_pmaexcess_candidate,nss_orbital_inner,1460.0,113,,,17.6,133.1,moderate,,,Pipeline excess Kervella dVt at sigma >3 above inner-orbit prediction,,12/12 (multi-body filter set),TENTATIVE_MULTIBODY,Inner orbit fit pipeline output; outer body inferred from Kervella PMa residual; not verified by RV,inner_orbit_elevated,0.711,0.4,0.284,substellar_BD
HD 140940,77357,6015027554036714496,8.72,,,multi_body_pmaexcess_candidate,nss_orbital_inner,924.0,183,,,18.4,131.9,moderate,,,Pipeline excess Kervella dVt above inner-orbit prediction,,12/12,TENTATIVE_MULTIBODY,Same caveats as HD 140895,inner_orbit_elevated,0.802,0.4,0.321,substellar_BD
BD+46 2473,90060,2121783289552546432,8.97,,,multi_body_pmaexcess_candidate,nss_orbital_inner,496.0,74,,,1.87,40.8,low,,,Pipeline excess Kervella dVt above inner-orbit prediction at 3.3 sigma (weak),,12/12,TENTATIVE_MULTIBODY,PMa excess only marginally above 3 sigma threshold,inner_orbit_elevated,0.711,0.3,0.213,substellar_BD
BD+35 228,5787,321123400368013696,9.08,G0,134,multi_body_pmaexcess_candidate,nss_orbital_inner,560.0,53,,,5.85,23.6,low,,,Pipeline excess Kervella dVt above inner-orbit prediction at 3.2 sigma (weak); prior orvara fit prefers different inner P,,12/12,TENTATIVE_MULTIBODY_WITH_INNER_AMBIGUITY,Inner NSS P may be aliased,inner_orbit_elevated,0.802,0.3,0.241,substellar_BD
HIP 60865,60865,1518957932040718464,12.086,"M dwarf (G 123-34, high-PM)",,filter_survivor_substellar_candidate_hgca_corroborated,nss_orbital,500.69,48,40,65,,,,3.84,,No archival RV; Gaia DR3 NSS Orbital + HGCA Brandt 2024 chi^2=10.5 (independent 25-yr PM anomaly corroboration). G 123-34 = Luyten high-PM star (M dwarf).,0.7,35/35 + v2 tuned + HGCA-corroborated (chi^2=10.5 in CORROBORATED range),TENTATIVE_HGCA_CORROBORATED_BD,"NEW from comprehensive v2 scan. NSS Orbital P=500.69 d, e=0.25, M_2_marg=48.8 MJ. HGCA Brandt 2024 chi^2=10.5 confirms real 25-yr PM anomaly INDEPENDENT of NSS fit. Faint M-dwarf host (V=12.09, G 123-34). RUWE=3.84 (expected for orbital reflex). Significance=34.1. Pure Orbital solution type (FP-class-cleared). NOT in NASA Exo, NOT in exoplanet.eu (5 arcsec), NOT in SB9.",low,0.95,0.7,0.665,substellar_BD
HIP 20122,20122,3255968634985106816,13.485,M dwarf,,filter_survivor_substellar_candidate_hgca_corroborated,nss_orbital,254.73,64,50,85,,,,5.82,,No archival RV; Gaia DR3 NSS Orbital + HGCA Brandt 2024 chi^2=5.1 (mild but real independent corroboration).,0.65,35/35 + v2 tuned + HGCA-corroborated (chi^2=5.1 borderline),TENTATIVE_HGCA_CORROBORATED_BD,"NEW from comprehensive v2 scan. NSS Orbital P=254.7 d, e=0.17, M_2_marg=64 MJ. HGCA Brandt 2024 chi^2=5.1 in mild corroboration range. Faint M-dwarf host (V=13.49). RUWE=5.82 (high but expected for orbital reflex). Significance=28.6. Pure Orbital. Confirmation needs faint-target precision RV (CARMENES, MAROON-X).",low,0.85,0.65,0.553,substellar_BD
BD+56 1762,72389,1607476280298633984,10.03,G5/G7,98,filter_survivor_substellar_candidate_hgca_corroborated,nss_orbital,197.3,69,60,95,10.3,,,2.27,,"No archival RV time-series. SIMBAD obj_type=Em* (emission-line star). 24 ADS bibcodes; none claim a companion mass. NOT in exoplanet.eu, NASA Exo, Sahlmann 2025, or Halbwachs M2 decomposition. TESS LS P_rot=4.12d, A_ptp=3.39 ppt (v1.12.0). Activity-jitter quantified in v1.14.0 via Aigrain FF: sigma_jitter ~14.5 m/s, vs predicted orbital K_1 ~2100 m/s -> K/jitter = 144, orbital signal dominates by 2 orders of magnitude. Activity is real but not confirmation-blocking.",0.55,35/35 + v8 tuned (Filter #28 PM-corr) + HGCA-corroborated (chi^2=10.3) + independent PMa (chi^2=13.4) + TESS no-transit + jitter K/sigma=144,TENTATIVE_HGCA_CORROBORATED_BD,"NEW from v7 hunt + v8 Filter #28 fix (2026-05-17). NSS Orbital P=197.3 d, e=0.42, M_2_face=67.7 MJ, M_2_marg=69.1 MJ (2σ_hi=96). HGCA Brandt 2024 chi^2=10.3. Independent 25-yr PMa chi^2=13.4 at 3.7σ (v1.11.0). TESS: no transit, LS P_rot=4.12d (v1.12.0). v1.14.0 activity-jitter quantification: sigma_RV ~ 14.5 m/s, orbital K ~ 2100 m/s, K/sigma_jitter ~ 144 — orbital signal dominates activity by 2 orders of magnitude. G5/G7 dwarf at d=98 pc, V=10.03. RUWE=2.27 (orbital reflex). non_single_star=1. ipd_frac_multi_peak=1. The young moderately-active host (age ~100-1000 Myr from gyrochronology) does NOT compromise the orbital interpretation. Single quadrature RV epoch at K~2 km/s amplitude is decisive (TRES at 30 m/s gives SNR ~ 60).",low_to_moderate,0.88,0.55,0.484,substellar_BD
HD 134574,74357,6201369829768493696,7.01,G8III,116,filter_survivor_substellar_candidate_hgca_corroborated,nss_acceleration,,29,,140,17.9,,,2.09,,"No archival RV (ESO/HARPS/HIRES = 0 hits). SIMBAD obj_type=* (no special class). 15 ADS bibcodes (all generic catalog refs: Brandt 2021 HGCA, Kervella 2022 PMa, Gaia DR3 — no companion paper). NOT in exoplanet.eu, NASA Exo, Sahlmann 2025, Halbwachs binary_masses. NOT in WDS or visual-double catalogs. G8III GIANT host (M_1 ~ 2.24 M_sun) — unusual host class for BD-companion searches, may explain why this candidate has not been previously catalogued.",0.45,35/35 + v8 tuned + v10 conditional-RUWE-extended-to-Accel (Fix E) + HGCA-corroborated (chi^2=17.9),TENTATIVE_HGCA_CORROBORATED_BD_ACCEL,"NEW from v1.15.0 Fix E (conditional RUWE extended to Acceleration solution types, 2026-05-17). NSS Acceleration9 solution (no measured P — orbital period unconstrained; cascade marginalizes log-uniform over 1-100 yr). M_host_used=2.24 M_sun (G8III giant). M_2_marg=28.6 MJ (substellar at the marginalized estimate). 2σ_hi=140 MJ (mass-ambiguous: could be low-mass star at 2σ tail). HGCA Brandt 2024 chi^2=17.9 corroborates a real 25-yr proper-motion anomaly. Kervella H2G2 SNR=1.26 (no Kervella corroboration). G8III giant at d=116 pc, V=7.01 (very bright — easy follow-up). RUWE=2.09 (above strict 2.0 cut but expected for orbital reflex; Acceleration solutions inherently have elevated RUWE per Fix E rationale). significance=21. Southern target (Dec=-33.6) — ESO/La Silla accessible (HARPS, FEROS, CORALIE). The acceleration solution implies P > 3 yr; mass interpretation is more uncertain than for Orbital sources due to unconstrained P. Recommend long-baseline RV (year-scale) to constrain P, then direct mass from K_1.",moderate,0.85,0.45,0.383,substellar_BD
