HIP,Sn,Plx,e_Plx,Hpmag
2,75,20.85,1.13,9.4017
25,15,12.29,0.77,6.4211
37,55,2.62,2.55,10.5345
40,15,-2.26,3.22,10.336
45,15,16.05,1.06,9.7391
50,15,16.83,0.51,6.6231
55,15,15.4,0.69,7.5159
70,95,5.94,3.08,10.587
71,95,7.3,1.36,8.4174
96,15,28.45,4.96,10.6082
110,15,20.15,0.89,8.7231
114,15,8.49,1.0,8.06
151,15,7.36,0.77,7.8718
154,7,7.55,0.59,4.412
169,15,65.24,1.76,9.3369
171,1,82.17,2.23,5.8735
174,15,4.72,1.22,9.0247
178,15,9.19,1.42,8.0951
190,55,11.43,0.93,8.8555
201,55,10.85,1.05,8.3428
207,95,0.73,1.46,6.0384
209,95,-7.07,3.5,7.3013
210,55,7.42,1.45,9.1827
221,95,6.72,0.8,7.788
223,15,23.46,0.91,7.2894
227,95,11.46,3.56,9.9156
229,15,2.85,1.52,8.3179
250,15,4.01,1.05,8.3196
252,15,-1.25,2.0,10.4711
261,15,4.98,1.61,9.2118
267,15,10.15,0.76,8.1794
274,55,1.31,0.38,6.3325
275,15,5.94,1.87,9.5343
305,7,21.32,0.77,7.8093
306,15,13.38,1.44,8.7158
313,15,9.77,1.08,8.1114
316,15,5.67,0.65,7.2951
363,7,3.76,1.19,8.1265
365,15,2.59,0.56,6.1627
374,15,5.64,1.42,7.1831
375,15,34.52,30.08,9.2171
385,15,10.81,2.14,9.4801
391,15,6.1,1.23,8.2768
392,15,8.8,1.36,8.0328
394,1,25.52,3.28,6.2283
398,15,1.19,0.54,6.621
404,15,14.06,0.9,7.5396
412,15,6.48,1.28,8.7557
423,95,3.95,1.91,7.8705
426,95,-0.15,2.27,9.5468
