name,HIP,dmu_ra,dmu_de,sig_dmu_ra,sig_dmu_de,abs_dmu,sig_combined,significance,chi2_ours,chi2_brandt,agreement_ours_brandt
HD 101767,57135,-0.177,0.066,0.0418,0.0486,0.189,0.0641,4.5,19.84,14.22,1.4
HD 104828,58863,3.813,0.525,0.0789,0.0579,3.849,0.0979,49.2,2417.16,,
HD 140895,77262,0.182,-4.287,0.1527,0.0988,4.291,0.1819,43.4,1883.08,1058.93,1.78
HD 140940,77357,1.595,0.545,0.0963,0.0611,1.686,0.114,18.8,354.17,200.42,1.77
BD+46 2473,90060,-0.079,0.15,0.0345,0.0288,0.17,0.0449,5.7,32.55,17.76,1.83
BD+35 228,5787,0.261,0.098,0.0515,0.0422,0.278,0.0666,5.6,31.03,18.91,1.64
HIP 60865,60865,-0.299,0.257,0.1615,0.1168,0.394,0.1993,2.9,8.28,10.55,0.78
HIP 20122,20122,-0.31,-0.315,0.2309,0.1668,0.442,0.2849,2.3,5.36,5.12,1.05
HD 76078,43870,-0.062,0.085,0.0388,0.0356,0.105,0.0527,2.9,8.25,9.35,0.88
BD+56 1762,72389,0.165,-0.057,0.0477,0.048,0.175,0.0677,3.7,13.38,10.27,1.3
