hip,source_id,Sn,Hpmag,pmRA,pmDE,Plx,ra,dec,phot_g_mean_mag,parallax,ruwe,astrometric_excess_noise,non_single_star,dist_pc
64994,5840477231277334272,7,6.1902,-5.52,-51.58,5.88,199.82900729656114,-72.0358351533904,5.569555,6.555633409656943,2.1058404,0.50895315,0,152.54056130211987
30410,2891800075946029184,7,7.5302,-24.21,58.3,10.07,95.91492916600384,-33.31918723667499,7.3398266,11.589881643866072,2.4186587,0.525607,0,86.2821580692542
26237,3209572852067563392,1,4.5178,4.52,-7.11,3.69,83.84650099334792,-4.838358713609504,4.48509,6.516303770518311,5.9538693,7.5957646,0,153.46123127719986
105963,1854353921061345792,1,11.1168,-275.59,-183.74,35.88,321.8858177684362,34.02381173407326,10.3240385,38.29144871269521,3.0501003,0.72665113,0,26.115491411753727
54136,763335539562111616,7,6.0703,-72.81,1.43,12.68,166.12974288103217,38.24136548584289,5.9962883,10.938570977286428,9.503794,2.4409726,0,91.41961980924803
99420,2074538821122450176,7,7.0331,43.35,2.51,9.0,302.68480718410353,41.24704190628956,6.931876,7.428407530109928,12.80544,2.9823792,0,134.61835473439643
98071,2085660209419178496,1,6.9355,19.13,-8.83,6.84,298.9754227686612,47.09001754846421,6.85775,6.261692438449245,9.644274,2.3325589,0,159.70123250698296
51576,5253796346624992128,1,3.3225,-17.01,11.5,6.75,158.00593262490582,-61.68528632440866,3.247181,6.443814896756056,3.899469,2.5576563,0,155.18757382422947
25183,2905123854771321088,1,7.6039,-90.46,-77.52,13.97,80.8008506855206,-31.749105032406234,7.429855,15.706435914221021,17.206242,3.4729993,0,63.668167970212366
82259,4326335782924731904,1,6.088,-16.87,-8.78,6.61,252.11232959355766,-14.90945093813045,5.954884,5.193928579005382,11.07008,2.744111,0,192.53248957680051
103681,6910686771077847680,1,6.5551,18.07,-14.66,8.24,315.13618857461586,-5.477400812328088,6.5289707,11.41284332539434,6.4308786,1.8725028,0,87.62058423906802
107311,1799268354140424064,7,7.9084,35.07,7.16,6.52,326.03613613534856,25.178876044665103,7.774061,8.53780746256777,5.7342567,1.3512937,0,117.1260893835204
117954,1945214469599630080,7,6.7745,64.0,19.04,7.48,358.8863960826166,52.73566773516761,6.2588677,7.5981345101272,2.9325397,0.48995307,0,131.61125256036814
104953,2277215441574309888,7,8.6695,-3.15,-9.02,4.62,318.8947912525095,74.62233522683331,8.482194,6.8440316560450905,1.7852921,0.2953035,0,146.11270816036267
68815,5786929090848333568,1,5.074,-87.54,-32.54,8.84,211.33111350491527,-76.79690699917452,3.0503223,8.380805497629552,2.6450868,2.5023215,0,119.32027300751014
3042,4688892286148227712,1,6.9096,-22.18,5.49,8.57,9.668890249280304,-73.13758998948344,6.8501654,8.692560288386746,10.731367,2.8151002,0,115.04090473045085
95893,4179480818033591040,1,7.8082,-1.88,-13.25,9.07,292.53559049561466,-18.243234725360658,7.660595,7.310030961621885,16.981201,3.8734162,0,136.79832619725715
73571,6332923544171835520,1,6.4354,-20.27,-4.93,4.91,225.53563062539422,-7.575305322034562,6.3424816,10.396245628198361,13.741407,2.9364002,0,96.18856996680032
7392,2573210500121246080,1,12.3934,-99.55,-153.77,23.21,23.82829243588578,10.277439243148816,11.594944,21.314294936553726,1.5286164,0.17470595,0,46.916869780431426
11797,89179674437626752,7,7.429,66.78,-15.44,12.59,38.050936307476846,22.00692011724879,7.253895,7.782378188091572,6.492442,1.2112184,0,128.495425926509
115671,1911805740064249344,1,11.8259,-80.53,-164.75,3.03,351.52076763126644,33.2438816517786,11.642612,6.042174582892818,1.4807498,0.18573667,0,165.50332769782847
65230,1550400081945949568,1,6.4121,-61.0,16.46,8.41,200.51597442639795,43.90343887429172,6.2880874,7.47499587466885,11.025937,2.5968242,0,133.7793380446917
61622,6127688772460862976,7,3.8752,-186.26,-6.01,24.85,189.4244346160047,-48.54133539851064,3.8500426,24.29534892468189,2.8139493,1.3666953,0,41.160141519272024
109839,6598938768920343424,7,8.2784,-89.18,-102.92,13.3,333.6970179503531,-36.55532226536726,8.034998,13.36853516495085,10.902985,2.3867023,0,74.80251109499
106714,6589639718049005952,7,7.452,89.61,-11.72,16.02,324.2424975485745,-35.88418588597278,7.267534,14.29697340152605,2.4484303,0.7802572,0,69.94487377959734
39121,5596127157289493632,1,7.9506,-58.31,39.03,8.92,120.05732712357874,-31.196264185898116,7.8628254,7.605275024313611,11.031764,2.7113879,0,131.48768411438897
44824,5650133695272371968,1,4.7275,35.65,0.3,5.82,137.0121721524218,-25.858537004442905,3.9553378,6.239013625646134,1.6638497,0.830234,0,160.2817464429622
37891,3029560533494670592,1,5.1162,-10.56,6.39,13.87,116.48690700885747,-14.563778570641738,4.935122,14.76027235376195,1.7697932,1.295795,0,67.74942738405026
17593,5114760146310175488,7,4.5239,55.98,59.28,6.78,56.53581852874381,-12.101324281489884,3.6505644,6.3942979251323235,1.7735565,0.90901417,0,156.3893349525634
79394,4437692877477200256,1,11.9722,-355.13,-625.54,7.32,243.04700419631803,5.488602287601937,11.469314,11.282340190035159,1.9654443,0.22199674,0,88.63409391636894
22667,3296627028792695168,1,4.7029,-0.05,-54.81,5.01,73.13318318973232,14.250398248921895,3.52523,5.812463129775632,1.9369885,1.2930958,0,172.04410207391734
95260,2024062956715014016,1,5.1604,0.41,-8.9,8.3,290.7120276985987,26.262361951735215,5.1652684,8.907077715398557,2.1352994,1.5582966,0,112.2702677524863
15731,240943512075500544,7,8.2296,25.23,-38.26,8.11,50.66570856235902,41.926103630685944,8.048794,6.527330112099232,1.5854975,0.27461526,0,153.20199573580223
102978,6801963487915169920,1,4.2197,-8.36,-0.36,3.87,312.9553322987257,-26.919143946973296,3.3990402,5.897469347770312,2.9717102,1.854934,0,169.56425562060366
1546,2365099852658642304,1,12.5673,525.64,-102.75,34.47,4.824639428619795,-19.908969948795423,11.638251,29.868574321230707,1.4224011,0.15756454,0,33.48000441016014
910,2416611663182821120,1,5.0025,-83.38,-270.17,53.34,2.8156932027646513,-15.469175920957877,4.7636194,52.94889167785683,1.6932559,0.7332985,0,18.886136580233632
112961,2610370969483589888,7,3.8072,17.02,33.03,8.47,343.1537089468947,-7.579451402482835,2.8595295,8.936000082367386,3.0961146,1.4397258,0,111.90689243313807
84794,4574048021719710848,1,11.2437,-221.25,355.25,86.27,259.9747987710552,26.50241183806962,10.147985,92.98565081391038,1.4012246,0.24112183,0,10.754347485304722
13176,141537799678352640,1,6.5482,-21.45,-2.78,10.35,42.36202627769744,37.326397509482646,6.3503795,8.592260951561462,10.152444,1.5349171,0,116.38380231204117
93015,6434564460631076864,3,4.4996,-8.46,16.47,6.52,284.23752678628426,-67.23342348412878,4.262779,5.2450901461131965,2.292884,0.8292509,0,190.65449251449692
65621,6161311769310004224,7,6.5623,-19.65,12.49,8.08,201.81098239112612,-40.1626214144161,6.132792,10.67291129611529,13.223243,1.9377245,0,93.69514767390397
64003,6142906975452673920,1,5.6541,38.54,-85.33,13.02,196.72629510225232,-35.862402204166344,5.6250243,13.887517804013749,8.804702,3.717663,0,72.00710840572111
93805,4254395871029677952,1,3.4026,-18.69,-91.02,26.37,286.5621591057804,-4.882960200216354,3.4336429,25.640893345717434,2.349142,2.5767565,0,39.000201222201994
34806,897789765642169984,1,7.8147,-16.45,-11.15,6.77,108.07713684951791,36.127038401951424,7.7492766,8.658037336425302,8.782615,2.256399,0,115.49961742401959
32263,943823774876771456,7,7.5626,4.66,-14.22,8.97,101.04898659535584,36.99393468442348,7.4075246,10.983566713487646,9.167188,1.8236754,0,91.04510639262708
71618,1493793375056918016,7,5.4092,-67.73,-18.62,17.54,219.70885000712505,44.404420367941746,5.3838267,17.18442293226082,2.4617126,1.4211988,0,58.19223630271988
79153,5834901092488648064,1,5.5752,-13.35,-59.33,11.65,242.3271648255258,-57.93458382802271,5.565596,12.630616888550318,2.721153,1.7395328,0,79.17269669595491
52651,5360428461720736640,1,11.9838,-73.12,-81.11,3.59,161.50191662737058,-52.51453271763817,11.560912,11.567209005812545,1.91535,0.27183226,0,86.4512778750257
62655,6079851839031910656,7,6.2762,-47.94,6.71,5.33,192.58086836818393,-48.45951600229287,6.244108,5.7325129335698835,2.709369,0.76758105,0,174.44356630125503
23430,2959158391646286080,7,5.1748,86.16,-75.99,13.99,75.54134570962474,-26.275364526936286,4.717308,14.139752577586137,1.8947102,0.6631678,0,70.7225953575147
92390,4085916536069079680,7,5.3628,-1.89,34.45,3.49,282.41711393060245,-20.32450728120616,4.703201,6.232751246065297,1.6444364,1.389262,0,160.44279011316144
602,2414558084699665920,7,6.2536,-7.51,15.88,5.68,1.8260562286693753,-17.38691879340365,6.1784477,9.717885670855793,2.7462487,0.7198797,0,102.90304227379703
49641,3830286576563947136,1,4.4798,-25.83,-4.25,11.51,151.98445764915823,-0.3717133429524876,4.4272976,7.658209835020491,4.1548142,2.1673257,0,130.57881953391583
109226,2727069147926033536,7,7.2597,52.79,-14.63,6.43,331.91457687137853,10.753572197217622,6.860684,5.483619879827486,10.386155,1.7006404,0,182.36129088354312
117472,1999373560527312640,7,6.4548,33.39,-9.14,12.96,357.2999659863166,58.963163385917944,6.2578635,12.279538427954039,4.4000144,0.90677756,0,81.4362857258158
40046,1096711656993578368,1,8.4952,-1.33,26.98,11.69,122.70131227581265,67.2130326558222,8.244121,14.314418785940518,16.988262,2.9738057,0,69.85962999644737
89112,6719649408908407680,1,4.683,-15.46,-37.16,7.8,272.8072180366591,-45.95458111412645,4.2428656,8.04047603364496,2.7497478,2.114076,0,124.37074568912975
93085,4084834822776246272,7,3.688,31.72,-13.33,8.93,284.43266047869355,-21.106717827235787,3.1887186,8.40922893943697,1.5768921,1.2105324,0,118.91696696593372
23287,3238452727560878976,1,6.4441,5.87,-29.46,29.28,75.14146019249405,3.615707887520884,6.640468,5.877465387144453,2.5914502,0.81044275,0,170.1413677717712
