source_id,kounkel_id,SBn,qW,Per,sep_arcsec
683525873153063680,2M08075552+2651313,2,0.937,,1.4213181007627755
1463446063856313856,2M13161307+3122001,2,0.195,,1.5328888876183902
4444162163374725120,2M16582628+0939165,2,0.767,,0.10002441975998647
4690818012020664320,2M01052206-7109300,2,0.979,,1.994913141931512
724861321308556160,2M10395510+2602593,2,0.755,,0.8135710311273852
2546088503202194944,2M00053915+0009237,2,6.185,,0.6220053300030424
4819253683244326912,2M05123716-3947291,2,1.214,,1.595237868530674
3217355538965040640,2M05351316-0140459,2,,,0.07192988914861068
2389878584141597696,2M23573668-1943294,2,0.485,,1.6490077555694058
4662315269038974976,2M04555136-6526229,2,,,0.374141923797447
784183688773792896,2M11240689+4449394,2,,,0.8130829190362124
2263093760905521152,2M19400782+7007058,2,,,1.4405965642372847
6521749994635476992,2M23485391-5145475,2,,,0.5968277721856996
