GaiaDR3,M2min,e_M2min,M1,P,e_P,e,e_e,s,sigTI,Class,n_Class,NSGaiaDR3,_RA,_DE
4373465352415301632,12.806249189164857,2.595242449611575,0.954539,185.7656578920495,0.306886,0.48893589298452,0.074341,13.56551,1.216190651249506,BH,Gaia BH1,NSGaiaDR3,262.17121,-0.58109
6281177228434199296,11.905034742536959,1.487093207536028,0.951687,153.9472362065534,0.360797,0.180088943699084,0.042266,24.3068,0.610111043902046,BH,refuted,NSGaiaDR3,223.20971,-19.37362
3509370326763016704,3.686027467615038,0.240728071178106,0.676171,109.3921278129309,0.064578,0.237433284440261,0.016465,76.10487,0.15051963653094,BH,refuted,NSGaiaDR3,195.32097,-18.86914
6802561484797464832,3.078434851754412,0.837445717819964,1.18193,574.8310585133289,6.228911,0.830354186605113,0.071409,6.82143,0.340359937862724,BH,refuted,NSGaiaDR3,315.10711,-25.58569
3263804373319076480,2.751306956858742,0.501785758261737,0.974647,510.728110443052,4.677287,0.2781351900812,0.022784,18.06452,2.085054219011066,BH,AstroSpectroSB1,NSGaiaDR3,53.73071,0.15285
6601396177408279040,2.571133938005425,0.497768254717948,0.987339,533.497769932878,2.021146,0.790638420106777,0.042549,10.82139,1.08801182203326,BH,,NSGaiaDR3,336.46845,-32.5188
6328149636482597888,2.454031510741937,0.199665426517721,1.091041,736.0178501588972,11.611804,0.135366326023113,0.035554,89.91029,3.766032753602936,BH,,NSGaiaDR3,218.0862,-10.36635
6588211521163024640,2.407129600947613,0.401947855673123,1.093465,943.3326302158465,44.92186,0.973735916363991,0.121508,10.41998,4.150996780269201,BH,,NSGaiaDR3,329.0233,-35.37794
4482912934572480384,1.835413491707263,0.188677009101687,0.926746,182.388764843897,0.352363,0.703343059007962,0.038764,19.27095,0.749225709774541,NS,,NSGaiaDR3,273.51024,10.29508
5580526947012630912,1.82800326661295,0.254311571192196,1.173079,654.3255682460206,4.862004,0.760676935647558,0.040314,12.87583,0.138963014091285,NS,,NSGaiaDR3,99.94918,-36.93098
3869650535947137920,1.78776052143089,0.144953644690737,1.127529,570.036402597465,5.300159,0.182714351926348,0.041859,34.02858,0.682847994967486,NS,,NSGaiaDR3,161.52482,10.04954
1058875159778407808,1.775437829826004,0.131486812306312,1.090863,835.6823615515086,29.318863,0.4174734613519,0.03917,32.97402,0.381468584650123,NS,,NSGaiaDR3,162.24768,65.79879
809741149368202752,1.720546547708724,0.121366743268549,0.867025,922.3885089937434,50.517979,0.351000455458344,0.034337,13.47305,0.421845221098642,NS,,NSGaiaDR3,151.78672,44.8966
6593763230249162112,1.691701234623356,0.150026899579773,1.023855,679.887939268342,2.781697,0.612764762220319,0.065377,23.33145,0.330755853941057,NS,,NSGaiaDR3,337.21393,-39.72191
1350295047363872512,1.652824257836509,0.090589923280174,1.163807,657.2419539332093,4.336523,0.656002239899531,0.034154,34.10789,0.745408148160463,NS,,NSGaiaDR3,264.98359,45.03815
2912474227443068544,1.564825980542913,0.143480469937977,0.974647,541.4859290007026,3.872894,0.477927589382286,0.049002,25.13196,0.305848780852062,NS,,NSGaiaDR3,94.04629,-24.4862
4744087975990080896,1.556266202517077,0.206150136751987,0.528822,631.2568824918063,5.522192,0.613342905824446,0.045898,22.47947,0.668969878804817,NS,,NSGaiaDR3,34.21297,-53.36164
6092954989675820416,1.548367584793932,0.139609777294936,1.11458,883.0788557285832,101.467499,0.137570684445177,0.094569,14.10093,2.572090984907192,NS,,NSGaiaDR3,216.34462,-47.10755
1028887114002082432,1.543783193136139,0.157022574146206,1.050178,994.4169672411456,40.91848,0.656718032038761,0.040804,24.47418,0.187002851385713,NS,,NSGaiaDR3,126.15392,52.90759
2397135910639986304,1.529251236131885,0.085798153110202,0.969886,916.0157822158293,19.117014,0.563674175758881,0.029778,43.81102,0.916153200843877,NS,,NSGaiaDR3,341.20236,-22.60209
5590962927271507712,1.523707062516542,0.202663531570273,0.626045,817.8959331238286,5.115146,0.724581345447685,0.036339,18.82361,0.152128221107868,NS,,NSGaiaDR3,108.79401,-34.50367
2426116249713980416,1.515070146723282,0.079582856117661,1.046336,711.7033843848643,21.452824,0.398386419451486,0.030658,24.84882,0.945902531692052,NS,,NSGaiaDR3,9.0491,-9.54392
5136025521527939072,1.488724107337152,0.061048035109126,1.156918,536.9000374541339,1.230285,0.650593762093749,0.013048,60.32124,0.118847480772552,NS,AstroSpectroSB1,NSGaiaDR3,28.21204,-20.81823
2885872059004028800,1.482858337526529,0.120595163228529,0.977925,802.239025633578,28.139746,0.403114202797003,0.05226,20.43985,0.271178357808427,NS,,NSGaiaDR3,92.48111,-35.67683
1695294922548180224,1.480247632168239,0.053836420941258,1.039916,601.1775441016509,2.891669,0.571448384574944,0.018772,79.8912,0.063728381429568,NS,,NSGaiaDR3,226.47838,71.13443
1871419337958702720,1.474740911597507,0.053618078524041,1.055343,479.3129789471415,1.048975,0.432018160969455,0.018973,72.08305,0.310811328104966,NS,,NSGaiaDR3,315.61966,37.0637
5820382041374661888,1.46030235347137,0.08983835832004,1.039791,311.1399656291668,1.447072,0.414102683186186,0.038299,39.19901,0.675912004007111,NS,,NSGaiaDR3,238.39374,-68.77867
4922744974687373440,1.449055960524064,0.1847484131622,0.780463,562.3805772557849,1.969457,0.813473261086181,0.030385,15.42258,0.218282527670414,NS,,NSGaiaDR3,0.85767,-56.07555
5530442371304582912,1.442843722924271,0.107313640621978,0.984709,498.8305431951074,2.780573,0.284581759775763,0.075074,29.01431,1.408195290546518,NS,,NSGaiaDR3,115.56545,-47.82407
4637171465304969216,1.438855950789812,0.069632059986616,0.994363,639.1506475352518,4.418084,0.374930384258089,0.028377,54.9969,0.167331323969764,NS,,NSGaiaDR3,34.46425,-75.69817
4578398926673187328,1.437799752600564,0.125116209532947,0.978306,728.0659622311815,22.859035,0.557331496066928,0.054024,32.13693,1.880762017526087,NS,,NSGaiaDR3,273.06289,24.15395
5693240254808387584,1.429265883989339,0.202550343556852,0.677552,944.38864879844,85.06427,0.754288173684184,0.058076,10.29865,0.423902672249247,NS,,NSGaiaDR3,125.05145,-27.56864
6037767138131854592,1.392579479633444,0.08189119637741,0.980944,804.7013884937741,29.199974,0.768431297146236,0.098941,29.59888,1.994285531277806,NS,,NSGaiaDR3,245.80672,-30.34161
2080945469200565248,1.381396130166509,0.059334781041169,1.081645,196.6400385800571,0.500053,0.045149291731162,0.039742,54.25931,3.480386153227966,NS,,NSGaiaDR3,302.86749,42.72571
5446310318525312768,1.358828040760933,0.053067062928562,1.156729,866.5581398986174,10.594491,0.247375002999077,0.004258,47.02735,0.104350813713028,NS,AstroSpectroSB1,NSGaiaDR3,153.103,-35.62033
1801110822095134848,1.348481320975085,0.051253712528238,0.883359,893.5833196656748,2.888043,0.588456934212778,0.012539,92.17574,0.187510741956258,NS,AstroSpectroSB1,NSGaiaDR3,326.35323,28.62378
4240540718818313984,1.346037498891683,0.064794021908194,0.822066,691.1678608875368,1.993625,0.618185795237307,0.015737,85.18006,0.124636540779065,NS,,NSGaiaDR3,297.42781,1.49198
1694708646628402048,1.344420343698978,0.049336676359119,1.066315,632.0335601604571,2.820908,0.258794772404484,0.022643,114.85949,0.249588894866832,NS,,NSGaiaDR3,222.32616,69.31729
747174436620510976,1.328665882444625,0.062406371736259,0.716733,999.4359398395977,26.45616,0.707448319761957,0.018073,48.73918,0.343316181878906,NS,,NSGaiaDR3,151.83986,34.13993
1434445448240677376,1.327231784700157,0.053095199209731,1.056771,572.4227597979572,1.786597,0.301274394544083,0.022642,82.50039,0.162613618208779,NS,,NSGaiaDR3,263.39531,58.14627
1522897482203494784,1.325236059756487,0.059345193096092,0.734077,45.5165369331074,0.005114,0.04589676879737,0.005804,156.60417,0.855342917336781,NS,AstroSpectroSB1,NSGaiaDR3,198.51734,38.30119
3494029910469026432,1.317758642945676,0.052200198926598,1.023932,632.5299065981172,1.635729,0.551610942819117,0.018128,77.56015,0.24705283293096,NS,AstroSpectroSB1,NSGaiaDR3,177.72011,-22.06403
