###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57277.608359  18.425  0.172   155   27 c  0   4.42 112.33509   9.86854  4637.26  6986.58 3.92 3.63 -50.2 -0.418 19.11 20.81 02a57277o0549c
57277.630631  20.821  1.250    17   21 c  0  15.40 112.33509   9.86854  4636.97  6987.35 3.80 3.45 -60.9 -0.432 19.03 20.56 02a57277o0574c
57313.608466 -16.685  0.030  -769   23 c  0  17.59 112.33509   9.86854  2135.38   707.16 5.84 3.99 -19.9 -0.464 19.30 21.21 02a57313o0506c
57313.638000 -15.498  0.008 -2295   18 c  0  79.33 112.33509   9.86854  2132.28   712.79 5.56 3.90 -20.2 -0.480 19.21 20.98 02a57313o0547c
57313.640648 -19.209  0.291   -75   22 c  0   4.83 112.33509   9.86854  8747.81 10397.17 4.63 4.05 -79.6 -0.403 19.13 20.78 02a57313o0551c
57319.546585 -15.457  0.014 -2383   34 o  0  34.17 112.33509   9.86854  8708.24 10382.29 4.59 3.79 -81.1 -0.469 18.63 19.95 02a57319o0534o
57319.552381 -13.462  0.001 -14967   19 o  0 502.24 112.33509   9.86854  2083.25   703.05 5.80 3.54 -15.5 -0.465 18.66 20.00 02a57319o0543o
57319.564051 -15.768  0.017 -1789   30 o  0  33.04 112.33509   9.86854  8708.20 10387.22 4.53 3.75 -81.1 -0.478 18.86 20.37 02a57319o0560o
57319.575103 -14.330  0.002 -6732   12 o  0 559.05 112.33509   9.86854  2082.96   708.18 5.84 3.56 -15.9 -0.465 18.96 20.57 02a57319o0576o
57319.629741 -14.460  0.004 -5970   27 o  0 243.60 112.33509   9.86854   293.31  8897.16 5.06 3.42 -62.3 -0.458 19.01 20.62 02a57319o0649o
57322.586958 -14.777  0.029 -4458  128 o  0  12.98 112.33509   9.86854  2105.40   720.63 6.92 4.82 -22.3 -0.458 17.62 18.50 02a57322o0691o
57322.596760 -14.982  0.233 -3693  861 o  0   1.76 112.33509   9.86854  8725.87 10407.14 4.81 3.96  87.3 -0.446 15.11 15.21 02a57322o0706o
57323.591294 -16.287  0.063 -1110   70 o  0  37.46 112.33509   9.86854  2111.77   723.24 5.95 3.62 -18.5 -0.472 18.34 19.29 02a57323o0617o
57323.594138 -18.569  0.354  -136   48 o  0  10.05 112.33509   9.86854  8726.76 10408.90 4.33 3.72 -86.2 -0.465 18.33 19.24 02a57323o0621o
57323.624127 -15.357  0.026 -2613   68 o  0  69.91 112.33509   9.86854  2106.55   729.73 5.82 3.73 -21.0 -0.498 18.40 19.40 02a57323o0661o
57323.628891 -18.383  0.274  -161   44 o  0  14.11 112.33509   9.86854  8726.31 10419.05 4.19 3.64 -85.7 -0.485 18.40 19.35 02a57323o0668o
