###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.507008 -21.288  5.909   -11   66 o  0   0.93  32.31460  38.07367  1600.02  4237.59 3.75 3.40 -60.1 -0.460 17.82 18.75 02a57232o0323o
57232.527486  17.232  1.216   465  565 o  0   1.33  32.31460  38.07367  1610.52  4246.01 3.72 3.46 -57.1 -0.475 15.74 16.15 02a57232o0337o
57232.574264 -19.440  1.857   -61  113 o  0   0.97  32.31460  38.07367  3077.82  2840.04 3.60 3.35 -51.5 -0.461 17.41 18.26 02a57232o0363o
57232.577238  17.638  0.233   320   75 o  0   1.15  32.31460  38.07367  3083.27  2840.94 3.68 3.46 -44.5 -0.444 17.96 19.01 02a57232o0367o
57300.404817  18.252  0.280   182   51 o  0   1.10  32.31460  38.07367  1655.15  4251.75 3.96 3.32 -44.4 -0.477 18.83 20.61 02a57300o0591o
57300.432591  18.414  0.456   156   71 o  0   1.32  32.31460  38.07367  1653.82  4258.10 4.02 3.37 -45.8 -0.477 18.74 20.52 02a57300o0677o
57300.475873 -18.174  3.785  -195  738 o  0   1.12  32.31460  38.07367  3102.59  2851.42 3.98 3.39 -23.6 -0.716 18.14 19.65 02a57300o0805o
57302.400495 -20.135  0.727   -32   23 o  0   0.97  32.31460  38.07367  1669.53  4256.15 4.45 3.50 -38.7 -0.481 19.09 20.84 02a57302o0330o
57302.429189  21.077  1.714    14   23 o  0   1.06  32.31460  38.07367  1667.99  4261.18 4.43 3.52 -39.0 -0.476 19.11 20.85 02a57302o0374o
57302.442193  19.704  0.412    48   20 o  0   1.29  32.31460  38.07367  3111.83  2842.31 4.47 3.46 -22.4 -0.483 19.15 20.89 02a57302o0394o
57302.471216  24.012 21.000     1   19 o  0   1.81  32.31460  38.07367  3118.46  2846.55 4.35 3.45 -20.7 -0.482 19.16 20.90 02a57302o0438o
57314.428629 -20.675  0.905   -20   18 c  0   1.10  32.31460  38.07367  1740.23  4280.97 4.79 3.74 -38.4 -0.446 19.52 21.55 02a57314o0337c
57314.447680 -19.698  0.365   -48   18 c  0   1.05  32.31460  38.07367  1740.15  4284.66 4.74 3.78 -36.7 -0.441 19.52 21.56 02a57314o0363c
57314.475946 -18.101  0.127  -209   26 c  0   2.24  32.31460  38.07367  7477.31  7773.66 4.25 3.57 -84.2 -0.459 18.64 20.54 02a57314o0403c
57314.502496  21.042  1.286    14   18 c  0   1.61  32.31460  38.07367  7465.73  7777.01 4.20 3.57 -84.8 -0.451 19.18 21.13 02a57314o0443c
57316.405599 -19.177  0.280   -78   22 c  0   1.09  32.31460  38.07367  1748.60  4272.98 5.05 4.03 -35.2 -0.426 19.10 20.85 02a57316o0301c
57316.419422 -19.183  0.235   -77   18 c  0   1.36  32.31460  38.07367  1752.50  4277.27 4.81 3.82 -36.9 -0.447 19.24 21.02 02a57316o0321c
