targetid,gaia,class,sample,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,snr_med,status,DESIID_x,G,bp_rp,MG,Teff,Log_g,swan,swanQ,DESIID_y,RA(deg),DEC(deg),Name,gaia_true,in_sdssv,id_rounded
39628481679593814,1318204460477280512,DAH,DA massive,23.43,100.0,16.6,100.0,8.53,210.0,0.99,310,28.5,ok,39628481679593814,17.066,-0.252,12.7,,,DAQ,True,39628481679593814,245.65036566087025,30.08173749272074,WDJ162236.25+300455.29,1318204460477280512,False,False
39628167048072291,2591704384484374528,DA,DA massive,20.55,180.0,17.59,180.0,3.07,400.0,0.18,30,10.6,ok,39628167048072291,18.471,-0.203,12.664,39158.0,9.75,DAQ,True,39628167048072291,19.38283239747485,16.04438365774664,WDJ011731.77+160239.28,2591704384484374528,False,False
39628451451240584,1884548739436672512,DBA,non-DA,20.39,170.0,16.88,160.0,4.26,-120.0,1.78,260,6.2,ok,39628451451240584,19.472,0.232,12.572,,,DQA,False,39628451451240584,342.1158756686381,28.443636937239543,WDJ224827.86+282637.86,1884548739436672640,False,True
39627426556289873,2454979769973042176,DAH:,DA massive,17.49,110.0,19.49,110.0,1.13,160.0,1.68,-60,8.3,ok,39627426556289873,19.524,-0.205,12.968,,,DAQ,True,39627426556289873,19.121347515392777,-15.030149148507912,WDJ011629.20-150147.25,2454979769973042176,False,False
39628001217872467,2713837689421703680,DAH,DA massive,17.34,170.0,12.09,170.0,2.04,190.0,0.01,140,9.2,ok,39628001217872467,18.444,-0.125,12.839,,,DAQ,False,39628001217872467,345.1064399833111,8.81032145320746,WDJ230025.55+084838.01,2713837689421703552,False,True
39627725471746071,3205235514915607040,DBA,non-DA,15.38,140.0,21.68,120.0,1.51,290.0,3.14,150,7.0,ok,39627725471746071,19.887,-0.157,12.765,,,DQ,False,39627725471746071,68.09476163059874,-2.457210118117019,WDJ043222.78-022725.72,3205235514915607168,False,True
39627581179303584,3185905383239883776,DAH,DA massive,14.79,320.0,19.9,310.0,8.9,350.0,0.95,-10,11.7,ok,39627581179303584,18.311,-0.296,12.588,,,DQ,False,39627581179303584,70.91496810849188,-8.585139215773056,WDJ044339.70-083504.48,3185905383239883520,False,True
39627983555659917,2752056099423455744,DAH,DA massive,14.76,140.0,16.41,140.0,3.52,300.0,0.9,400,31.8,ok,39627983555659917,17.433,0.01,12.973,,,DQ,True,39627983555659917,1.661631339493732,8.212879529067441,WDJ000638.90+081247.04,2752056099423455744,False,False
39633131686333564,1499123498191555584,DB,non-DA,14.12,100.0,17.89,120.0,1.46,-200.0,-0.03,-70,3.8,ok,39633131686333564,19.855,0.099,13.112,,,DQ,False,39633131686333564,208.92730217109877,43.01495710003539,WDJ135542.58+430053.80,1499123498191555456,False,True
39633140838302310,1396483602405444352,DB,non-DA,13.29,130.0,7.62,130.0,-0.09,230.0,2.15,290,12.6,ok,39633140838302310,19.443,0.12,13.115,,,DQ,True,39633140838302310,235.7028896076866,43.48385285350008,WDJ154248.66+432902.53,1396483602405444352,False,False
