Name,edr3id,TIC,DESIID,RA(deg),DEC(deg),CLASS,Pwd,G,bp_rp,MG,AV,Teff,Teff_err,Log_g,e_logg,Chi2,RV,sample
WDJ085506.65+063904.58,584402318633098624,471014884,39627949783122477,133.77707373510864,6.651498793545735,DQ,0.99,17.714,0.381,13.327,0.02,,,,,,,control DQ
WDJ172721.29+235142.75,4569365712796567552,1507314742,39628347126317759,261.83865501851767,23.861951144647996,DQ,1.0,19.578,-0.441,12.335,0.1,,,,,,,control DQ
WDJ071047.58+451655.23,977299368455844096,742581608,39633169619618331,107.69842019125484,45.28184828914382,DQ:,0.99,18.761,0.376,13.396,0.03,,,,,,,control DQ
WDJ044138.24-055134.73,3200232157189931008,56099399,39627647147313712,70.40966989279484,-5.860185036274029,DQ,0.99,17.247,0.312,13.156,0.01,,,,,,,control DQ
WDJ163957.42+281324.06,1310651880747659264,1200436384,39628444765524758,249.9893189007595,28.22330167475175,DQ:,0.98,20.123,0.445,13.193,0.09,,,,,,,control DQ
WDJ072922.34+451425.96,973769622597970560,742496832,39633169674144647,112.34326558695328,45.23994874691924,DQ,0.99,19.747,0.314,13.368,0.04,,,,,,,control DQ
WDJ143534.79+154813.46,1234328112872516352,1000192325,39628164451799739,218.89481015887097,15.804039350526818,DQ,0.99,19.374,0.198,13.243,0.04,,,,,,,control DQ
WDJ084613.12+114225.09,601948673081651072,800397145,39628069064938203,131.55457383961,11.706942265933137,DQ,0.99,19.108,0.315,12.941,0.03,,,,,,,control DQ
WDJ073023.48+520607.19,983384576905137408,742751297,39633277882991875,112.59770784610876,52.1019733571963,DQ:,0.99,18.708,0.51,13.214,0.03,,,,,,,control DQ
WDJ040702.91-011102.24,3253616775317471232,672757658,39627755565875568,61.76222462395821,-1.1841378155010536,DQ:,0.96,19.864,0.554,13.127,0.29,,,,,,,control DQ
WDJ133221.07+685443.66,1685021601294614016,1001511167,39633481302541555,203.0878052249812,68.91194060509625,DQ,0.94,19.649,0.602,13.016,0.04,,,,,,,control DQ
WDJ063632.53+555123.23,995070220845186688,704616162,39633331452642221,99.13527662616214,55.85623348574375,DQ,0.99,19.329,0.338,13.138,0.04,,,,,,,control DQ
WDJ145524.89+420910.81,1489435937460963840,1102030141,39633118512022991,223.85367627463245,42.15292001603449,DQ,1.0,19.755,-0.216,12.628,0.05,,,,,,,control DQ
WDJ064435.83+662758.92,1104132772069328000,743443773,39633457600530010,101.14985558931252,66.46655075834855,DQ:,0.99,19.589,0.243,13.173,0.04,,,,,,,control DQ
WDJ090208.07-010438.71,5764272927902895104,837226846,39627762842993536,135.53359326832367,-1.0775069106092594,DQA,1.0,20.204,-0.237,12.774,0.05,,,,,,,control DQ
WDJ013521.23+112454.92,2585711397573234688,630571839,39628061372583436,23.83868656091081,11.415380850263109,DQ,1.0,17.317,0.169,12.659,0.02,,,,,,,control DQ
WDJ140734.67+524340.07,1512830624321893632,1001137298,39633290017114349,211.89450316484263,52.727761167050666,DQ,0.93,19.564,0.877,13.58,0.03,,,,,,,control DQ
WDJ094639.85-014212.17,3827559096237286912,841947412,39627744908151691,146.66588452671752,-1.703237536877403,DQ,0.99,19.468,0.475,13.563,0.02,,,,,,,control DQ
WDJ125557.21-041706.48,3678910621719649792,953031336,39627685340647907,193.98780779444877,-4.285016645544261,DQ,0.98,19.445,0.554,13.361,0.02,,,,,,,control DQ
WDJ105226.70+085952.52,3866281701039413248,903168538,39628004170662943,163.11113480692063,8.997648640703927,DQ,0.99,19.418,0.368,13.548,0.02,,,,,,,control DQ
