sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status,classification,teff,g_mag,bp_rp,MG,snr,maxc
80012172,3845201035182583424,1,12.9,8.5,140,58.94,150,-0.02,400,0.99,400,8.5,ok,DC:,,19.03984,-0.06330499999999972,13.019967251864365,18.534006,58.94
61975553,1558730836735094528,6,15.4,20.82,180,25.17,160,3.43,340,2.03,400,25.0/15.1/10.3/32.3/8.1/13.1,ok,DC,,19.187004,0.012703999999999382,12.88136968673315,29.506794,25.17
63152262,1758536430493058944,2,15.6,12.11,160,23.91,160,2.52,180,2.02,190,11.4/14.2,ok,DC:,,17.754757,0.13819499999999962,13.084442242142696,29.285912,23.91
79711010,3787934690037232128,2,6.3,2.08,-200,19.89,-140,1.32,390,11.71,20,3.1/2.7,ok,DB,,18.947832,-0.20780399999999943,10.060979107440488,13.606835,19.89
60245681,1287258636998635008,2,14.7,17.8,120,19.84,120,1.98,300,-0.32,140,18.8/4.1,ok,DC:,,19.122728,-0.051441000000000514,13.078093841544668,20.614784,19.84
110590717,6465542891501713408,2,12.3,4.84,130,19.01,130,-0.32,400,0.93,400,5.3/5.5,ok,DC:,,18.644228,0.10328600000000066,13.174773264491051,18.011375,19.01
78652400,3596242676049346816,1,12.9,4.39,-200,2.49,-200,18.09,400,40.29,20,4.4,ok,DB/DBA,,18.458294,-0.08289100000000005,11.276135694840804,19.821236,18.09
71795992,2821261624722089216,2,6.5,2.65,240,15.51,240,0.7,-200,11.32,50,4.9/2.4,ok,DB,,18.774035,-0.06852900000000162,10.732919375292767,9.554126,15.51
76076303,3247696218734904960,2,14.2,15.45,-190,3.26,-200,1.84,-150,25.42,50,5.5/3.1,ok,DB,,18.063444,-0.20950300000000155,10.755289209475162,25.433952,15.45
116892932,343958710690034944,2,7.2,14.78,110,11.76,130,4.07,-40,0.81,400,7.3/7.7,ok,DC:,,18.645178,-0.027346000000001425,13.150204863924575,10.284209,14.78
78896575,3639892119441535232,3,45.5,-1.12,60,-0.44,20,14.3,400,3.05,-200,1.4/-1.6/-0.9,ok,DC,,16.070082,0.043077000000000254,12.128975744483503,87.7511,14.3
92604104,4774434904937845248,2,24.1,2.16,-60,13.99,-120,0.83,400,10.32,100,1.6/1.9,ok,DB,,16.714725,-0.2673570000000005,10.522898141285449,46.047825,13.99
63968724,1833680731644431616,2,19.3,3.46,-200,13.8,-200,0.17,400,31.65,50,6.2/0.3,ok,DB,,16.68895,-0.1476910000000018,11.170955817299971,39.029076,13.8
65015906,1958264671888218752,2,27.2,2.64,400,-0.95,80,13.63,400,-0.05,400,2.5/3.6,ok,DZ:,,16.297262,1.1618899999999996,1.8880034059506414,47.401836,13.63
57806679,902966949284487808,3,21.3,3.44,-200,13.27,-200,1.44,230,14.52,-20,6.2/1.5/-0.9,ok,DB,,18.720036,-0.15083300000000222,11.03228168403577,30.393887,13.27
111443015,6589369272547881856,1,22.7,12.59,180,13.24,180,2.31,400,0.72,400,12.6,ok,DC,,15.970132,-0.08707100000000167,12.968040310287572,33.2821,13.24
69051723,2263156639226646016,4,52.2,3.57,400,-0.98,190,13.18,400,0.27,400,4.7/4.4/3.4/2.0,ok,DZ:,,13.8174715,1.2994840000000014,-0.639653999502972,117.47139,13.18
77080691,3377107392999647616,9,10.7,0.87,-200,13.04,-200,0.61,240,16.11,60,3.8/-1.5/0.8/-0.2/-0.1/1.1/1.4/3.3/-0.3,ok,DB,,18.305655,-0.32294400000000323,10.827016800952066,19.141602,13.04
67251506,2087569060381096960,2,16.5,12.26,50,12.97,50,3.49,70,0.59,400,12.1/16.5,ok,DC,,17.342812,-0.11541899999999927,12.999119136627627,23.398457,12.97
78669988,3599151189247801344,4,11.9,2.79,-200,12.73,-200,-0.35,-200,22.45,20,4.1/1.5/-0.0/1.9,ok,DB,,18.285206,-0.26411600000000135,10.83882458891348,21.485624,12.73
75805436,3212025312751381888,6,24.2,2.49,-200,12.31,-200,0.82,-110,30.75,50,2.3/1.8/-0.0/0.6/0.1/0.7,ok,DBA:,,17.24848,-0.008600000000001273,11.121083441183634,69.62598,12.31
68700507,2212561576584712960,2,7.0,3.25,330,3.79,260,12.14,390,0.75,300,-0.4/4.2,ok,DC:,,18.861187,-0.20515199999999822,12.058668254119207,9.224221,12.14
56329321,667515948764903296,1,15.6,1.57,-20,12.1,-70,0.47,340,9.17,40,1.6,ok,DB,,18.054972,-0.28954000000000235,10.507460689080062,22.669683,12.1
78866351,3635244376415828864,6,15.5,11.8,-200,2.6,-200,1.23,-90,26.93,50,0.8/0.1/1.6/7.7/2.0/5.2,ok,DB,,18.029736,-0.14969999999999928,11.43277541021168,30.907986,11.8
58642303,1017448031249546624,3,12.4,2.57,-130,11.6,-190,1.41,400,14.19,70,1.7/3.9/1.7,ok,DB,,19.201183,-0.45207500000000067,9.36638259455792,16.232042,11.6
67926504,2153584739240822912,3,8.6,1.79,-200,11.45,-200,0.64,-100,16.03,-20,-0.7/1.1/1.2,ok,DB:,,18.823803,-0.23184900000000042,10.967896128457339,17.84173,11.45
111866717,6651133479247436032,1,10.1,4.7,30,11.32,40,2.64,-200,0.93,-200,4.7,ok,DC,,17.544502,1.0410620000000002,14.777818138786866,14.452439,11.32
58101908,945894700732020480,1,5.7,1.26,-200,10.98,-190,0.69,400,1.16,-140,1.3,ok,DC:,,19.211206,-0.026157000000001318,11.755504825334679,9.094895,10.98
65924167,2015603344284544768,1,7.7,10.67,350,7.41,390,8.87,280,-0.12,270,10.7,ok,DZ/DC,,17.969582,1.1005840000000013,14.644153406354196,10.763459,10.67
71907947,2840795827475706368,4,42.7,0.77,400,0.65,-200,10.54,400,13.77,-50,0.3/1.5/0.9/4.1,ok,DBA,,17.326628,-0.01684399999999897,11.79627694932832,76.19368,10.54
