sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status
55934621,604373916559161728,1,6.6,1.05,-200,0.53,250,2.70,-200,7.40,30,1.1,ok
63752017,1821984642347251968,2,7.0,1.98,-130,3.43,-140,0.31,400,12.31,30,2.4/0.3,ok
71063691,2686420164391771136,2,3.4,-0.84,-200,0.55,-200,-0.43,400,5.94,50,0.5/-2.3,ok
70104147,2497656557890835968,13,14.7,2.27,-200,2.42,-200,2.22,320,14.98,30,13.0/0.1/-1.6/-0.1/-1.1/-3.3/-1.9/-0.6/1.2/-1.4/-1.6/2.0/-0.4,ok
76185203,3272075999295735680,1,4.1,2.62,-80,3.84,-120,3.01,110,12.93,30,2.6,ok
77497117,3425192266297052416,7,9.7,-1.56,-190,-2.59,-200,-0.77,40,2.30,320,-0.5/-2.3/-2.8/0.2/-0.5/-0.7/-0.6,ok
109585639,6330948164157844224,2,7.2,1.22,170,3.65,150,0.71,400,6.19,50,0.6/0.3,ok
74932953,3121886520577421568,1,14.8,0.01,400,0.60,70,-0.67,380,1.03,120,0.0,ok
70767759,2630071980176337152,1,28.9,-1.67,400,-0.76,-200,-0.02,400,1.04,-110,-1.7,ok
74030773,3053782568490231808,1,5.9,0.70,400,1.63,400,0.84,310,0.98,-200,0.7,ok
76138762,3261154374201832064,2,12.3,0.62,-200,0.92,-200,0.99,130,28.45,30,-0.5/1.1,ok
56381030,672673104976508672,9,10.2,1.87,-200,4.09,-200,0.50,400,17.75,120,2.6/-1.1/0.0/0.5/-0.3/1.0/4.3/-1.0/-0.5,ok
56504403,690033190987042176,1,7.0,0.37,-200,0.45,-200,0.48,400,22.43,50,0.4,ok
55832844,588388220081897984,1,6.2,4.42,320,4.41,260,1.17,400,11.35,50,4.4,ok
116957610,352158048070541056,2,6.5,0.03,400,0.97,-200,0.65,400,1.23,-200,0.3/-0.3,ok
92812994,4804195149944985728,1,6.4,1.36,-200,1.57,-200,-0.36,-200,9.56,60,1.4,ok
110596224,6466245200259389440,2,32.6,2.53,-200,1.90,-200,0.94,400,15.63,70,2.8/4.5,ok
54853170,463731845197037952,2,16.5,0.11,400,0.21,-200,1.05,400,1.85,-200,-0.2/-0.3,ok
89886697,4517714818353801856,2,5.2,0.14,-140,1.93,-160,-0.10,400,0.50,-200,-0.3/0.1,ok
89912585,4520056606339200640,2,8.3,0.88,400,0.33,400,1.92,400,-0.40,400,1.5/-0.6,ok
