sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status,classification,teff,logg,g_mag,bp_rp,MG,is_control,vis_pos,vis_n
100536766,5666458346271348992,1,7.5,39.69,140,12.82,130,5.45,210,-0.19,400,39.7,ok,DA:,32265.072,9.489922,19.124651,-0.30055300000000074,12.612358824884927,True,1,1
61206487,1422012892308493568,3,29.2,25.48,130,21.14,130,12.04,150,0.83,400,12.1/23.5/13.6,ok,DA:,120000.0,9.49,16.142376,-0.19266800000000117,12.778265924710082,True,3,3
79037946,3663639779599974784,2,8.6,20.95,100,14.03,120,1.96,-100,0.04,400,28.7/13.7,ok,DA,47248.93,9.49,19.384626,-0.18027100000000118,12.404310512705557,True,2,2
104771614,5935933154350863872,1,28.5,20.22,320,19.89,350,8.58,280,-1.32,400,20.2,ok,DA,30082.389,9.49,15.679263,-0.31640900000000016,12.639772746173364,False,1,1
79068566,3668901977825959040,7,10.9,18.97,160,17.38,170,26.22,150,0.88,400,11.2/8.6/16.8/7.1/13.6/11.1/30.4,ok,DA:,119998.945,9.49,19.371439,-0.24379900000000276,12.345210172199293,True,7,7
92222643,4720049658213446400,2,14.5,17.03,150,14.14,170,7.21,70,0.14,-30,14.2/11.0,ok,DA,7845.8535,9.49,17.96802,-0.13500000000000156,12.398846668290505,True,2,2
71959237,2849930668862492544,4,7.1,16.78,90,13.14,90,3.33,180,0.54,400,5.5/3.4/6.6/18.3,ok,DA,7271.3076,9.49,19.906767,-0.030369000000000312,12.982784692873704,False,4,4
115261597,117261167051122688,2,10.0,16.11,40,16.97,40,5.02,200,0.75,190,9.7/15.5,ok,DA/DAH,,,18.389029,-0.2920809999999996,12.856275479953403,True,2,2
80706251,3982534641696914688,1,7.6,16.1,180,35.78,180,2.66,290,1.31,310,16.1,ok,DA:,6274.5845,9.355906,19.38169,-0.147119,12.941304986810064,True,1,1
102600838,5836110898905253760,4,14.1,15.75,160,26.97,150,2.56,250,0.43,400,22.3/16.6/7.7/9.5,ok,DA:,6752.3447,9.49,17.44143,0.559196,13.031089079152101,True,4,4
57623143,883885440381808000,1,10.4,14.96,110,11.56,140,9.52,60,1.75,400,15.0,ok,DA,40305.26,9.068624,18.653889,-0.1970099999999988,11.923096959612721,False,1,1
79655915,3776744650963083136,2,6.7,13.9,270,2.48,260,4.06,300,0.88,400,6.8/3.0,ok,DA,11806.025,8.547262,19.336657,0.006220000000002557,12.658509518386971,False,1,2
70017474,2480243386083359360,2,16.7,13.17,170,15.7,170,5.52,290,0.72,400,12.1/12.0,ok,DA:,,,18.164652,-0.0029199999999995896,12.971257618172793,False,2,2
