obsid,gaia,wdclass,snrg,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,status,best,sdssv_class,sdssv_C,mwdd,ra,dec,gpID,gaia_true,sep,G,bprp,plx,plx_err,n_within3,MG,sdssv,id_ok
893712069,3812563479915739136,DA,410.78,3.34,-20.0,11.51,-20.0,2.51,400.0,4.88,70.0,ok,11.51,,,,172.165736,3.84065,3812563479915739264,3812563479915739264,0.27,10.09,0.414,1.78,0.02,1,1.3421000115444706,,False
117705238,992534888766785024,DA,119.11,8.87,230.0,-0.07,-200.0,14.17,240.0,4.16,110.0,ok,14.17,,,sdB,99.967315,51.950267,992534888766785024,992534888766785024,0.19,11.94,-0.379,3.03,0.05,1,4.347213142511524,,True
768003116,443700912303375744,DA,54.53,8.19,0.0,3.11,10.0,3.93,-30.0,0.31,400.0,ok,8.19,,,DA,54.993389,52.164679,443700912303375744,443700912303375744,0.05,17.14,-0.034,8.35,0.08,1,11.74843237741801,,True
388014108,3370017368364062208,DA,40.99,1.24,-20.0,9.77,10.0,0.83,-200.0,1.09,90.0,ok,9.77,,,,95.033583,16.975734,3370017368364062336,3370017368364062336,0.06,14.26,0.704,0.63,0.02,1,3.2567027472679086,,False
473115235,3291721072331760640,DA,36.84,3.92,300.0,2.39,310.0,10.7,290.0,0.63,390.0,ok,10.7,,,DA,76.957605,10.511661,3291721072331760640,3291721072331760640,0.13,17.11,-0.063,8.65,0.09,1,11.79508053732407,,True
722103201,3107613661363786752,DA,31.49,8.72,290.0,3.95,240.0,6.64,350.0,-1.64,-200.0,ok,8.72,,,,106.731199,-3.848579,3107613661363786624,3107613661363786624,0.02,13.94,0.281,0.45,0.02,1,2.2060625688767193,,False
837411126,1861987761583990272,DA,29.67,2.77,160.0,1.92,230.0,10.72,70.0,0.55,-80.0,ok,10.72,,,DA,305.77986,31.137037,1861987761583990272,1861987761583990272,0.13,17.09,-0.104,7.65,0.06,1,11.508307175768088,,True
315238,3446495544603989504,DA,28.22,11.88,90.0,2.25,100.0,3.15,70.0,4.67,-120.0,ok,11.88,,,,80.281294,29.596291,315238,3446495544603989376,0.27,19.66,2.777,0.75,0.48,2,9.0353063169585,,False
602111033,446541569311949952,DA,27.81,3.8,-80.0,8.7,-90.0,1.09,100.0,1.69,400.0,ok,8.7,,,,50.77172,54.062786,446541569311949952,446541569311949952,0.2,16.27,1.407,0.46,0.05,1,4.583789158407869,,True
617505068,461992314722901632,DA,26.54,8.8,0.0,6.02,50.0,2.02,-170.0,1.29,100.0,ok,8.8,,,,47.531838,58.935813,461992314722901632,461992314722901632,0.06,16.43,1.909,0.42,0.05,1,4.546246451989502,,True
