sid,G,bp_rp,plx,plxsn,ruwe,dist_pc,drv,nsig,base,fom,tier
1508296105226296704,16.93,0.8,0.357,6.7,0.96,2802,108.1,19.5,38,110.3,DR4-marginal/spectroscopy-gated
1154849944923733888,17.0,0.76,0.253,3.3,0.91,3951,81.3,30.7,252,99.8,DR4-marginal/spectroscopy-gated
3859622057893797376,17.1,0.66,0.428,4.4,1.08,2334,86.9,23.5,155,81.9,DR4-marginal/spectroscopy-gated
3634179057023524864,16.15,0.71,0.397,6.9,0.98,2522,46.1,21.2,112,77.6,DR4-marginal/spectroscopy-gated
1285630569510471680,16.3,0.69,0.256,6.2,1.03,3902,43.3,19.8,123,61.2,DR4-marginal/spectroscopy-gated
1506270323771488768,16.81,1.24,1.052,22.4,1.07,950,40.3,14.9,55,61.1,DR4-astrom-decisive
3793114042638882816,16.73,0.73,0.334,4.7,1.02,2992,45.0,25.6,82,59.9,DR4-marginal/spectroscopy-gated
4033268311521029888,16.01,0.95,0.237,4.8,0.92,4211,41.6,19.3,55,59.0,DR4-marginal/spectroscopy-gated
3633066282536753792,16.81,0.85,0.326,4.2,1.01,3072,52.5,22.9,93,57.7,DR4-marginal/spectroscopy-gated
1507433091677277696,16.64,0.78,0.496,12.5,0.9,2017,40.7,15.5,38,52.7,DR4-marginal/spectroscopy-gated
3808855338296509568,16.71,0.76,0.368,3.8,0.94,2719,41.9,20.5,91,42.3,DR4-marginal/spectroscopy-gated
1505638070225474944,16.63,0.74,0.186,4.3,1.0,5380,52.8,14.3,311,40.4,DR4-marginal/spectroscopy-gated
1129647493442848768,17.04,0.8,0.225,4.0,1.03,4447,49.3,19.5,86,39.2,DR4-marginal/spectroscopy-gated
3659600315613314304,16.98,1.02,0.384,3.8,1.11,2607,57.5,15.4,87,37.1,DR4-marginal/spectroscopy-gated
5735551656961283200,16.84,0.77,0.266,4.4,1.01,3759,53.7,14.3,52,36.8,DR4-marginal/spectroscopy-gated
