source_id,verdict,period_status,best_period_d,period_type,K_kms,fM_msun,m1_est_msun,m2_min_msun,ztf_n_epochs
3665586361857490432,NO_PERIOD_PENDING,NO_PERIOD,0.191454,none,0,0,0.8,0,717
3859622057893797376,NO_PERIOD_PENDING,NO_PERIOD,0,none,0,0,0.9,0,658
4419863849751969664,NO_PERIOD_PENDING,NO_PERIOD,0.0546,none,0,0,0.75,0,38
1154849944923733888,NO_PERIOD_PENDING,NO_PERIOD,0.33282,none,0,0,0.8,0,1312
2516386605326462848,NO_PERIOD_PENDING,NO_PERIOD,0.106871,none,0,0,0.8,0,152
3896024482708025984,NO_PERIOD_PENDING,NO_PERIOD,3.997411,none,0,0,0.75,0,541
3825514382566205312,NO_PERIOD_PENDING,NO_PERIOD,29.582774,other,0,0,0.8,0,975
3685146467557321984,NO_PERIOD_PENDING,NO_PERIOD,2.038492,none,0,0,0.7,0,675
4416914787767626240,STELLAR_SB1,MARGINAL,1.81639546089204,ambiguous,29.4,0.0048,0.8,0.16,717
1154711303379288576,NO_PERIOD_PENDING,NO_PERIOD,0.370091,none,0,0,0.7,0,1060
3651986433814375808,NO_PERIOD_PENDING,NO_PERIOD,0.09232,none,0,0,0.7,0,2066
1288515275706791680,NO_PERIOD_PENDING,NO_PERIOD,0.084122,none,0,0,0.75,0,83
3823747604819850624,NO_PERIOD_PENDING,NO_PERIOD,0.27496,none,0,0,0.8,0,899
2688492537652631424,ARTIFACT,CREDIBLE_PERIOD,0.341587,other,30.93,0.002094113,1.4,0.17,1252
3785672651021535872,NO_PERIOD_PENDING,NO_ZTF,0,none,0,0,0.8,0,0
4420297293556298880,ARTIFACT,MARGINAL,0.9975,other,6.44,3e-05,0.8,0.03,804
4419654805103735424,ARTIFACT,MARGINAL,0.664847,other,31.4,0.00214,0.65,0.2,822
6339839884627185920,NO_PERIOD_PENDING,NO_PERIOD,0.90107,none,0,0,1.15,0,806
1487993691738905728,NO_PERIOD_PENDING,NO_PERIOD,29.57,none,0,0,0.7,0,1950
1506738642709375360,NO_PERIOD_PENDING,NO_PERIOD,29.491766,none,0,0,0.7,0,2060
1478160106419788928,NO_PERIOD_PENDING,NO_PERIOD,0.054726,none,0,0,0.7,0,161
3701314545525282304,NO_PERIOD_PENDING,NO_PERIOD,2.8664,none,0,0,0.8,0,1032
1278837748018879232,NO_PERIOD_PENDING,NO_PERIOD,3.44933,none,0,0,0.6,0,1014
1126496666779064064,STELLAR_SB1,CREDIBLE_PERIOD,3.44977,other,72.65,0.137,0.7,0.62,1161
3563375799594512512,NO_PERIOD_PENDING,NO_PERIOD,0.997009,none,0,0,0.8,0,942
3831414946076844032,STELLAR_SB1,CREDIBLE_PERIOD,1.5279896399481998,eclipse,74.23,0.0648,0.8,0.47,1506
1295257824604221696,NO_PERIOD_PENDING,NO_PERIOD,1.503991,none,0,0,0.8,0,872
3668094901931417728,NO_PERIOD_PENDING,MARGINAL,0.5079388278481701,other,6.669,1.56e-05,0.75,0.021,951
"3633111495656814592 (Gaia DR2 id; = Gaia DR3 3633111499952596480, same star by position/photometry match)",NO_PERIOD_PENDING,NO_PERIOD,0.1167,none,0,0,0.8,0,95
1487470319907416832,STELLAR_SB1,CREDIBLE_PERIOD,1.319478,ellipsoidal,77.94,0.0647,0.85,0.49,2454
