source_id,name,G,BP_RP,n_atlas_c,n_atlas_o,n_outburst_events_c,n_outburst_events_o,band_consistent_outburst,cross_survey_coincidence,period_tier,best_period_c_d,best_period_o_d,coherent,asassn_coverage,asassn_outburst_tier,n_neighbors_15as,blend_flag,classification,reasons,png
5086290113773259776,eRASS1 J033510.0-240911,15.987,0.982,1041,3649,1,11,False,False,MARGINAL,0.14821716541162597,0.9996556848914123,False,matched,none,1,True,ambiguous_blend,single-band outburst candidate only -- needs confirmation,/tmp/atlas_bridge/pngs/5086290113773259776.png
5518166598858566528,eRASS1 J074744.7-482558,16.937,1.46,695,2298,0,0,False,False,MARGINAL,0.6598634118253394,0.10142880255616454,False,no_asassn_counterpart,NO_LC_DATA,3,True,ambiguous_blend,"marginal non-alias period signal, band coherence uncertain; downgraded: bright neighbour within blend radius",/tmp/atlas_bridge/pngs/5518166598858566528.png
4933000119641126912,eRASS1 J005925.3-474843,15.887,1.328,622,1818,12,0,False,False,MARGINAL,0.9973010980493492,0.34511127124464236,False,matched,none,2,True,ambiguous_blend,single-band outburst candidate only -- needs confirmation,/tmp/atlas_bridge/pngs/4933000119641126912.png
5700916082915916032,eRASS1 J081057.7-211610,14.117,0.842,1081,4141,0,0,False,False,MARGINAL (alias-consistent),0.5474416902063866,1.0000611131199735,False,matched,none,3,False,coronal_or_quiet,no outburst; period signal (if any) is alias-consistent or below threshold,/tmp/atlas_bridge/pngs/5700916082915916032.png
5698053847990609920,eRASS1 J080939.0-241518,14.749,0.918,1009,3926,0,0,False,False,MARGINAL (alias-consistent),0.9972581880644247,29.523253815772787,False,matched,NO_LC_DATA,3,False,coronal_or_quiet,no outburst; period signal (if any) is alias-consistent or below threshold,/tmp/atlas_bridge/pngs/5698053847990609920.png
4822674126477654784,eRASS1 J051943.9-352029,15.418,0.769,1182,4680,0,0,False,False,MARGINAL,0.08995411357730168,29.500619598666585,False,matched,none,0,False,accretor_possible,"marginal non-alias period signal, band coherence uncertain",/tmp/atlas_bridge/pngs/4822674126477654784.png
6342358797048816128,eRASS1 J195248.1-872256,18.665,0.714,1133,3615,0,0,False,False,MARGINAL (alias-consistent),1.017224627115657,0.9996763968700958,True,matched,candidate-artifact-outburst,3,False,coronal_or_quiet,no outburst; period signal (if any) is alias-consistent or below threshold,/tmp/atlas_bridge/pngs/6342358797048816128.png
2993086056306989824,eRASS1 J061056.4-152054,16.493,1.57,1219,5208,0,0,False,False,MARGINAL,0.99738250165422,0.49918346930123325,False,matched,none,0,False,accretor_possible,"marginal non-alias period signal, band coherence uncertain",/tmp/atlas_bridge/pngs/2993086056306989824.png
6006980297150138112,eRASS1 J151305.9-390418,14.469,0.746,833,2961,0,0,False,False,QUIET,0.23223443610718758,2.1022637322714504,False,matched,NO_LC_DATA,8,True,ambiguous_blend,no outburst; period signal (if any) is alias-consistent or below threshold; downgraded: bright neighbour within blend radius,/tmp/atlas_bridge/pngs/6006980297150138112.png
5713277789070104960,eRASS1 J080530.3-201237,15.459,1.023,1108,4334,0,0,False,False,QUIET,0.2474014773847075,0.12531577804237326,False,matched,none,3,True,ambiguous_blend,no outburst; period signal (if any) is alias-consistent or below threshold; downgraded: bright neighbour within blend radius,/tmp/atlas_bridge/pngs/5713277789070104960.png
6414835064496112640,eRASS1 J183831.6-750020,18.915,1.075,522,1837,0,0,False,False,MARGINAL,0.5036798387146881,0.9964092640252669,False,matched,none,1,True,ambiguous_blend,"marginal non-alias period signal, band coherence uncertain; downgraded: bright neighbour within blend radius",/tmp/atlas_bridge/pngs/6414835064496112640.png
5289353281310733696,eRASS1 J074649.3-612756,15.365,0.719,572,2058,0,0,False,False,QUIET,0.08431492805979363,0.49938910024299893,False,matched,none,3,True,ambiguous_blend,no outburst; period signal (if any) is alias-consistent or below threshold; downgraded: bright neighbour within blend radius,/tmp/atlas_bridge/pngs/5289353281310733696.png
5808732887468490368,eRASS1 J163428.7-693348,15.8,1.05,478,1597,7,22,True,False,MARGINAL,0.35029075189788883,1.3127782647594086,False,matched,NO_LC_DATA,3,True,ambiguous_blend,chromatic-consistent (c+o simultaneous) outburst in ATLAS; downgraded: bright neighbour within blend radius,/tmp/atlas_bridge/pngs/5808732887468490368.png
4688120596457178624,eRASS1 J013933.0-703127,18.763,0.71,531,1578,0,0,False,False,MARGINAL,0.5037310876318911,0.24969350395420273,False,matched,NO_LC_DATA,0,False,accretor_possible,"marginal non-alias period signal, band coherence uncertain",/tmp/atlas_bridge/pngs/4688120596457178624.png
4715379894891417856,eRASS1 J012229.2-623125,17.249,1.719,585,1604,0,0,False,False,MARGINAL,0.44040264416144126,0.24900922754841548,False,matched,none,2,True,ambiguous_blend,"marginal non-alias period signal, band coherence uncertain; downgraded: bright neighbour within blend radius",/tmp/atlas_bridge/pngs/4715379894891417856.png
