source_id,dec,G,BP_RP,southern_dec_lt_-30,claimed_by,notes
5086290113773259776,-24.153,15.987,0.982,False,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.968, sep=6.58arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
5518166598858566528,-48.433,16.937,1.46,True,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.594, sep=14.37arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
4933000119641126912,-47.811,15.887,1.328,True,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.941, sep=6.58arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
5700916082915916032,-21.267,14.117,0.842,False,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.753, sep=9.90arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
5698053847990609920,-24.257,14.749,0.918,False,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.631, sep=6.45arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
4822674126477654784,-35.341,15.418,0.769,True,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.968, sep=1.15arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
6342358797048816128,-87.383,18.665,0.714,True,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.545, sep=4.26arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
2993086056306989824,-15.348,16.493,1.57,False,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.984, sep=3.26arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
6006980297150138112,-39.073,14.469,0.746,True,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.950, sep=5.97arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
5713277789070104960,-20.21,15.459,1.023,False,UNCLAIMED,"Wang&Takata2025(J/A+A/698/A321): no match (id+pos, nearest ~1.2deg) | Fang+2026(arXiv:2606.01085) 43 COB: no match (pos, nearest ~4deg; also outside dec range for southern ones) | HamStar(J/A+A/684/A121): counterpart matched (p_coronal=0.761, sep=4.47arcsec) but Coronal FLAG=0 (excluded/non-coronal); no SIMBAD name attached -- NOT a classification claim | VSX(B/vsx): no match <=5arcsec | SIMBAD: no match <=10arcsec (id or position) | local KnownObjectStore: known=False"
