source_id,name,G,ra,dec,southern,bridge,asas_sn_id,asassn_coverage,n_epochs_g,n_epochs_V,baseline_yr,quiescent_mag_g,quiescent_mag_V,mag_floor_mmag,n_outbursts,outburst_amplitudes,outburst_dates,outburst_tier,n_dips,dip_tier,period_verdict,best_period_d,period_evidence,n_neighbors_15as,nearest_neighbor_sep,nearest_neighbor_G,blend_flag,classification_guess,evidence_oneliner
2919151729061041408,eRASS1 1eRASS J065401.9-270244,16.76,103.50792425532934,-27.047,False,False,472447526345,matched,1281,621,10.5,17.262,16.745,357.0,0,,,none,0,none,not_screened,,,0,,,False,coronal_rotator,"quiet: 1281 epochs, 10.5 yr baseline, floor 357.0 mmag"
2943513990451175168,eRASS1 1eRASS J061859.2-175023,14.413,94.74705177418207,-17.839,False,False,472447047526,matched,1802,962,11.26,14.728,14.421,194.1,0,,,none,0,none,not_screened,,,2,8.851,16.289770126342773,False,coronal_rotator,"quiet: 1802 epochs, 11.26 yr baseline, floor 194.1 mmag"
2974439232450094336,eRASS1 1eRASS J044730.0-204409,15.157,71.87615400530757,-20.736,False,False,489627436779,matched,2122,1030,11.27,15.466,15.228,84.6,0,,,none,0,none,not_screened,,,0,,,False,coronal_rotator,"quiet: 2122 epochs, 11.27 yr baseline, floor 84.6 mmag"
2979014609570937728,eRASS1 1eRASS J044032.9-175240,17.517,70.13569738172149,-17.879,False,False,472447055234,matched,658,474,12.81,17.919,17.473,414.0,0,,,none,0,none,not_screened,,,0,,,False,coronal_rotator,"quiet: 658 epochs, 12.81 yr baseline, floor 414.0 mmag"
2988447388544697984,eRASS1 1eRASS J051158.4-133017,16.269,77.99371566854188,-13.503,False,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,1,14.971,17.456924438476562,False,coronal_rotator_expected,no ASAS-SN counterpart
2993086056306989824,eRASS1 1eRASS J061056.4-152054,16.493,92.73629484250009,-15.348,False,True,395137304877,matched,935,525,12.99,16.751,16.39,222.0,0,,,none,0,none,MARGINAL,0.9974,"[outburst-masked, 0 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True",0,,,False,marginal_period_followup,"marginal period signal 0.9974 d, [outburst-masked, 0 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True"
2998141473331847936,eRASS1 1eRASS J060616.1-114552,16.044,91.5675135071052,-11.763,False,False,283468353436,matched,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,1,6.854,19.829448699951172,False,coronal_rotator_expected,ASAS-SN lightcurve fetch failed/unavailable
3011360970350362880,eRASS1 1eRASS J055717.4-100702,12.709,89.32250892369069,-10.117,False,False,292057975339,matched,1048,552,11.28,14.112,13.569,70.1,0,,,none,0,none,not_screened,,,1,11.215,19.91044807434082,False,coronal_rotator,"quiet: 1048 epochs, 11.28 yr baseline, floor 70.1 mmag"
3019142523377055232,eRASS1 1eRASS J060129.3-064143,15.48,90.37241075344608,-6.696,False,False,498216972311,matched,827,276,10.14,16.147,15.69,114.7,0,,,none,0,none,not_screened,,,1,8.783,20.591917037963867,False,coronal_rotator,"quiet: 827 epochs, 10.14 yr baseline, floor 114.7 mmag"
3021820276571880064,eRASS1 1eRASS J061325.3-030240,17.218,93.35672929490771,-3.044,False,False,292058211617,matched,404,103,10.11,17.908,17.752,288.3,0,,,none,0,none,not_screened,,,0,,,False,coronal_rotator,"quiet: 404 epochs, 10.11 yr baseline, floor 288.3 mmag"
