kind,gaia,sdss_id,G,bprp,MG,snr,sw,mwdd,desi,in_prev78,in_highfield_cands
mag,4850889278472424320,93112431,16.23,0.23,12.71,77.3,DAH/DA,DA,/,True,False
mag,4679463733391272448,91808984,18.51,0.15,12.69,18.6,DA,DA,/,False,False
mag,4862847803157741184,93181857,18.71,0.2,13.01,18.6,DA,DA,/,False,False
mag,6499095244738784128,110869723,16.7,0.2,12.72,60.6,DAH,DA,/,True,False
mag,3290180587821828480,76263172,18.91,0.25,13.17,14.6,DA,DA,/,False,False
mag,4909119551717563520,93471407,16.37,0.25,13.08,28.7,DC/DA,DC:,/,False,False
mag,4307667617377160704,87874490,17.89,0.26,13.26,34.5,DA/DAH,DA:,/,True,False
mag,5848754492268362624,102767123,17.89,0.23,13.4,15.9,DAH/DA,DA:,/,True,False
mag,2246631460497465472,68942299,17.42,0.16,12.83,12.7,DC/DA,DA:,/,False,False
mag,3987356721738829184,80729520,18.76,-0.25,11.6,16.6,DA:,DA,/,False,False
mag,6509200198978273152,110942752,18.72,-0.36,11.52,13.9,DA/DAH,DA:,/,True,False
mag,4680104332056706304,91813325,18.7,-0.21,11.32,13.9,DAH/DA,DA,/,True,False
mag,2216050296922508160,68727015,19.39,-0.4,12.34,11.9,DA/DAH,,/,True,False
mag,6915353300288749440,114797603,19.28,-0.38,11.5,9.4,DA:,DA,/DBA,False,False
mag,4867935694432066304,93212597,19.53,-0.21,11.41,10.4,DA_MS,,/,False,False
mag,2299190006090503808,69225331,16.22,-0.21,11.47,8.2,DA:,DA,/,False,False
mag,2192687388516522880,68482609,18.66,-0.27,12.02,15.9,DC/DA,DC:,/,False,True
mag,5920596066603197056,104390950,15.59,-0.46,12.03,39.0,DC,DA,/,False,False
mag,4883191104733786496,93307679,17.9,-0.21,12.28,20.4,DC:,DB,/,False,False
mag,6021870154194477312,106653583,17.92,-0.38,11.94,23.9,DZ,DA:,/,False,False
cv_or_emission,3150339377539742336,75287553,18.39,0.28,10.1,33.7,CV,,/,False,False
cv_or_emission,303379000683514240,116630646,19.64,0.14,10.07,13.7,CV:,,/,False,False
cv_or_emission,3988140604810755712,80733222,19.95,0.14,11.96,7.7,CV,,/,False,False
cv_or_emission,1815530332977204096,63641160,18.53,0.34,7.5,29.8,CV,,/,False,False
cv_or_emission,6185371175372936064,108544930,17.95,0.3,11.65,25.2,CV,,/,False,False
cv_or_emission,5664935458242923392,100527743,18.29,0.01,7.23,24.8,CV,,/,False,False
cv_or_emission,2104562321825510400,67443458,18.78,0.2,11.4,9.7,CV,,/,False,False
cv_or_emission,2079868802496867072,67150469,19.98,0.66,9.03,9.0,CV,,/,False,False
cv_or_emission,4318508939464901760,88187426,16.96,0.11,10.29,31.1,CV,,/,False,False
cv_or_emission,6395747778861116544,109984672,19.86,0.86,14.37,4.5,CV/DBZ,DA,/,False,False
cv_or_emission,3044836838812715264,73881953,18.7,0.09,11.74,19.9,CV,,/,False,False
nebular,2162060668219567488,67996102,19.5,-0.25,11.79,7.6,DA:,DA,/,False,False
nebular,2162171748957864960,67997422,18.54,-0.03,11.92,13.2,DC/CV,DB,/,False,False
nebular,465536349940412928,54878132,19.48,0.49,13.54,9.5,DC:,DA:,/,False,False
nebular,5338675689360848256,96864011,19.26,-0.53,11.03,9.2,DA:,,/,False,False
