sdss_id,gaia_dr3_source_id,telescope,classification,snr,g_mag,n_visits,gid,gaiaedr3,wdid,spectype
69978673,2472075114200625792,apo25m,DZ/DC,5.77533,19.73137,3,2472075114200625792,2472075114200625792,Gaia DR3 2472075114200625792,DQH:
89066267,4438164190006954880,apo25m,DA:,16.72567,18.21582,1,4438164190006954880,4438164190006954880,SDSS J161847.38+061155.2,DQH
56785336,740483560857296768,apo25m,DB/DC,10.41995,16.54682,1,740483560857296768,740483560857296768,LP 315-42,DQH
57921875,921642532239821440,apo25m,DZ/DA,12.71986,18.83518,2,921642532239821440,921642532239821440,SDSS J080643.94+405837.7,DZH
80176536,3878793490528218752,apo25m,DB,15.96903,17.11885,1,3878793490528218752,3878793490528218752,PG 0949+094,DBAH:
95874768,5271072526109138176,lco25m,DZ/DQpec,11.8781,18.15734,1,5271072526109138176,5271072526109138176,Gaia DR2 5271072526109138176,DQpec
69506331,2360911537990561280,lco25m,,34.21016,15.73658,1,2360911537990561280,2360911537990561280,WD 0026-218,DBH
61155155,1414365617137902848,apo25m,DA,22.64142,18.24145,2,1414365617137902848,1414365617137902848,Gaia DR3 1414365617137902848,DBAH
56387816,673316250558574848,apo25m,DC:,14.47139,19.225,2,673316250558574848,673316250558574848,SDSS J075227.92+195314.2,DH
70354011,2545579360599665792,apo25m,DB/DC,59.5541,17.04672,2,2545579360599665792,2545579360599665792,WD 0015+004,DBH
56327323,667311680120675712,apo25m,DC:,7.806445,19.72789,1,667311680120675712,667311680120675712,SDSS J075907.80+164639.3,DBAH:
78995796,3656469211440196736,apo25m,DC,40.9603,17.56883,7,3656469211440196736,3656469211440196736,Gaia DR2 3656469211440196736,DAHe
58804953,1046096871862877184,apo25m,DB:,8.856623,17.88324,1,1046096871862877184,1046096871862877184,SDSS J095723.12+571350.2,DBAH:
101545237,5755308987559224320,lco25m,DA/DC,6.258221,19.85723,2,5755308987559224320,5755308987559224320,Gaia DR3 5755308987559224320,DQH?
70559958,2587543763765699968,apo25m,DB:,26.59017,17.83073,5,2587543763765699968,2587543763765699968,WD 0140+130,DBH
79222050,3694399755554510720,apo25m,DB/DC,16.54545,17.80697,1,3694399755554510720,3694399755554510720,LHS 2534,DZH
79826542,3810552434493888768,apo25m,DA:,9.005433,18.47966,1,3810552434493888768,3810552434493888768,WD 1111+020,DQH
80201642,3883918657822146944,apo25m,DC,36.96017,17.46021,1,3883918657822146944,3883918657822146944,Gaia DR3 3883918657822146944,DZH
80362737,3915335961340525056,apo25m,DQ:,55.43938,18.76416,25,3915335961340525056,3915335961340525056,Gaia DR3 3915335961340525056,DQH
116653459,306779618349361920,apo25m,DA/DC,9.187996,18.88051,2,306779618349361920,306779618349361920,LSPM J0107+2650,DZH
61248548,1428562506980546688,apo25m,DC,28.55079,18.23513,8,1428562506980546688,1428562506980546688,Gaia DR2 1428562506980546688,DAHe
70284101,2533306985471073920,apo25m,DC,70.99578,16.68631,7,2533306985471073920,2533306985471073920,Gaia DR2 2533306985471073920,DQH?
69047168,2262423260674083840,apo25m,DC/DA,9.050873,19.13867,1,2262423260674083840,2262423260674083840,Gaia DR3 2262423260674083840,DZH
57555689,875933497410738688,apo25m,DBA,31.94805,19.58238,7,875933497410738688,875933497410738688,SDSS J075156.09+293447.1,DBAH+M:
75854318,3218697767783768320,apo25m,DQ:,46.89098,14.42518,1,3218697767783768320,3218697767783768320,GJ 1086,DQH
79656677,3776918275016618112,lco25m,DC/DQ,77.96796,16.81869,4,3776918275016618112,3776918275016618112,HE 1043-0502,DBH
61845294,1534384148897669248,apo25m,DQpec/DB,12.93761,17.12868,1,1534384148897669248,1534384148897669248,WD 1235+422,DQP
80730544,3987587069425428096,apo25m,DC/DZ,27.13282,17.76488,1,3987587069425428096,3987587069425428096,SDSS J104219.11+203008.1,DH
