###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57446.664110  19.505  1.165    57   67 o  0   1.12 244.72542 -35.90761  8014.82  1871.36 3.94 3.29  19.2 -0.576 17.78 18.37 02a57446o0423o
57447.656182  20.800  2.722    17   47 o  0   1.08 244.72542 -35.90761  7842.97  1728.83 4.11 3.35  15.3 -0.548 18.29 19.22 02a57447o0853o
57453.647352 -21.634  2.950    -8   24 c  0   0.65 244.72542 -35.90761  2621.62  8755.10 3.85 3.66 -56.9 -0.446 19.32 21.01 02a57453o0818c
57457.634090 -20.075  0.939   -34   32 c  0   1.02 244.72542 -35.90761  7930.59  1986.75 4.11 3.59 -81.7 -0.468 18.91 20.90 02a57457o0809c
57457.655405 -20.725  2.200   -19   41 c  0   1.42 244.72542 -35.90761  2388.31  8108.69 4.34 3.48 -72.4 -0.453 18.53 20.13 02a57457o0846c
57461.619438  20.977  3.000    15   44 c  0   1.25 244.72542 -35.90761  7979.94  1869.30 4.17 3.59  20.9 -0.481 17.60 19.33 02a57461o0783c
57461.641616  18.705  2.224   120  266 c  0   0.83 244.72542 -35.90761  2323.89  8203.59 3.91 3.66 -59.5 -0.440 17.78 19.47 02a57461o0821c
57465.605367  21.011  2.310    14   33 o  0   1.03 244.72542 -35.90761  7797.21  2118.18 4.20 3.55  20.8 -0.524 18.80 20.33 02a57465o0776o
57465.627510 -19.513  0.468   -57   27 o  0   1.37 244.72542 -35.90761  8076.59  2712.61 3.93 3.45  30.1 -0.525 18.88 20.46 02a57465o0816o
57465.642715 -20.315  0.941   -27   26 o  0   1.14 244.72542 -35.90761  3675.48  7404.12 3.72 3.33 -69.8 -0.502 18.86 20.29 02a57465o0844o
57465.651835  18.809  0.385   109   42 o  0   1.35 244.72542 -35.90761  3489.97  7534.15 3.71 3.26 -66.7 -0.514 18.32 19.20 02a57465o0860o
57469.488547 -18.903  0.731  -100   73 o  0   1.03 244.72542 -35.90761  7142.28  3118.81 4.69 3.66   8.5 -0.464 17.59 18.50 02a57469o0568o
57477.568039  20.228  1.400    29   41 o  0   1.16 244.72542 -35.90761  7811.80  2128.96 4.11 3.48  21.5 -0.538 18.39 19.51 02a57477o0719o
57477.584782 -22.253  8.600    -5   39 o  0   1.10 244.72542 -35.90761  8100.25  2721.18 3.94 3.43  32.7 -0.523 18.43 19.50 02a57477o0749o
57477.611629 -21.643  4.650    -8   37 o  0   1.06 244.72542 -35.90761  3665.50  7376.74 3.69 3.27 -72.0 -0.510 18.43 19.46 02a57477o0800o
57477.615496 -19.666  0.758   -49   37 o  0   0.98 244.72542 -35.90761  3477.80  7529.79 3.65 3.26 -69.0 -0.518 18.45 19.45 02a57477o0808o
57481.491215 -19.763  0.550   -45   25 c  0   1.13 244.72542 -35.90761  8099.80  1943.30 4.63 3.92  22.3 -0.461 19.13 20.90 02a57481o0573c
57481.504732 -20.627  1.111   -20   23 c  0   1.03 244.72542 -35.90761  8389.71  2534.15 4.61 4.12  36.1 -0.435 19.12 20.94 02a57481o0601c
57481.522572  20.210  0.730    30   22 c  0   1.00 244.72542 -35.90761  7198.03  3102.69 4.11 3.86  30.6 -0.450 19.20 20.97 02a57481o0638c
57481.534150  21.752  3.000     7   22 c  0   0.97 244.72542 -35.90761  7110.67  3124.71 4.24 3.90  22.7 -0.435 19.18 20.96 02a57481o0662c
57494.522034  19.749  0.963    46   44 o  0   1.24 244.72542 -35.90761  7699.87  2113.95 3.96 3.48  22.1 -0.520 18.32 19.53 02a57494o0617o
57494.534348 -19.939  0.941   -38   36 o  0   0.95 244.72542 -35.90761  7718.32  2149.54 4.28 3.76  23.8 -0.480 18.52 19.94 02a57494o0639o
57494.554972 -20.511  1.340   -23   30 o  0   1.09 244.72542 -35.90761  2897.95  8468.37 4.02 3.65 -59.2 -0.465 18.67 20.04 02a57494o0679o
57494.563132 -20.812  1.780   -17   31 o  0   1.25 244.72542 -35.90761  2913.66  8353.58 3.91 3.45 -65.5 -0.486 18.70 19.99 02a57494o0694o
57497.514277 -20.466  3.312   -24   78 o  0   1.01 244.72542 -35.90761  7701.75  2116.02 4.52 3.92  22.1 -0.490 17.59 18.32 02a57497o0522o
57497.530139 -19.241  0.765   -73   56 o  0   1.31 244.72542 -35.90761  2834.99  8381.70 3.75 3.35 -68.7 -0.511 18.21 19.12 02a57497o0550o
57497.546612 -23.989 75.500    -1   70 o  0   0.93 244.72542 -35.90761  2893.71  8467.92 4.03 3.56 -66.1 -0.487 18.19 19.09 02a57497o0579o
57497.557817  19.585  1.137    53   60 o  0   1.46 244.72542 -35.90761  2909.50  8355.39 3.87 3.40 -66.2 -0.498 18.25 19.08 02a57497o0601o
57511.493141 -20.237  0.742   -29   22 c  0   0.93 244.72542 -35.90761  4774.73  8591.80 3.93 3.77 -70.8 -0.423 19.06 20.89 02a57511o0558c
57511.503868 -20.882  1.353   -16   22 c  0   1.10 244.72542 -35.90761  4740.12  8558.02 4.09 3.92 -77.3 -0.419 19.15 21.00 02a57511o0580c
57511.517105 -22.182  4.000    -5   20 c  0   1.24 244.72542 -35.90761  4801.00  8641.52 3.97 3.82 -76.6 -0.423 19.22 21.04 02a57511o0606c
57511.530007  21.321  1.905    11   20 c  0   1.09 244.72542 -35.90761  4813.29  8527.30 4.39 4.17 -74.5 -0.383 19.14 21.05 02a57511o0632c
57520.443734 -23.875 23.500    -1   24 c  0   1.03 244.72542 -35.90761  4619.60  9929.96 4.30 4.03 -69.2 -0.438 19.24 21.15 02a57520o0433c
57520.448742  21.447  2.786    10   27 c  0   1.20 244.72542 -35.90761  7567.41   290.32 5.19 4.01  13.9 -0.476 19.15 21.04 02a57520o0442c
57520.457457  22.347  6.833     4   29 c  0   1.05 244.72542 -35.90761  7505.14   206.35 5.24 3.83  12.3 -0.485 19.13 21.04 02a57520o0458c
57520.464087  19.782  0.550    44   24 c  0   1.05 244.72542 -35.90761  4645.07  9963.88 4.59 4.21 -75.3 -0.421 19.18 21.17 02a57520o0471c
57520.471999 -20.214  0.706   -30   21 c  0   1.19 244.72542 -35.90761  3057.93 10200.25 4.24 4.04 -45.2 -0.410 18.97 20.85 02a57520o0487c
57520.473453 -19.748  0.592   -46   27 c  0   0.97 244.72542 -35.90761  5964.16   636.98 5.09 3.97   2.4 -0.498 19.23 21.07 02a57520o0490c
57520.479927 -19.353  0.385   -66   25 c  0   1.12 244.72542 -35.90761  5979.29   520.92 5.05 3.92   2.8 -0.505 19.23 21.06 02a57520o0502c
57520.484929 -20.775  1.152   -18   20 c  0   1.30 244.72542 -35.90761  3022.87 10261.42 4.39 4.04 -45.9 -0.407 19.13 20.96 02a57520o0511c
57520.489154  22.076  5.000     5   27 c  0   1.17 244.72542 -35.90761  5944.78   582.33 5.32 4.01   2.1 -0.490 19.20 21.04 02a57520o0519c
57521.442434 -19.304  0.567   -69   39 c  0   0.81 244.72542 -35.90761  7606.82  3675.74 4.03 3.78  56.5 -0.463 18.66 20.41 02a57521o0410c
57521.461575 -22.484  9.600    -4   35 c  0   0.97 244.72542 -35.90761  2910.30  6801.07 4.01 3.65 -52.4 -0.461 18.63 20.39 02a57521o0448c
57521.474023 -19.999  0.723   -36   26 c  0   1.11 244.72542 -35.90761  2968.63  6888.01 3.96 3.64 -55.0 -0.466 18.94 20.67 02a57521o0471c
57521.486379  20.265  0.785    28   22 c  0   1.09 244.72542 -35.90761  2981.65  6774.62 3.94 3.62 -59.3 -0.465 19.23 20.98 02a57521o0494c
57521.498459 -20.285  1.022   -28   28 c  0   0.89 244.72542 -35.90761  2947.52  6834.00 3.98 3.59 -65.8 -0.465 18.88 20.63 02a57521o0517c
57522.444647 -18.381  0.106  -161   17 c  0   1.25 244.72542 -35.90761  7649.72  1787.53 4.08 3.44  23.8 -0.577 19.48 20.83 02a57522o0208c
57522.454173 -18.365  0.109  -164   18 c  0   1.09 244.72542 -35.90761  7666.88  1823.23 4.19 3.52  20.8 -0.554 19.40 20.86 02a57522o0227c
57522.469697 -18.978  0.235   -93   22 c  0   1.28 244.72542 -35.90761  2912.97  8770.16 3.90 3.53 -63.0 -0.493 19.26 20.64 02a57522o0258c
57526.420643 -19.112  0.693   -82   57 o  0   0.96 244.72542 -35.90761  7786.83  2935.00 4.67 4.39  36.6 -0.443 17.93 18.90 02a57526o0388o
57526.441145 -19.939  1.431   -38   55 o  0   1.08 244.72542 -35.90761  7798.31  2970.23 4.42 4.09  40.4 -0.467 17.99 18.90 02a57526o0427o
