gaia_dr3,snr,B_split_Ha_MG,e_B_split_Ha_MG,Ha_sigma_minus_A,Ha_pi_A,Ha_sigma_plus_A,Ha_shift_A,Ha_asym_A,B_split_Hb_MG,e_B_split_Hb_MG,Hb_sigma_minus_A,Hb_pi_A,Hb_sigma_plus_A,Hb_shift_A,Hb_asym_A
4679463733391272448,18.6,4.28,0.03,6477.2,6564.7,6649.4,0.1,-2.9,4.22,0.03,4810.4,4858.2,4903.6,-4.4,-2.5
4862847803157741184,18.6,9.2,0.17,6378.0,6564.6,6748.5,-0.0,-2.8,9.05,0.3,4736.8,4844.8,4936.8,-17.9,-15.9
3290180587821828480,14.6,5.44,0.08,6454.8,6562.5,6673.8,-2.1,3.6,5.11,0.05,4796.6,4855.7,4909.5,-7.0,-5.2
4909119551717563520,28.7,7.14,0.29,6401.7,6524.6,6689.1,-40.0,41.6,7.36,0.11,4805.7,4883.5,4968.2,20.8,6.9
2246631460497465472,12.7,3.31,0.13,6502.7,6548.3,6636.0,-16.4,42.2,6.96,0.81,4802.1,4837.2,4955.7,-25.4,83.2
3987356721738829184,16.6,4.24,0.25,6497.3,6524.6,6667.9,-40.0,115.9,5.23,0.19,4811.0,4822.7,4926.6,-40.0,92.2
6915353300288749440,9.4,3.65,0.02,6484.6,6567.8,6631.3,3.2,-19.7,5.12,0.03,4813.1,4852.3,4926.2,-10.4,34.8
4867935694432066304,10.4,9.61,0.02,6380.4,6565.4,6767.4,0.8,17.1,2.43,0.05,4835.8,4862.8,4889.4,0.1,-0.3
2299190006090503808,8.2,6.97,0.06,6411.5,6551.1,6692.0,-13.5,1.4,6.49,0.15,4779.7,4863.0,4923.0,0.3,-23.4
5920596066603197056,39.0,7.73,0.06,6416.4,6570.9,6727.4,6.2,2.1,8.64,0.13,4783.3,4865.1,4974.1,2.4,27.2
4883191104733786496,20.4,10.04,0.03,6378.4,6555.6,6782.7,-9.0,49.8,10.46,0.35,4755.7,4863.1,4986.7,0.4,16.2
6021870154194477312,23.9,4.38,0.55,6458.4,6568.6,6634.6,3.9,-44.1,7.7,0.5,4816.4,4864.4,4986.5,1.7,74.0
