###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57303.451333  24.033 24.000     1   21 o  0   1.12  49.86842 -31.67024  4732.44  3622.36 3.92 3.65 -18.3 -0.470 18.98 20.67 02a57303o0255o
57303.470861  19.808  0.520    43   22 o  0   1.06  49.86842 -31.67024  4727.57  3625.88 3.90 3.64 -27.6 -0.469 19.04 20.76 02a57303o0283o
57303.488131  20.395  0.923    25   23 o  0   0.92  49.86842 -31.67024  6189.64  2182.68 4.25 3.68   5.6 -0.489 19.04 20.75 02a57303o0310o
57303.491350  19.310  0.347    68   24 o  0   0.90  49.86842 -31.67024  6187.30  2183.07 4.14 3.66   5.6 -0.502 19.05 20.74 02a57303o0315o
57317.414818 -21.432  3.600   -10   35 c  0   0.99  49.86842 -31.67024  4821.57  3644.30 4.50 4.10 -23.1 -0.412 18.56 19.91 02a57317o0294c
57317.433460  19.194  0.437    76   33 c  0   1.00  49.86842 -31.67024  6282.77  2200.97 4.85 4.14   3.2 -0.437 18.64 20.03 02a57317o0323c
57317.448254  19.293  0.420    70   29 c  0   1.07  49.86842 -31.67024  6277.61  2202.38 4.70 3.95   2.9 -0.459 18.77 20.18 02a57317o0346c
57321.430101 -19.285  0.768   -70   54 o  0   1.17  49.86842 -31.67024  4747.15  3652.89 4.03 3.59 -32.7 -0.564 17.85 18.61 02a57321o0359o
57321.457000  19.789  1.326    44   58 o  0   0.99  49.86842 -31.67024  4736.06  3657.90 4.20 3.74 -25.5 -0.511 17.89 18.66 02a57321o0397o
57321.486288  20.941  5.294    15   81 o  0   0.94  49.86842 -31.67024  4429.39  8433.01 4.17 3.38 -71.2 -0.505 17.90 18.62 02a57321o0438o
57321.517569 -19.198  1.151   -76   88 o  0   1.02  49.86842 -31.67024  4435.42  8433.61 4.16 3.34 -70.1 -0.512 17.89 18.58 02a57321o0483o
57329.450899  19.363  0.456    65   30 o  0   1.15  49.86842 -31.67024  4780.75  3682.33 4.64 3.99 -31.0 -0.459 18.70 20.27 02a57329o0391o
57329.479124 -21.028  2.200   -14   31 o  0   1.37  49.86842 -31.67024  5953.92  7002.62 4.11 3.48 -77.0 -0.492 18.63 20.18 02a57329o0432o
57329.507568 -20.347  1.783   -26   47 o  0   0.93  49.86842 -31.67024  4482.40  8451.61 4.44 3.54 -70.1 -0.501 18.36 19.76 02a57329o0473o
57333.449951 -22.030  3.286    -6   18 c  0   1.20  49.86842 -31.67024  5955.27  7003.86 4.05 3.85 -88.8 -0.373 19.38 21.34 02a57333o0396c
57368.342344 -20.656  1.048   -20   21 o  0   1.35  49.86842 -31.67024  4506.15  3982.46 4.20 3.88 -28.2 -0.418 18.86 20.46 02a57368o0269o
57368.359611 -20.838  1.409   -17   24 o  0   1.09  49.86842 -31.67024  6727.78  7050.64 3.76 3.35 -87.0 -0.456 18.90 20.42 02a57368o0294o
57368.377666  21.767  3.333     7   24 o  0   1.12  49.86842 -31.67024  5849.40  5893.93 3.79 3.52 -78.2 -0.438 18.95 20.54 02a57368o0320o
57368.395769 -19.919  0.582   -39   23 o  0   1.05  49.86842 -31.67024  5551.60  7639.96 3.61 3.20 -81.3 -0.463 19.11 20.74 02a57368o0346o
57369.399621 -22.178  5.000    -5   24 o  0   1.33  49.86842 -31.67024  5549.66  7641.11 3.55 3.19 -82.9 -0.469 18.92 20.36 02a57369o0163o
57370.339228  21.081  1.267    13   17 c  0   0.98  49.86842 -31.67024  4504.65  3978.68 4.36 4.05 -37.0 -0.403 19.49 21.58 02a57370o0262c
57370.356416  20.851  1.000    17   17 c  0   1.00  49.86842 -31.67024  6722.02  7049.73 4.03 3.71 -85.1 -0.412 19.50 21.56 02a57370o0287c
57370.374400  21.024  1.158    14   16 c  0   1.12  49.86842 -31.67024  5841.55  5893.30 3.87 3.66 -73.5 -0.421 19.52 21.51 02a57370o0313c
57370.392389 -20.530  0.862   -22   19 c  0   1.13  49.86842 -31.67024  5544.56  7638.87 3.98 3.64 -79.5 -0.414 19.47 21.48 02a57370o0339c
57372.336719  20.557  0.833    22   18 c  0   1.15  49.86842 -31.67024  6416.89  6467.70 4.32 3.93 -77.2 -0.430 19.29 21.28 02a57372o0194c
57372.353025  21.320  2.750    11   30 c  0   0.83  49.86842 -31.67024  6718.92  7048.78 4.56 4.17 -80.5 -0.405 18.97 21.06 02a57372o0219c
57373.390072  23.874 19.000     1   20 c  0   1.19  49.86842 -31.67024  5848.63  5895.83 4.59 4.30 -60.4 -0.388 19.34 21.55 02a57373o0059c
57373.405126 -20.402  0.792   -25   20 c  0   1.47  49.86842 -31.67024  5550.56  7645.18 4.61 4.13 -71.0 -0.410 19.36 21.59 02a57373o0084c
57380.318678 -19.417  0.987   -62   61 o  0   0.95  49.86842 -31.67024  6241.36  6706.26 3.77 3.18 -85.1 -0.471 18.11 18.85 02a57380o0171o
57380.334771  21.916 10.875     6   68 o  0   0.88  49.86842 -31.67024  6538.88  7290.62 3.80 3.23 -85.0 -0.480 18.10 18.84 02a57380o0196o
57380.352529 -18.563  0.373  -136   51 o  0   1.11  49.86842 -31.67024  5657.01  6127.65 3.66 3.20 -81.9 -0.515 18.13 18.84 02a57380o0222o
57380.370618 -20.630  2.731   -20   56 o  0   1.44  49.86842 -31.67024  5355.51  7870.28 3.83 3.25 -79.6 -0.493 18.08 18.80 02a57380o0248o
57381.316997  22.162 15.000     5   74 o  0   1.08  49.86842 -31.67024  6239.87  6706.18 4.29 3.93 -84.9 -0.420 17.90 18.72 02a57381o0141o
57381.333042  20.350  3.423    26   90 o  0   0.85  49.86842 -31.67024  6538.17  7289.80 4.36 4.00 -87.2 -0.406 17.87 18.71 02a57381o0166o
57381.350522 -18.152  0.290  -199   58 o  0   1.28  49.86842 -31.67024  5657.11  6128.07 4.08 3.73 -79.6 -0.430 17.94 18.70 02a57381o0192o
