source_id,n,f_gaia,atlas_top,atlas_top_fap,f_atlas,f_amp,f_eamp,f_ctrl_pct,f_tmax,2f_atlas,2f_amp,2f_eamp,2f_ctrl_pct,2f_tmax,f/2_atlas,f/2_amp,f/2_eamp,f/2_ctrl_pct,f/2_tmax,ctrl_med,ctrl_max,gaia_amp_at_fatlas,gaia_eamp,gaia_tmax
2883364038621038208,4457,2.22181,2.22174,6.7e-123,2.221765,4.68,0.19,100,2458000.4499,4.443547,1.21,0.2,97,2458000.1143,1.118103,0.92,0.2,87,2458000.0689,0.75,1.52,5.53,0.32,2458000.0006
2888030331609338240,5225,1.46769,1.46764,2.7e-50,1.467642,2.25,0.13,100,2458000.3826,2.935235,1.11,0.14,100,2458000.1709,0.737085,0.93,0.14,100,2458000.922,0.56,0.76,2.88,0.28,2458000.3278
3496637913394359680,3957,0.16986,0.16988,1.2e-100,0.169908,4.18,0.18,100,2458003.5353,0.332798,1.25,0.19,100,2458002.7576,0.074931,0.75,0.2,50,2458011.792,0.75,0.9,4.58,0.28,2458003.2239
3537042874067950336,4405,0.75354,0.75353,3.4e-73,0.753531,2.3,0.12,100,2458000.4706,1.499298,0.78,0.12,93,2458000.2405,0.375318,0.54,0.12,60,2458000.3528,0.49,1.28,3.04,0.16,2458000.4661
4749559145849819008,2232,2.52856,4.26089,2.6e-19,2.528431,1.1,0.1,100,2458000.0825,5.051603,0.52,0.1,57,2458000.0274,1.255656,1.25,0.11,100,2458000.7235,0.48,0.66,2.18,0.23,2458000.3187
4764068163850888064,2418,13.10831,0.99831,2.3e-113,13.098307,15.3,2.0,47,2458000.0316,26.21454,13.35,2.0,17,2458000.0097,6.562958,22.84,1.97,93,2458000.0082,16.01,38.36,10.43,7.78,2458000.0151
5055036663256963072,4895,11.98561,4.00301,5.8e-122,11.986017,2.33,0.32,77,2458000.0605,23.980158,2.41,0.32,77,2458000.0037,5.99421,3.22,0.32,90,2458000.1193,1.76,5.71,13.77,3.07,2458000.044
5657176543986789248,4699,2.16998,2.16999,1.4e-135,2.169986,2.49,0.09,100,2458000.4052,4.340818,0.57,0.1,90,2458000.1138,1.085692,0.72,0.1,97,2458000.0064,0.41,0.75,3.64,0.15,2458000.4024
6456720612064924928,1899,23.47795,23.47792,1.2e-26,23.477937,3.18,0.26,100,2458000.0124,46.95384,0.85,0.27,13,2458000.0128,11.746064,0.95,0.27,27,2458000.0088,1.01,1.48,4.83,0.22,2458000.0153
6639666736903611136,2113,0.26938,0.26943,8.6e-33,0.269453,1.74,0.13,100,2458003.5409,0.529357,0.79,0.13,90,2458000.5773,0.140094,0.85,0.13,97,2458002.2828,0.65,0.87,2.11,0.2,2458002.811
6644157726508197504,1588,12.03801,1.00141,8e-22,12.02878,3.66,1.06,27,2458000.0436,24.072536,3.42,1.06,17,2458000.0407,6.02891,4.25,1.06,57,2458000.117,4.02,6.67,10.86,5.97,2458000.0176
6828182472250027776,4276,15.77669,15.77662,4.1e-188,15.776622,2.48,0.08,100,2458000.0474,31.545238,0.39,0.09,30,2458000.0036,7.884869,0.4,0.09,30,2458000.0713,0.42,0.96,3.2,0.23,2458000.0483
