source_id,f,G_n,G_amp,G_eamp,G_ph,G_pow,G_perm_p,BP_n,BP_amp,BP_eamp,BP_ph,BP_pow,RP_n,RP_amp,RP_eamp,RP_ph,RP_pow
383672490865801600,0.20168120364,47,0.5155,0.0664,48,0.658,0.0,48,0.2916,0.1576,41,0.08,48,0.5673,0.31,40,0.077
2308881994928802432,0.000934303492,26,0.6008,0.0597,237,0.795,0.0,20,0.3603,0.2008,311,0.179,23,0.8479,0.0902,228,0.807
381273150333675136,0.329067444849,37,0.2341,0.0213,12,0.811,0.0,33,0.0411,0.0334,57,0.06,32,0.1577,0.0447,349,0.312
2883364038621038208,2.221807125339,41,0.0559,0.0031,353,0.911,0.0,41,0.0955,0.0327,1,0.227,41,0.0577,0.0224,340,0.19
6828182472250027776,15.776686944096,43,0.0325,0.0023,262,0.835,0.0,41,0.0323,0.0037,270,0.672,39,0.0146,0.0065,270,0.129
437628614520520320,0.198453212098,32,0.0421,0.0021,216,0.957,0.0,30,0.0735,0.0356,193,0.187,30,0.0472,0.0329,289,0.073
178685757799822080,0.136825143207,41,0.0559,0.0042,131,0.893,0.0,40,0.0604,0.0256,134,0.216,41,0.0801,0.0337,174,0.201
2377863773908424448,21.883883175499,71,0.0336,0.0023,209,0.804,0.0,71,0.0372,0.0024,213,0.806,69,0.0252,0.0036,204,0.443
5055036663256963072,11.985614033502,73,0.2283,0.0242,303,0.556,0.0,65,0.1992,0.0275,298,0.468,64,0.171,0.038,319,0.248
2888030331609338240,1.467693965155,46,0.0291,0.0028,164,0.746,0.0,44,0.0223,0.0134,158,0.063,46,0.026,0.0158,144,0.058
6456720612064924928,23.477948266264,44,0.0483,0.0022,127,0.942,0.0,44,0.079,0.017,110,0.393,44,0.0505,0.0237,98,0.126
4922686318317847424,0.001372576105,52,0.7867,0.1201,56,0.52,0.0,46,0.8954,0.1523,56,0.486,46,1.389,0.2618,68,0.425
3537042874067950336,0.753541799263,65,0.0304,0.0016,123,0.849,0.0,62,0.0189,0.0062,119,0.127,60,0.0741,0.0155,102,0.275
6021870154194477312,13.929793465033,29,0.0689,0.0037,304,0.945,0.0,27,0.0556,0.0172,299,0.343,28,0.0887,0.0312,312,0.278
1214510510998076288,0.000817614974,44,0.9087,0.1379,66,0.737,0.0,38,0.5413,0.3325,23,0.123,37,1.4748,0.7442,63,0.23
4841120770494891520,0.001020892908,45,0.0384,0.0031,56,0.798,0.0,38,0.0295,0.0067,54,0.367,36,0.0374,0.0094,49,0.334
3496637913394359680,0.16986160287,32,0.0451,0.0029,207,0.913,0.0,31,0.0803,0.0397,266,0.157,30,0.0372,0.0221,196,0.107
3958162012257966336,0.10267683571,62,0.1817,0.0179,223,0.638,0.0,59,0.1664,0.0382,214,0.25,57,0.1595,0.042,251,0.21
4942033050042466432,0.001710421747,72,0.3164,0.0336,70,0.634,0.0,65,0.3495,0.0596,83,0.383,64,0.3074,0.0502,75,0.407
5657176543986789248,2.169981301509,39,0.0365,0.0015,315,0.947,0.0,38,0.0537,0.0079,344,0.581,35,0.0125,0.0183,339,0.015
6131648350046165376,0.001701041678,70,0.4549,0.0416,228,0.758,0.0,68,0.4004,0.0898,240,0.352,69,0.7713,0.2193,256,0.25
2934432505440751360,0.183196419857,52,0.5563,0.0572,100,0.665,0.0,51,0.5135,0.2379,74,0.098,50,0.5389,0.0741,97,0.567
4749559145849819008,2.528563904946,46,0.0228,0.0022,263,0.791,0.0,46,0.0217,0.0044,267,0.41,46,0.0235,0.0039,259,0.501
6644157726508197504,12.03800952289,41,0.2889,0.039,134,0.619,0.0,40,0.0874,0.1796,144,0.007,39,0.3322,0.0759,135,0.413
6706524744748910336,0.063997842365,34,0.7697,0.059,27,0.846,0.0,15,0.0579,0.0564,320,0.152,14,0.0312,0.0227,289,0.177
