source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,pmra,pmdec,ruwe,num_obs_g_fov,gls_freq_g_fov,gls_freq_ampl_g_fov,gls_freq_fap_g_fov,nhm_fund_freq_g_fov,spearman_corr_ipd_g_fov,spearman_corr_exf_g_fov,scan_angle_model_ampl_sig_g_fov,TeffH,MassH,loggH,Pwd,main_id,otype,nbref,Type,Period,steen,jestin,TIC,tess_sectors
375558919685505024,13.416595033936153,42.32901910533865,2.76718344571592,17.625368,18.47294,-0.44613838,20.28035788763409,-17.81937834182686,0.9894417,41,4.63820203251,0.49729317,0.2332547252348097,4.63818829517521,0.06933798,0.104761906,0.97650576,41290.2,1.061205,8.681748,0.998621,GALEX J005339.9+421944,WD*,4,,,False,False,600626870,
366784816895496064,7.49632154198856,36.80948188824728,17.010284681684393,251.40643,16.427374,-0.3517208,90.93895368312992,-45.87015494428811,1.0261524,39,16.233779332571,0.57535595,0.0252171099931086,16.23373330175791,-0.20890689,0.36113256,0.8587618,26147.34,1.282864,9.225758,0.999229,GALEX J002958.9+364834,WD*,17,,,False,False,115514880,"17,57,84"
1358301480583401728,254.95157127905017,44.01822731273335,31.592126103461204,1095.7416,14.789173,-0.4145136,-31.686678052482804,98.73769004207077,1.0374792,45,3.790309753083,0.4907759,0.0813958041334126,3.790323129451401,0.07628459,0.5671299,1.3495178,29612.43,1.28399,9.226711,0.999492,PG 1658+441,WD*,157,WD,,False,False,115613388,"24,25,26,51,52,78,79"
292454841560140032,24.721000042958412,25.389394913365074,12.32966681291112,193.66536,15.915779,-0.47868633,52.78722526137636,-51.1808845378083,1.019095,23,1.066207177428,0.7234467,0.3831441521964497,1.0662331238303422,0.2243083,0.71929824,1.022194,41210.86,1.230107,9.049774,0.999693,PG 0136+251,WD*,92,WD,,False,False,353851486,"17,57,84"
2428675569186550784,1.4832999553083357,-10.036996447450612,6.636365165309016,46.66843,17.944157,-0.3656559,83.55684467705466,22.539703853887897,1.0293494,43,0.473946181934,0.90121686,3.0096754567707506e-15,0.4739840135396356,0.41156948,0.010644258,2.943246,25710.23,1.193588,8.975574,0.999047,PHL   657,WD*,28,ROT/WD,2.11,False,True,610493097,92
2795150147707769728,9.460283171440098,19.026664333122532,5.025736191598219,35.06515,17.991533,-0.36561584,14.994878930828298,-2.856456245608353,0.9420044,48,1.31570182719,0.83156526,8.870447845086411e-13,1.31565292751481,0.22948328,-0.022672065,2.149803,27038.27,1.080813,8.741562,0.99933,GALEX J003750.4+190136,WD*,5,WD,,False,True,611449439,57
3302538209462061696,58.315583557158135,9.942611670024156,7.035039505020032,78.19884,17.067139,-0.41623878,26.02113386688961,-25.452220428980453,1.0228682,42,6.075901822729,0.48810273,0.2159754082675159,6.07584714943753,0.007049672,-0.18847795,1.1806605,34058.4,1.14243,8.861318,0.999631,1RXS J035315.5+095700,WD*,12,WD,,False,True,649932200,"42,43,44,46"
6857295585945072128,313.6786580077452,-20.657156068072013,31.972417854804817,928.92706,15.118887,-0.26127625,68.92674826839483,10.249807630669034,0.949364,56,16.250653537335,0.3558714,0.7123759050843301,16.250632533762335,0.2950786,0.4215449,2.517243,20360.81,1.221124,9.048294,0.998693,BPS CS 22880-0134,WD*,30,VAR,0.0177986,False,False,77150475,92
3564376149017654272,165.30100708768606,-13.245093922683752,21.412766262856007,533.0051,14.92985,-0.34039688,0.7631602506100588,-6.92288869661839,1.070291,31,5.005900768733,0.56759727,0.9446039838328876,5.005885984166635,-0.057692308,0.6957265,0.28329992,24468.09,1.051414,8.691953,0.999115,PG 1058-129,WD*,37,WD,,False,False,332827592,"63,100"
3908299636678454784,183.31018491133847,11.680571895621386,11.546660617745829,146.39932,17.167694,-0.14137459,-30.573736797000784,-5.0529305156100355,1.0092468,47,18.979841780156,0.40870583,1.0,18.97988508971876,0.04351349,-0.02280278,2.8060496,15662.6,1.068672,8.735326,0.997846,GALEX J121314.4+114049,WD*,20,VAR,0.0195008,False,False,953777563,"46,49"
