angDist,source_id,ra,dec,main_id,ra.1,dec.1,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,f150w,f200w,f444w
0.043837,989059981050056320,110.44476448981568,56.73565562426433,GALEX J072146.7+564408,110.4447643338,56.7356678009,0.0,0.0,90,WD?,6,07 21 46.74344,+56 44 08.4041,A,2020yCat.1350....0G,WhiteDwarf_Candidate,*|blu|HS?|UV|V*|WD?,,,,,,,1.5344,0.2085,0.019,-2.74,0.193,0.166,90.0,,,,,,,,,,,,,,,,,
0.467629,1020641700210987520,147.85829444381022,53.15853305122355,PG 0948+534,147.8580778122,53.1585340807,0.0,0.0,90,PN,52,09 51 25.93867,+53 09 30.7227,A,2020yCat.1350....0G,PlanetaryNeb,*|Em*|G|NIR|Opt|PN|Pu*|RS*|UV|WD*|WD?,95.18,7.78,0.0003175,2.6e-05,DA.4,,3.1772,0.0449,29.226,-0.232,0.038,0.039,90.0,,,,14.955,15.315,15.2,16.22,16.153,,14.365,14.981,15.573,15.806,16.179,,,
0.393051,2317319612801004416,8.707865970293282,-31.497955799197538,MCT 0032-3146,8.7077387637,-31.4979682909,0.0,0.0,90,WD*,19,00 34 49.85730,-31 29 52.6858,A,2020yCat.1350....0G,WhiteDwarf,*|NIR|UV|V*|WD*|WD?,33.8,3.0,0.0001128,1e-05,DA1,,2.3199,0.0526,24.404,2.811,0.065,0.056,90.0,,,,16.6,15.62,16.1,16.914,16.766,,,,,,,,,
0.299581,383672490865801600,3.25657658878747,41.34418722972555,Gaia DR3 383672490865801600,3.2566696079,41.3442324869,0.0,0.0,90,WD?,2,00 13 01.60071,+41 20 39.2370,A,2020yCat.1350....0G,WhiteDwarf_Candidate,*|WD?,,,,,,,1.8729,0.3496,-15.713,-10.183,0.443,0.36,90.0,,,,,,,,,,,,,,,,,
0.726162,6589283094028544384,322.90581768812217,-36.39568445660867,2MASS J21313738-3623437,322.9056178129,-36.3955627897,0.0,0.0,90,WD*,7,21 31 37.34828,-36 23 44.0260,A,2020yCat.1350....0G,WhiteDwarf,*|NIR|PM*|UV|V*|WD*|WD?,,,,,DC:,,4.6917,0.2213,36.2,-27.375,0.21,0.201,90.0,,,,18.0,,18.0,16.883,16.604,15.844,,,,,,,,
0.09968,380560941677424768,8.46929916190896,38.924891001069625,Gaia DR3 380560941677424768,8.4693170186,38.9249149529,0.0,0.0,90,WD?,8,00 33 52.63608,+38 55 29.6938,A,2020yCat.1350....0G,WhiteDwarf_Candidate,*|blu|HS?|V*|WD?,,,,,,,1.1887,0.1694,-3.126,-5.389,0.133,0.131,90.0,,,,,,,,,,,,,,,,,
0.039233,235184643828418688,52.26096866908649,39.06134639151295,GALEX J032902.6+390341,52.2609755037,39.0613559101,0.0,0.0,90,WD?,6,03 29 02.63412,+39 03 40.8813,A,2020yCat.1350....0G,WhiteDwarf_Candidate,*|blu|HS?|UV|V*|WD?,,,,,,,1.1413,0.2178,-1.194,-2.142,0.245,0.204,90.0,,,,,,,,,,,,,,,,,
0.145021,2144580907240525568,281.27627123950754,50.903335600998766,GALEX J184506.3+505412,281.276288764,50.903374339,0.0,0.0,90,WD*,8,18 45 06.30930,+50 54 12.1476,A,2020yCat.1350....0G,WhiteDwarf,*|EB*|UV|V*|WD*|WD?,,,,,DA,,1.2038,0.0696,-2.487,-8.716,0.093,0.101,90.0,,,,,,,,,,,17.682,18.089,,,,,
0.274837,2126940892444693760,289.8794706253748,44.54545952854466,KIC 8490027,289.8795354584,44.5455203014,0.0,0.0,90,CV*,8,19 19 31.08851,+44 32 43.8731,A,2020yCat.1350....0G,CataclyV*,*|CV*|V*|WD*|WD?,,,,,DA,,1.8667,0.0424,-10.396,-13.674,0.048,0.054,90.0,,,,,16.7,,,,,,,,,,,,
0.631644,2177297391130977792,317.16885618823164,55.750555166699506,Gaia DR3 2177297391130977792,317.1688634382,55.750730576,0.0,0.0,90,WD*,5,21 08 40.52723,+55 45 02.6301,A,2020yCat.1350....0G,WhiteDwarf,*|V*|WD*|WD?,,,,,DA:,,5.5284,0.1583,-0.918,-39.467,0.234,0.185,90.0,,,,,,,,,,,,,,,,,
