###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59561.951904 -19.097  0.634   -83   53 o  0   0.95  77.79369 -68.95426  3931.70  6486.10 6.95 4.11   1.4 -0.415 18.11 20.09 03a59562o0015o
59577.957820 -21.223  1.974   -12   23 o  0   0.76  77.79369 -68.95426  7398.66  1338.72 3.32 3.07 -86.9 -0.466 19.01 21.02 03a59578o0191o
59577.960882 -20.886  1.286   -16   21 o  0   1.16  77.79369 -68.95426  7437.49  1383.84 3.22 2.95 -86.9 -0.475 19.07 21.03 03a59578o0197o
59577.966871 -25.216 66.000    -0   20 o  0   1.38  77.79369 -68.95426  7423.75  1312.74 3.32 3.00 -75.4 -0.472 18.99 20.97 03a59578o0208o
59577.977630 -20.428  0.824   -24   20 o  0   1.32  77.79369 -68.95426  7470.94  1448.55 3.29 2.92 -83.3 -0.476 19.00 20.99 03a59578o0228o
59578.913430 -21.207  1.652   -12   20 o  0   1.45  77.79369 -68.95426  7113.10  1333.06 2.97 2.82 -70.5 -0.490 19.04 20.77 03a59579o0177o
59578.916692 -20.735  0.923   -18   17 o  0   1.88  77.79369 -68.95426  7152.09  1369.93 3.08 2.87 -57.9 -0.485 18.96 20.67 03a59579o0184o
59578.922319 -20.721  1.113   -19   21 o  0   1.16  77.79369 -68.95426  7134.38  1285.32 2.97 2.87 -63.3 -0.485 19.01 20.79 03a59579o0196o
59578.933807 -20.937  1.418   -15   22 o  0   1.14  77.79369 -68.95426  7188.21  1401.08 3.21 2.84 -72.9 -0.477 18.95 20.80 03a59579o0220o
59579.018290 -23.326 11.167    -2   19 o  0   1.63  77.79369 -68.95426  5214.35  9288.13 3.21 2.88  37.2 -0.451 18.95 20.72 03a59579o0385o
59579.023511  21.670  2.793     8   22 o  0   1.15  77.79369 -68.95426  5262.40  9348.92 3.14 2.80  48.5 -0.447 18.97 20.71 03a59579o0396o
59579.026381  20.794  1.194    18   21 o  0   0.98  77.79369 -68.95426  5232.55  9280.11 3.22 2.84  47.9 -0.457 18.96 20.71 03a59579o0402o
59579.038593 -22.720  7.400    -3   22 o  0   1.46  77.79369 -68.95426  5284.51  9448.24 3.36 2.86  55.9 -0.442 18.84 20.54 03a59579o0427o
59579.902998 -19.938  0.446   -38   17 o  0   1.42  77.79369 -68.95426  7729.27  9124.21 2.98 2.79 -24.2 -0.500 19.31 21.62 03a59580o0254o
59579.906916  20.633  0.971    20   20 o  0   1.36  77.79369 -68.95426  7770.57  9162.46 3.15 2.99 -33.1 -0.497 19.25 21.58 03a59580o0261o
59579.913055  21.234  1.639    12   19 o  0   1.50  77.79369 -68.95426  7765.33  9076.32 3.30 3.20 -35.5 -0.481 19.21 21.58 03a59580o0273o
59579.916925 -21.365  1.424   -10   15 o  0   1.30  77.79369 -68.95426    49.71  9180.89 3.35 3.02 -68.3 -0.489 19.28 21.57 03a59580o0281o
59579.924431 -20.796  1.385   -17   24 o  0   1.19  77.79369 -68.95426    53.59  9096.96 3.44 3.19 -69.9 -0.479 19.24 21.53 03a59580o0297o
59579.926297 -21.319  1.684   -11   18 o  0   1.59  77.79369 -68.95426  7837.77  9187.87 3.13 2.95 -13.7 -0.488 19.28 21.51 03a59580o0301o
59579.934084  20.002  0.718    36   26 o  0   0.80  77.79369 -68.95426   100.89  9203.97 3.26 3.09 -85.8 -0.491 19.25 21.50 03a59580o0317o
59585.888567 -22.005  3.000    -6   17 c  0   1.24  77.79369 -68.95426  3214.18  1447.81 3.94 3.01  -1.8 -0.448 19.15 21.83 03a59586o0225c
59585.892300  20.305  0.736    27   20 c  0   0.98  77.79369 -68.95426  3257.62  1480.87 4.06 3.13  -4.2 -0.442 19.08 21.83 03a59586o0233c
59585.899647  20.472  0.821    24   19 c  0   1.16  77.79369 -68.95426  3248.98  1396.74 4.21 3.49   2.1 -0.408 19.04 21.85 03a59586o0248c
