source_id,f_gaia,f_ztf,P_h,A1_g,eA1_g,A2_g,phi1_g,n_g,A1_r,eA1_r,A2_r,phi1_r,n_r,r_over_g,n_spec,spec_sets
3138305596433476480,4.129961289655,4.129909,5.8113,3.64,0.18,0.33,116.0,345,3.24,0.17,0.17,112.0,627,0.89,0,
2795150147707769728,1.31570182719,1.315744,18.2406,3.1,0.27,0.25,91.0,168,2.96,0.36,0.63,81.0,247,0.95,0,
3890059941364406144,16.488740034815,16.488695,1.4555,1.79,0.14,0.15,36.0,706,4.64,0.18,0.58,39.0,1134,2.59,2,BOSS-DR17;SDSS-DR17
2208250945549692672,0.765041257117,0.764941,31.375,1.5,0.09,0.04,-12.0,790,1.17,0.08,0.19,-18.0,1053,0.78,0,
3150708057532318208,3.613619998022,3.613673,6.6414,2.5,0.11,0.26,-14.0,411,5.7,0.08,0.67,-14.0,1037,2.28,3,SDSS-V coadd;SDSS-V visit
1030289712881895296,11.098173213971,11.098279,2.1625,5.82,0.53,1.91,162.0,104,4.02,0.68,1.41,166.0,153,0.69,3,BOSS-DR17;SDSS-DR17
2749524641403549312,6.493924241474,6.493742,3.6959,1.44,0.2,0.3,77.0,400,3.5,0.2,0.32,74.0,563,2.43,3,BOSS-DR17;DESI-DR1;SDSS-DR17
3123625093275668736,2.309311065356,2.309301,10.3928,2.17,0.49,0.96,-64.0,59,3.37,0.42,1.12,-72.0,67,1.55,2,SDSS-V coadd;SDSS-V visit
3354819845628139904,1.906256653186,1.906416,12.5891,4.2,0.16,1.4,-138.0,400,3.51,0.16,1.16,-141.0,950,0.84,0,
3426576074700535040,0.674692446974,0.67477,35.5677,3.56,0.18,0.3,139.0,447,3.56,0.19,0.38,138.0,919,1.0,0,
