recno,WDJname,GaiaDR3,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,plx,e_plx,Gmag,RPmag,BPmag,gmag,rmag,Variable,Periodic,Freq,gAmp,rAmp,Class,Note,Simbad
1,WDJ063313.84+575609.40,1004340654352214656,98.30762274978,0.057948,57.93593289818,0.059864,1.6237,0.1004,17.6006,17.7231,17.5175,17.49022,17.85866,True,True,3.8227932658,0.121498880,0.269227200,---,---,Simbad
2,WDJ084952.49+471247.88,1013776353903293056,132.46816044852,0.084066,47.21292611476,0.062383,6.4495,0.1069,17.7164,17.7003,17.7378,17.66460,17.83831,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
3,WDJ091233.53+531313.09,1022716139350977792,138.13980309396,0.077216,53.22029085675,0.074700,6.4309,0.1095,17.7324,17.7235,17.7869,17.72391,17.87770,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
4,WDJ091556.08+532523.86,1022780838739029120,138.97555324978,0.015616,53.41831058433,0.013579,97.3450,0.0218,13.7833,13.5132,13.9288,13.95689,13.77711,True,True,0.7515534926,0.045002780,0.040466135,Spotted_variables,---,Simbad
5,WDJ093250.57+554315.39,1024785484658469120,143.21044165650,0.070151,55.72102576137,0.078202,6.4666,0.1096,17.6733,17.6583,17.7130,17.64184,17.80630,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
6,WDJ094213.14+573342.49,1025369256613064192,145.55490792677,0.058871,57.56187902609,0.050736,7.9325,0.0825,17.4672,17.4741,17.5014,17.43222,17.59584,False,False,0.0000000000,0.000000000,0.000000000,---,in_MWDD,Simbad
7,WDJ083035.14+564459.53,1034050485029928704,127.64650892143,0.074893,56.74969390849,0.063233,3.9745,0.1012,17.4852,17.7059,17.3861,17.33540,17.72584,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
8,WDJ091433.60+581238.12,1038176780370360576,138.63993464649,0.079862,58.21059815516,0.075758,1.2352,0.1047,17.7262,17.8387,17.6088,17.61427,17.98424,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
9,WDJ092253.62+611023.66,1039815430652482560,140.72359933348,0.085103,61.17334344234,0.084570,7.0272,0.1221,17.7858,17.5729,17.7372,17.69765,17.74936,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
10,WDJ020127.21+234952.82,103999471976858496,30.36333948974,0.061358,23.83131501344,0.064404,2.1155,0.0726,16.9670,17.2529,16.8390,16.77950,17.22490,True,True,2.2233648720,0.238931980,0.208632340,---,FAR,Simbad
11,WDJ080034.68+563332.50,1081519288218904960,120.14441994854,0.040898,56.55859380704,0.040980,4.7109,0.0686,16.5949,16.6557,16.5662,16.49219,16.82418,True,True,8.4470315523,0.056075280,0.097227150,---,---,Simbad
12,WDJ073121.39+595737.01,1085903148454238208,112.83923596487,0.040662,59.96025075951,0.038156,2.3557,0.0610,16.0905,16.4579,15.9159,15.94261,16.44674,True,True,4.5165109411,0.152358405,0.147417775,---,in_SIMBAD_(V*),Simbad
13,WDJ082954.01+640407.13,1090886925425489664,127.47488477150,0.048234,64.06840436939,0.062614,7.0797,0.0816,17.5349,17.5303,17.5703,17.46976,17.65827,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
14,WDJ080026.64+633414.85,1094376947131876352,120.11098060638,0.070297,63.57076835826,0.080945,1.1707,0.1132,17.8032,18.0749,17.6012,17.62256,18.10717,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
15,WDJ061535.10+711233.87,1107590946593313920,93.89628740205,0.035671,71.20944064468,0.046751,1.5686,0.0614,17.2276,17.4005,17.1455,17.12249,17.46077,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
16,WDJ071709.79+740040.53,1112171030998592256,109.29248612458,0.018030,74.01089029040,0.018857,9.8683,0.0240,14.9984,15.0923,14.9483,14.88033,15.23562,True,True,9.7026877045,0.044960620,0.055146480,---,in_SIMBAD_(V*),Simbad
17,WDJ061851.11+772728.75,1116797359314558208,94.71316162593,0.041346,77.45763002587,0.041587,10.2990,0.0493,16.8178,16.8059,16.8524,16.79299,16.94544,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
18,WDJ024849.59+264332.15,114808397128552576,42.20650951067,0.113729,26.72555018121,0.146430,5.6744,0.1094,17.2318,17.3403,17.1872,17.09113,17.38832,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
19,WDJ083907.09+865815.69,1151978952560241024,129.77621341519,0.078806,86.97087242996,0.100111,4.0289,0.0993,17.8835,17.9247,17.8509,17.75518,18.01377,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
20,WDJ151215.73+065156.43,1157401396015448960,228.06548342300,0.081389,6.86566107396,0.088419,1.0099,0.1046,17.2203,17.5560,17.0424,16.99939,17.56246,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
21,WDJ145545.58+041508.67,1158050898150073472,223.93981445384,0.061556,4.25236934734,0.056522,1.5882,0.0690,16.8725,17.1983,16.7213,16.68840,17.18660,True,True,0.8139610238,0.090932850,0.108608010,Unknown_type,---,Simbad
22,WDJ150626.20+063846.26,1160300056558791168,226.60886318388,0.054762,6.64582176879,0.050452,10.0596,0.0604,16.5719,16.5011,16.6339,16.55980,16.66278,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
23,WDJ151826.69+065813.27,1163266672074075008,229.61114990659,0.078748,6.97032646126,0.067372,2.8631,0.0870,17.5196,17.4463,17.5830,17.53444,17.63307,False,False,0.0000000000,0.000000000,0.000000000,---,in_MWDD_(binary),Simbad
24,WDJ143440.09+060702.67,1171325095873664640,218.66704795602,0.155887,6.11737248686,0.123126,1.3598,0.1752,17.9528,17.9504,17.8386,17.79659,18.24980,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
25,WDJ143041.14+122623.43,1179312330589760768,217.67133490947,0.071899,12.43982973121,0.068595,5.4103,0.1017,17.3814,17.5288,17.3364,17.28905,17.60412,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
26,WDJ145832.64+100818.11,1180021786172275712,224.63586279934,0.053191,10.13832413384,0.045064,6.3973,0.0593,16.4491,16.6280,16.3531,16.30040,16.68515,False,False,0.0000000000,0.000000000,0.000000000,---,"in_SIMBAD_(V*),_in_MWDD",Simbad
27,WDJ150552.81+135057.00,1183379213647590016,226.46998414031,0.059087,13.84895422803,0.052584,9.9101,0.0646,16.5871,16.6345,16.5977,16.49987,16.72435,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
28,WDJ145540.89+175351.74,1188363918331170048,223.92037863971,0.068434,17.89776130213,0.076798,8.2227,0.0949,17.4443,17.3924,17.5007,17.38179,17.50481,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
