oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
516108200005813,45115305,2458205.655233202,58205.1530556,16.5608082,0.0146812033,0,zg,117.93995390000001,10.9920665,1.34899998,-0.0109999999,20180328153044,516,0x8,0x2,19.6499996,26.3151512,0.0407432728,-0.102260441,2.92529567e-05,30,1.07700002,1
516108200005813,45423564,2458208.737541907,58208.235648100002,16.5819454,0.0147759942,32768,zg,117.93993500000001,10.9920513,0.583000004,-0.0890000015,20180331235637,516,0x8,0x2,18.0300007,25.0833263,0.0439425744,-0.0371911041,0.000282439549,30,1.27999997,1
516108200005813,47317261,2458227.6726905485,58227.172615700001,16.5211201,0.0145083629,0,zg,117.9399469,10.9920578,0.700999975,-0.0289999992,20180419172604,516,0x8,0x2,20.8700008,26.2186298,0.0314705633,-0.0663657039,7.9631991e-06,30,1.23099995,1
516108200005813,47815069,2458232.6502848598,58232.150694399999,16.4515152,0.0142208245,32768,zg,117.93993450000001,10.992076600000001,1.56099999,0.00200000009,20180424150683,516,0x8,0x2,18.1200008,25.2082806,0.0611938611,-0.0979615524,0.000382917497,30,1.20000005,1
516108200005813,48119537,2458235.6946665174,58235.195370399997,16.5255947,0.014527523,0,zg,117.9399722,10.9920559,0.846000016,-0.00400000019,20180427195370,516,0x8,0x2,19.8899994,26.2019348,0.0393516198,-0.0513933301,2.15049968e-05,30,1.49600005,1
516108200005813,49020799,2458244.7064394206,58244.207997700003,16.5581551,0.0146694398,0,zg,117.9399732,10.992083900000001,1.06900001,0.00700000022,20180506207986,516,0x8,0x2,19.9799995,25.9185963,0.0428920165,-0.0921378881,2.54206971e-05,30,1.94599998,1
516108200005813,49317320,2458247.6713744458,58247.173205999999,16.5400314,0.0145898946,0,zg,117.9399519,10.992066100000001,2.11899996,-0.0329999998,20180509173194,516,0x8,0x2,20.7900009,26.1685829,0.0333680138,-0.0862231925,9.01472322e-06,30,1.59599996,1
516108200005813,61950526,2458374.0018825298,58373.505266200002,16.5638695,0.0146948136,0,zg,117.9399487,10.9920735,0.763000011,-0.00400000019,20180912505255,516,0x8,0x2,20.7000008,26.1263237,0.0323984511,-0.0569875538,8.64196772e-06,30,2.18099999,1
516108200005813,62249707,2458376.9939236366,58376.497071799997,16.5766296,0.0147519726,0,zg,117.939903,10.992084999999999,1.42999995,-0.0140000004,20180915497002,516,0x8,0x2,20.8199997,26.1351681,0.0350076035,-0.0829633623,9.99359327e-06,30,2.18099999,1
516108200005813,62548390,2458379.9809960201,58379.483900500003,16.5854568,0.014791931,0,zg,117.9399282,10.9920575,1.51600003,-0.0140000004,20180918483889,516,0x8,0x2,20.7299995,26.1190186,0.0335965529,-0.061371088,9.31619252e-06,30,2.29699993,1
