targetid,name,ra,dec,cls,grp,G,bprp,MG,Teff,snr_cat,z_cat,template,v_kms,noise_scale,z_lines,z_abs,z_fake,ew_A,n3,nneg,ratio,wdj_x,wdj_y,specType,TEFF,LOGG,designation
39633494070001872,WDJ151333.10+703721.98,228.3873083873988,70.62288263449662,DAE,H,19.439,0.436,10.971,,18.6,82.89,dp500,20.0,1.26,49.2/58.0/41.0,-1.74,17.15,54.93,3,0,4.833236151603499,WDJ151333.10+703721.98,WDJ151333.10+703721.98,CV,6730.522666135408,7.710467721376759,Gaia DR3 1694471835016084608
39633180113767662,WDJ182923.87+453731.34,277.3494813853291,45.62534155476077,DA,H,18.245,-0.395,9.586,34024.0,8.7,39.69,n150,20.0,1.0,25.8/25.8/15.6,0.21,11.94,45.22,3,0,3.3241206030150754,WDJ182923.87+453731.34,WDJ182923.87+453731.34,DA,34481.33606603842,7.918108165396204,Gaia DR3 2118281993556276096
39633339757367706,WDJ172406.13+562003.08,261.02562156615306,56.334185902545194,DAe,H,16.258,-0.104,8.233,,169.7,37.78,n60,20.0,3.29,18.8/22.7/24.7,6.85,6.96,3.83,3,0,5.42816091954023,WDJ172406.13+562003.08,WDJ172406.13+562003.08,WD+MS,40615.96683917816,7.344779213305785,Gaia DR3 1420761029600606592
39628082599954824,WDJ154119.84+120914.79,235.33267091752103,12.154005500822697,DA,H,17.032,-0.197,9.189,26638.0,32.9,28.0,n60,120.0,1.15,13.2/21.1/14.1,3.11,1.73,4.44,3,0,9.003215434083602,WDJ154119.84+120914.79,WDJ154119.84+120914.79,DA,24704.77988031963,7.319491055060074,Gaia DR3 1190316479183748992
39627971685777950,WDJ003221.86+073934.50,8.091199758677726,7.659505299900321,DA,H,17.605,-0.062,9.687,22000.0,32.2,27.25,n60,-220.0,1.32,13.5/19.8/13.4,4.14,1.34,3.61,3,0,6.582125603864735,WDJ003221.86+073934.50,WDJ003221.86+073934.50,WD+MS,19961.56202085744,7.410663069218462,Gaia DR3 2749524641403549312
39633126514756589,WDJ095721.07+424124.64,149.33779062210004,42.690153642496234,DA,H,19.559,-0.124,10.652,21682.0,3.4,23.69,dp150,-40.0,1.0,12.3/17.5/10.5,-0.27,2.3,62.11,3,0,10.3,WDJ095721.07+424124.64,WDJ095721.07+424124.64,DA,21029.059820660736,8.051252947881434,Gaia DR3 807939359048085888
39627813073985818,WDJ163858.80+010223.93,249.7449752106744,1.0399381984029143,DAE,H,18.84,0.162,8.567,,12.3,21.99,n60,100.0,1.06,11.6/15.5/10.8,2.16,4.85,7.17,3,0,4.534020618556701,WDJ163858.80+010223.93,WDJ163858.80+010223.93,WD+MS,11796.731717502202,7.636644771643565,Gaia DR3 4384002002406862592
39628521500312501,WDJ083531.69+315503.31,128.8820373209882,31.917577947854827,DAE,H,19.263,0.026,9.911,,23.0,21.74,n60,140.0,1.22,11.5/15.4/10.5,4.68,1.36,6.08,3,0,4.645299145299146,WDJ083531.69+315503.31,WDJ083531.69+315503.31,WD+MS,32502.70070445688,7.843919225349211,Gaia DR3 709815329316284928
39627705435554416,WDJ205249.27-032419.53,313.2053151114327,-3.405473652754649,DAe,H,17.466,-0.145,9.846,,18.2,21.19,n60,200.0,1.01,9.8/15.0/11.7,1.65,2.68,4.9,3,0,7.906716417910448,WDJ205249.27-032419.53,WDJ205249.27-032419.53,WD+MS,21395.41813064791,7.4697442985521665,Gaia DR3 6914922055508553984
39627576670421208,WDJ103606.62-084847.40,159.02754290519107,-8.813176096933258,DAe,H,18.407,-0.261,9.184,,13.9,19.04,n60,0.0,1.01,10.9/13.0/8.8,3.2,3.56,3.6,3,0,5.348314606741573,WDJ103606.62-084847.40,WDJ103606.62-084847.40,WD+MS,58485.95485100376,8.292208360555446,Gaia DR3 3762162584158209920
39627988702076551,WDJ204556.45+081926.89,311.48519250064953,8.324117627088253,DAE,H,18.037,0.17,8.504,,17.9,18.31,n60,20.0,1.14,9.6/12.6/9.4,0.33,2.65,4.98,3,0,6.909433962264151,WDJ204556.45+081926.89,WDJ204556.45+081926.89,WD+MS,11607.183841061786,7.612345590087452,Gaia DR3 1749964564827169280
39633126288263906,WDJ084358.08+425036.79,130.99206695079536,42.843533364098555,DAB,H,19.694,0.579,10.342,,67.9,17.53,n150,-20.0,1.87,8.5/12.7/9.1,1.54,3.91,3.36,3,0,4.483375959079284,WDJ084358.08+425036.79,WDJ084358.08+425036.79,STAR,8056.919801443899,7.049846393123747,Gaia DR3 913594794319130368
39633082331956564,WDJ161117.53+401703.17,242.82299522064412,40.2842399849872,DA,H,17.753,-0.144,10.281,16500.0,36.6,16.84,n150,0.0,1.27,7.9/12.8/8.3,0.58,1.59,4.57,3,0,10.591194968553458,WDJ161117.53+401703.17,WDJ161117.53+401703.17,DA,16559.02318264903,7.549120652507449,Gaia DR3 1379988076130545536
39627760099920559,WDJ220823.66-011534.09,332.09855437353514,-1.2595239000302414,DAe,H,18.561,-0.114,8.937,,12.0,16.8,n60,-40.0,1.16,8.5/12.8/7.5,0.58,3.1,8.78,3,0,5.419354838709678,WDJ220823.66-011534.09,WDJ220823.66-011534.09,WD+MS,30908.09913541801,7.3331630410740285,Gaia DR3 2677056689010163456
39632931110519992,WDJ144819.48+322500.97,222.0812149027369,32.416847548027675,DBA,nonH,19.383,-0.215,10.846,,7.8,16.72,dp250,60.0,1.05,8.9/12.3/7.3,-0.44,2.8,22.67,3,0,5.9714285714285715,WDJ144819.48+322500.97,WDJ144819.48+322500.97,DBA,19802.41771809184,8.31559015049272,Gaia DR3 1283510882895711872
39633264566075449,WDJ184506.31+505412.15,281.2762717558076,50.90333680133823,DAe,H,17.802,-0.187,8.205,,17.4,16.69,n60,100.0,1.11,9.3/12.4/6.7,3.23,2.31,4.63,3,0,5.1671826625387,WDJ184506.31+505412.15,WDJ184506.31+505412.15,DA,37220.29461313162,7.186037407804053,Gaia DR3 2144580907240525568
39627799350218444,WDJ100645.76+003204.48,151.69052758586804,0.5346180316357851,DAe,H,16.703,-0.148,9.065,,44.9,16.14,n60,240.0,1.16,4.5/11.4/11.6,5.36,4.0,1.12,3,0,3.011194029850746,WDJ100645.76+003204.48,WDJ100645.76+003204.48,DA,24936.222802298435,7.276148026986757,Gaia DR3 3834895969825628800
39628292747166797,WDJ234618.00+212008.39,356.57503876230584,21.335660892180584,DA,H,18.395,0.152,9.892,9367.0,15.5,15.89,n60,-180.0,1.16,7.2/11.5/8.6,2.14,1.39,6.13,3,0,7.425233644859813,WDJ234618.00+212008.39,WDJ234618.00+212008.39,DA,12283.08282782814,7.602880138742433,Gaia DR3 2823708690929707648
39627764256478032,WDJ143947.62-010606.78,219.94841953447727,-1.101899816480972,DAE,H,16.524,0.191,7.993,,36.2,15.69,n60,20.0,1.32,8.4/11.1/7.6,1.57,2.89,2.63,3,0,5.429065743944636,WDJ143947.62-010606.78,WDJ143947.62-010606.78,WD+MS,55203.30330757732,7.478884751460751,Gaia DR3 3649832043858197376
39633158173362053,WDJ151343.51+443436.25,228.43127222957057,44.57678241701168,DA,H,17.392,-0.272,9.308,28686.0,24.0,15.68,n60,160.0,1.17,6.4/12.2/8.4,1.3,2.53,5.46,3,0,6.197628458498024,WDJ151343.51+443436.25,WDJ151343.51+443436.25,DA,26667.1636474414,7.449348843028969,Gaia DR3 1395293935119779584
39628374359938490,WDJ160631.60+250651.06,241.63161556585436,25.114289368889164,DA,H,17.562,-0.224,10.437,27553.0,22.4,15.66,n60,-80.0,1.1,7.7/12.5/6.5,0.59,1.63,3.67,3,0,9.607361963190185,WDJ160631.60+250651.06,WDJ160631.60+250651.06,WD+MS,25727.76471113684,7.982328376223533,Gaia DR3 1315124483593912960
39628137021046929,WDJ214656.86+143125.17,326.7369037858629,14.523618847141767,DAE,H,19.452,-0.058,9.431,,6.1,15.56,n60,-100.0,1.07,11.0/9.7/5.7,1.31,2.15,13.49,3,0,7.237209302325582,WDJ214656.86+143125.17,WDJ214656.86+143125.17,WD+MS,11645.69269637922,7.975209423328769,Gaia DR3 1769157090045264128
39627790546378313,WDJ230752.92-000207.45,346.97057439996433,-0.0353968882728369,DBA,nonH,19.205,-0.209,11.647,,6.8,14.69,dp350,0.0,1.02,8.0/11.2/5.7,-3.82,4.02,26.06,3,0,3.654228855721393,WDJ230752.92-000207.45,WDJ230752.92-000207.45,DABZE,15264.4904518838,8.081733489863527,Gaia DR3 2651256614304360576
39628535463153154,WDJ020528.60+324058.02,31.369173768236266,32.68278715396749,DAE,H,19.133,0.055,8.901,,18.2,14.18,n60,160.0,1.0,7.0/9.2/8.4,4.56,1.96,0.87,3,0,3.1096491228070176,WDJ020528.60+324058.02,WDJ020528.60+324058.02,WD+MS,32086.25758934128,7.522647420773116,Gaia DR3 325741250421188224
39628348137147284,WDJ215037.02+234000.07,327.6542581507252,23.66668283616101,DAE,H,19.114,0.175,7.845,,12.5,13.05,n60,160.0,1.0,5.5/11.6/5.3,0.55,2.62,4.21,3,0,4.980916030534352,WDJ215037.02+234000.07,WDJ215037.02+234000.07,WD+MS,11366.71004920538,7.6314621894329235,Gaia DR3 1795836842772548224
39627885354422152,WDJ155904.63+035623.49,239.76923874284964,3.939889080814395,DAE,H,18.518,0.102,9.403,,11.9,12.82,n60,-120.0,1.11,6.6/9.5/5.9,0.52,1.62,7.79,3,0,7.91358024691358,WDJ155904.63+035623.49,WDJ155904.63+035623.49,WD+MS,47695.01798274381,8.050786209677504,Gaia DR3 4425059759452336128
39627901678653625,WDJ085921.91+043812.35,134.84120554395446,4.636783352955503,DA,H,18.341,-0.202,11.253,18649.0,9.8,12.32,dp250,-100.0,1.04,6.8/8.0/6.9,1.05,3.14,16.01,3,0,3.923566878980892,WDJ085921.91+043812.35,WDJ085921.91+043812.35,DA,18181.069376648466,8.148405542182482,Gaia DR3 578709631539357440
39627886960840584,WDJ222237.97+040509.85,335.65828961311325,4.08606397379477,DA,H,18.898,0.181,10.8,18578.0,20.6,12.28,n60,120.0,1.13,6.9/9.4/4.1,4.08,1.41,0.14,3,0,3.0098039215686274,WDJ222237.97+040509.85,WDJ222237.97+040509.85,WD+MS,17427.334519701097,7.625939987531505,Gaia DR3 2707303188738269952
39633200967844444,WDJ181824.35+465721.46,274.60150396045617,46.95593104401064,DA,H,17.506,-0.121,8.475,37634.0,22.5,11.23,n60,160.0,1.1,4.3/10.2/4.4,2.69,2.15,2.61,3,0,4.174721189591079,WDJ181824.35+465721.46,WDJ181824.35+465721.46,WD+MS,38339.0615686338,7.366056403249263,Gaia DR3 2121629147470776704
39628082662868140,WDJ155625.67+121205.00,239.1070471793662,12.201099894768268,DA,H,19.792,0.272,12.882,8423.0,6.1,10.93,n60,160.0,1.0,0.9/3.1/22.6,1.55,1.74,17.83,2,0,6.281609195402298,WDJ155625.67+121205.00,WDJ155625.67+121205.00,DA,8511.842856228626,7.955420983841905,Gaia DR3 1191205919669645440
39627639299770980,WDJ212232.58-061839.73,320.6358062854365,-6.3110152830537825,DA,H,19.385,0.145,10.182,9257.0,6.0,10.88,n60,140.0,1.0,6.5/8.0/3.5,2.0,2.63,11.09,3,0,4.136882129277567,WDJ212232.58-061839.73,WDJ212232.58-061839.73,DA,11807.45573975853,7.63415105524742,Gaia DR3 6899065684790537472
39627968955290229,WDJ133738.55+072440.32,204.41057732417667,7.411143462450332,DA,H,18.551,-0.142,10.984,18133.0,8.6,10.78,n60,80.0,1.0,5.9/8.1/4.3,1.23,2.66,4.92,3,0,4.052631578947368,WDJ133738.55+072440.32,WDJ133738.55+072440.32,DA,17746.527307762975,7.8852871693468,Gaia DR3 3718549665168799232
39632961879936189,WDJ164618.06+335309.61,251.57524481230507,33.88597072268401,DA,H,19.805,-0.011,10.717,9539.0,5.5,10.74,n60,0.0,1.0,5.0/9.4/3.5,1.2,2.27,5.33,3,0,4.7312775330396475,WDJ164618.06+335309.61,WDJ164618.06+335309.61,WD+MS,11664.5711071042,7.627277846478901,Gaia DR3 1314474328624652416
39628430932708586,WDJ023101.72+274305.08,37.757165470018144,27.718053364915207,DA,H,15.132,-0.313,5.14,48512.0,159.9,10.69,n60,40.0,1.36,3.0/8.1/7.7,2.21,2.24,0.26,2,0,4.772321428571428,WDJ023101.72+274305.08,WDJ023101.72+274305.08,STAR,68181.20969133574,7.00055207773427,Gaia DR3 127674641678296704
39633408351012320,WDJ170059.04+614440.63,255.24596611686104,61.744672817392406,DA,H,17.593,-0.317,10.632,25563.0,19.5,10.69,n60,-220.0,1.1,3.8/9.8/4.1,2.58,2.32,2.42,3,0,4.143410852713178,WDJ170059.04+614440.63,WDJ170059.04+614440.63,DA,23297.16185518443,8.058885139536358,Gaia DR3 1630481877482706304
39627678633953672,WDJ101306.33-042729.23,153.276349498598,-4.458204491432871,DBA,nonH,18.252,-0.132,10.81,,8.8,10.13,dp350,-20.0,1.1,7.1/6.7/2.9,-2.03,2.23,15.8,2,0,4.542600896860987,WDJ101306.33-042729.23,WDJ101306.33-042729.23,DBA,25278.50343915494,8.1738913728834,Gaia DR3 3780094656734582528
