name,src,sdss_id,gaia,cls,snr,G,nvis
WD J1930-5028,known,111809939,6646693887514073984,DA,19.47483,16.99222,1
SDSS J0738+1835,known,56367604,671450448046315520,DBZ:,65.39525,17.69756,9
SDSS J0234-0406,known,70061066,2489275328645218560,DA,25.44978,16.41955,1
WD 0842+572,known,58756188,1037258898615762048,DA,23.49317,16.78578,1
WD J0529-3401,known,92944351,4823042355496728832,DA,29.78769,17.50249,1
WD 1622+587,known,62326276,1623866184737702912,DB,13.51235,16.8476,1
WD J2133+2428,known,63441146,1797494017250709632,DA_MS,52.33436,15.93554,2
WD J0914+1914,known,56110477,635879254021761024,DA,14.1958,18.98441,1
WD J075345.76+333527.87,desi_edr,57605357,882205352253258624,DA,17.72099,18.43565,1
WD J084253.03+230025.47,desi_edr,56311832,665392383790872192,DA,59.29237,14.41679,2
WD J084949.62+092353.46,desi_edr,55888424,597646245427109376,DA,13.3458,17.64477,1
WD J091200.58+013919.51,desi_edr,80004278,3843734359685754880,DA,83.0267,16.93861,3
WD J110034.24+713802.92,desi_edr,58950701,1074013923063975680,DA,38.96422,14.7012,1
WD J143406.77+150817.81,desi_edr,59891623,1228266814506156928,DA,26.55104,16.00719,1
WD J180230.44+803951.14,desi_edr,69202808,2294545291016560256,DA,28.27773,15.10643,1
