sdss_id,gaia_dr3,snowwhite_class,group,plx_ok,G,bp_rp,M_G,snr_cat,z_cat,template,v_kms,noise_scale,z_lines,z_abs,z_fake,ew_A,z_visits,visit_mjds,n3,nneg,ratio
71082670,2688307166863547264,DA,H,True,18.9,0.764,13.73,21.2,14.3,n60,20.0,1.73,3.7/9.8/14.8,2.42,4.15,13.08,1.5/8.9/7.9/6.0/16.3,59373/59374/59375/59820/60605,3,0,3.4457831325301203
60480205,1320147671184560896,DAO/DA,H,True,19.48,1.03,14.8,27.7,10.61,n150,120.0,1.57,4.1/8.3/5.7,0.7,3.6,6.09,11.4/4.8/3.5/6.6/6.8/0.6/-1.0/3.2/-2.7/2.2/4.0,59296/59300/59301/59302/59304/59328/59329/59383/59384/59385/59387,3,0,2.947222222222222
109932335,6388071096051230848,DA,H,True,16.53,-0.217,8.92,17.7,10.31,n60,160.0,1.0,3.0/7.5/7.2,2.08,2.71,2.96,,60159,2,0,3.804428044280443
94887524,5177394096767054080,DA,H,True,18.41,0.368,12.62,17.5,10.69,dp500,-400.0,1.27,7.7/2.9/11.1,-1.46,3.79,12.87,-2.1/2.2/-1.7/3.2/1.2/3.5,59829/59846/59871/59881/59967/60210,2,0,2.8205804749340366
71363379,2737351742013940224,DA,H,True,18.73,-0.225,11.1,9.2,17.37,dp350,-100.0,1.0,9.8/10.5/9.9,-3.82,3.5,23.35,15.5/8.1,60492/60496,3,0,4.9628571428571435
75706793,3197019139399144320,DA,H,True,17.6,0.81,13.34,29.9,19.49,n150,60.0,1.59,6.5/13.3/14.5,0.39,5.71,9.91,19.3/-1.9,60339/60342,3,0,3.4133099824868647
62065115,1575509800786419712,DA,H,True,17.82,0.938,13.58,100.9,15.84,n150,0.0,1.08,5.5/12.4/9.6,0.46,3.2,1.42,-2.1/-13.5/2.6/8.2/3.7/2.0/-2.3/-0.1/-3.9/-1.3/-10.4,59255/59284/59290/59317/59348/59350/59351/59644/59675/60073/60647,3,0,4.949999999999999
55810629,584363182890620928,DA,H,True,19.92,0.084,12.23,4.7,11.87,dp500,-240.0,1.0,7.4/12.2/-0.4,2.96,2.0,16.01,-1.4/1.7/1.7/15.7,59874/59878/59999/60000,2,0,4.010135135135135
94841472,5167332294063068544,DA,H,True,19.57,0.691,13.3,9.4,11.94,n150,80.0,1.58,4.1/9.5/6.8,1.24,4.44,18.51,10.3/10.9,60645/60646,3,0,2.689189189189189
114775278,6913220591328099456,DA/DZ,H,True,18.83,1.034,12.27,13.3,10.74,n150,20.0,1.22,5.0/7.6/5.9,-0.45,3.12,8.5,,59866,3,0,3.442307692307692
110499803,6453928161768274560,DA,H,True,19.07,-0.067,11.47,8.6,10.2,dp350,-180.0,1.0,7.6/6.5/2.6,-0.21,3.73,12.61,4.9/7.4/5.3,60120/60419/60435,2,0,2.7345844504021444
64138692,1852305732751565824,DA:,H,True,19.99,1.001,13.36,4.9,17.31,n150,40.0,1.24,8.7/11.5/9.7,-0.82,2.37,38.7,,60614,3,0,7.303797468354429
94928049,5187005408942049280,DA,H,True,19.17,-0.169,10.55,7.0,10.71,n60,100.0,1.0,4.1/12.4/-0.1,3.53,3.63,4.27,13.9/3.4,60565/60566,2,0,2.950413223140496
88878044,4413820521529120640,DA,H,True,16.48,-0.268,10.08,42.4,10.12,n150,220.0,1.0,3.8/6.5/7.1,1.29,3.11,1.8,-0.1/12.2,60078/60082,3,0,3.2540192926045015
80217918,3887433414244718464,DA,H,True,17.08,0.261,12.48,27.1,11.25,dp500,400.0,1.0,9.1/7.4/3.8,-1.83,3.11,5.81,,60676,3,0,3.617363344051447
71715961,2806765633357506560,DA/DC,H,True,19.78,0.828,14.06,16.4,11.88,n150,20.0,1.0,2.8/10.9/6.7,4.23,3.93,5.0,2.2/5.6/0.2/-5.4/13.3/2.6/4.9/2.0/4.8,59906/60223/60225/60496/60498/60499/60523/60527/60637,2,0,2.8085106382978724
111794661,6645284902019884928,DA,H,True,17.97,-0.086,8.93,11.3,18.68,n60,120.0,1.0,10.1/11.4/11.3,2.63,3.08,11.93,,60142,3,0,6.064935064935065
70870039,2652175634226855040,DA,H,True,18.93,0.872,13.44,21.0,23.12,n150,20.0,1.18,7.4/18.4/15.3,-2.01,4.03,13.11,19.6/14.6,59847/60612,3,0,5.73697270471464
71868459,2833849800205759360,DA,H,True,15.7,-0.128,9.72,48.2,46.27,n150,20.0,1.0,21.7/31.8/26.8,3.07,3.26,6.0,32.5/32.9,60582/60583,3,0,14.193251533742334
88577355,4372422152102398720,DA,H,True,18.75,0.3,12.1,9.4,21.94,dp250,20.0,1.0,8.2/17.5/12.1,-2.71,4.41,23.19,,59326,3,0,4.975056689342404
116332461,258439731372229120,DA,H,True,15.86,0.036,11.78,50.0,11.14,dp250,-280.0,1.0,1.1/14.9/3.6,3.4,3.72,1.81,14.9/3.4/2.8,59953/59979/59980,2,0,2.9946236559139785
92079737,4696032750850438272,DA,H,True,17.1,0.926,14.26,47.7,12.29,n150,60.0,1.0,3.5/9.3/8.9,0.27,3.26,1.82,8.1/8.4,60579/60580,3,0,3.7699386503067482
70101908,2497234448505140352,DA,H,True,19.42,0.909,14.07,19.7,12.36,n150,-20.0,1.0,5.3/9.4/6.6,2.61,3.74,3.59,0.9/3.5/6.4/4.4/-1.6/10.1/3.0/7.2,59165/59191/59231/59232/59881/59935/60610/60637,3,0,3.3048128342245984
57654679,886686828506723200,DA,H,True,19.41,0.747,13.8,9.4,11.46,n150,20.0,1.4,4.0/7.4/9.0,2.23,2.36,14.09,11.4/0.8/8.6,60678/60694/60695,3,0,4.855932203389831
115729269,191101206879480704,DA,H,True,17.62,-0.001,12.52,23.6,28.11,n60,120.0,1.0,11.9/27.2/8.4,1.66,4.95,7.67,,59272,3,0,5.678787878787879
70003510,2477317211980446208,DA,H,True,18.82,1.195,13.76,9.5,11.02,n150,40.0,1.25,3.4/8.8/6.6,0.32,4.31,13.62,,60564,3,0,2.5568445475638053
114776627,6913362119090316416,DA/DC,H,True,19.47,0.908,14.7,7.4,11.55,n150,40.0,1.0,4.8/7.6/7.6,-0.98,4.12,16.26,,59866,3,0,2.8033980582524274
90014896,4531346494788257280,DA,H,True,19.98,0.091,11.57,3.8,12.43,dp250,-40.0,1.0,4.2/11.1/5.3,-2.82,2.16,29.91,8.5/9.2,60546/60548,3,0,5.754629629629629
63203321,1764314497240770176,DA,H,True,18.41,-0.43,10.03,5.3,15.15,n150,0.0,1.0,8.4/11.1/6.2,1.64,5.82,22.22,11.3/10.2,60467/60468,3,0,2.6030927835051547
56632357,710947968027922176,DA,H,True,17.32,0.842,14.32,46.4,10.55,n150,60.0,1.03,5.6/7.6/4.8,0.43,3.37,1.97,,59199,3,0,3.1305637982195846
109524105,6319857321648617984,DA,H,True,18.01,-0.17,8.66,19.2,13.53,n150,60.0,1.0,6.9/9.9/6.2,-0.21,3.86,6.26,4.3/16.7,60493/60494,3,0,3.505181347150259
87586203,4290244726057323136,DA,H,True,18.87,0.302,12.33,8.9,11.85,n150,-160.0,1.3,0.8/4.4/24.2,-1.62,4.58,29.64,4.9/12.0,59821/59840,2,0,2.5873362445414845
68390952,2183058449796474240,DA,H,True,19.12,0.729,13.07,6.3,10.77,n150,0.0,1.0,6.2/7.1/5.2,3.2,3.89,17.75,2.9/10.5,60231/60608,3,0,2.768637532133676
56914137,765404128955927424,DA,H,True,16.38,0.108,12.1,65.3,11.4,dp350,-300.0,1.0,4.4/4.0/11.9,0.57,4.48,1.69,3.3/12.5/4.3,59358/59362/60658,3,0,2.5446428571428568
75769364,3206369871613007104,DA,H,True,19.61,0.676,13.56,11.7,13.94,n150,80.0,1.39,5.6/10.7/7.8,3.87,2.82,13.17,13.2/9.2/7.2/4.3,59931/59933/59934/59935,3,0,3.602067183462532
56033526,620954483186339072,DA:,H,True,18.99,0.848,14.24,14.5,10.64,n150,80.0,1.0,3.4/9.0/5.7,-0.4,2.93,7.95,,60647,3,0,3.631399317406143
75938366,3229081173343283968,DA,H,True,19.68,-0.323,10.19,2.3,11.2,n60,400.0,1.0,1.2/3.2/25.6,2.43,3.62,88.06,,60234,2,0,3.0939226519337013
70254122,2527617665632689024,DA,H,True,18.91,-0.116,10.93,12.9,43.09,n150,-40.0,1.11,24.6/30.7/17.7,-1.28,3.99,29.94,32.3/17.0/14.4/27.5,59905/60225/60285/60530,3,0,10.799498746867169
67596813,2119384322683985024,DA,H,True,19.38,-0.248,9.17,3.8,10.54,n60,160.0,1.0,3.2/13.5/3.1,2.09,2.88,33.77,,60449,3,0,3.659722222222222
58212966,958453288184344960,DA,H,True,17.76,-0.137,10.84,56.5,22.33,dp250,0.0,1.07,17.2/12.8/8.8,-6.34,7.34,4.59,1.5/10.8/9.1/6.2/10.9/6.4/2.8/11.7/9.0,59242/59245/59266/59267/59268/59269/59270/59271/59294,3,0,3.042234332425068
79009083,3658759940837042560,DA,H,True,18.88,0.338,12.66,6.0,10.35,dp500,200.0,1.0,5.8/4.8/10.3,-0.76,3.98,37.8,,60466,3,0,2.600502512562814
92521129,4763181953183611520,DA,H,True,17.32,0.837,14.22,29.7,13.2,n150,80.0,1.67,5.3/7.5/10.4,-0.15,5.02,5.41,16.9/24.4/4.4,60286/60287/60335,3,0,2.6294820717131473
64867364,1941572921445210496,DA/DZ,H,True,18.42,1.098,13.31,17.8,10.88,n60,60.0,1.18,4.3/9.7/3.8,3.37,3.71,4.56,3.7/14.7,60581/60582,3,0,2.9326145552560647
79952654,3834895969825628800,DA,H,True,16.7,-0.148,9.07,21.9,18.62,n150,200.0,1.01,7.0/14.0/11.2,1.1,5.55,6.75,,59699,3,0,3.3549549549549553
71012808,2678454756699580032,DA/DC,H,True,17.49,1.885,8.96,44.9,20.74,n150,40.0,1.0,4.8/20.0/10.2,-0.39,3.42,2.93,7.9/20.6,60221/60612,3,0,6.064327485380117
71362037,2737135481820090240,DAO/DC,H,True,18.25,1.864,10.13,19.6,11.65,n60,40.0,1.0,4.4/9.2/6.4,4.46,2.17,0.67,,60492,3,0,2.6121076233183858
