sdss_id,gaia,cls,G,bprp,MG,chi_ha,snr_ha,chi_hb,snr_hb
70096227,2496042440461991296,DQ/DC,17.02,0.168,13.01,3.39,185.1,3.76,198.4
57339287,845982667526493440,DC,16.74,0.431,13.36,9.7,175.9,12.38,171.0
80364427,3915674026806527616,DC/DA,18.09,0.058,12.72,1.66,139.8,4.17,155.5
57591241,880354496226790400,DC,16.81,0.194,12.68,1.24,176.1,5.69,175.0
62198018,1600444383747640064,DC,17.57,0.058,12.31,1.65,113.9,0.64,136.5
78717168,3607853003443272576,DQ,16.59,0.296,13.09,1.53,173.1,0.81,163.2
78896575,3639892119441535232,DC,16.07,0.043,12.13,1.01,99.0,0.48,113.6
62110583,1583921850718408960,DZ,18.13,0.307,13.18,0.96,114.5,0.74,121.0
69269591,2309122753616241280,DC/DA,16.25,0.52,13.49,6.0,90.4,3.73,85.4
80357284,3914160793864337280,DC,17.92,0.118,13.35,38.43,149.2,2.46,159.8
80009035,3844606031888413696,DC,17.67,0.108,12.46,0.88,94.5,0.95,106.1
54745787,455517329408362752,DC,16.16,0.558,13.84,0.82,88.0,0.49,79.0
62265196,1612720366646956928,DZ,17.66,0.212,12.55,1.03,95.0,0.88,100.1
69666035,2405805697263561600,DC,14.06,0.013,12.02,1.04,72.9,0.18,72.1
76358264,3315373564607614208,DC,15.87,0.156,12.58,0.68,95.2,0.64,94.8
75786929,3209150124204756224,DC,17.07,0.583,14.05,1.72,107.2,0.99,86.9
56386080,673167507250782976,DC,17.55,0.193,12.81,1.38,119.4,0.82,124.2
59495309,1164480326752634496,DZ,18.03,0.114,12.58,3.4,78.8,0.82,96.4
57595080,880840789603989504,DZ,18.54,0.502,13.74,1.38,88.2,0.76,85.5
74999723,3127761765259717632,DC,16.1,0.194,13.08,0.75,99.2,0.45,99.8
76486571,3327488430402704000,DZ,16.5,0.224,12.88,0.88,72.7,0.78,76.6
57339231,845973046799769984,DC,16.35,0.352,12.53,0.62,140.3,0.65,140.3
57831287,907000821224488832,DC,17.91,0.358,13.28,1.48,82.8,1.06,77.0
107127384,6054148143441683072,DZ,16.04,0.3,13.17,0.97,67.6,0.69,75.8
100517762,5663381745233661440,DC,16.16,0.029,12.1,1.19,62.7,0.38,66.2
89924420,4521112274922384640,DZ,17.22,0.386,13.31,1.38,68.9,0.9,73.1
