sdss_id,gaia_dr3,snowwhite_class,group,plx_ok,G,bp_rp,M_G,snr_cat,z_cat,template,v_kms,noise_scale,z_lines,z_abs,z_fake,ew_A,z_visits,visit_mjds,nv,nhi,nlo,zmax
56424408,677695575308696192,DA,H,True,17.96,-0.149,10.05,39.6,24.52,dp250,-400.0,1.0,-0.4/40.1/-0.7,4.55,3.86,3.71,31.1/0.2/6.1,59230/59232/59914,3,2,1,31.1
77410559,3415269143791730176,DZ:,nonH,True,19.95,1.398,15.26,24.2,16.17,n150,240.0,1.87,4.1/12.0/11.4,0.62,5.91,9.86,13.4/7.9/9.7/0.4/24.5/3.0/2.7/4.1/4.2/10.5/17.5,59186/59214/59215/59216/59267/59268/59269/59270/59271/59272/59274,11,6,1,24.5
80361379,3915026861134449664,DA,H,True,17.67,0.154,12.78,135.2,4.78,n60,260.0,1.17,4.8/-0.1/4.1,2.01,3.01,0.24,6.8/-0.3/5.7/1.9/1.1/-1.0/1.4/0.3/-1.3/-1.3/1.3/22.4/0.9/0.8/0.4/2.9/-1.4/2.2/0.4/1.6/-0.3/-1.9/-0.8/-0.7/-1.2,59210/59211/59212/59214/59215/59216/59217/59220/59221/59238/59243/59247/59248/59248/59250/59265/59267/59268/59269/59270/59271/59275/59276/59277/59278,25,2,20,22.4
61915559,1547677003961564416,DA,H,True,19.63,0.182,11.93,18.3,8.07,n150,200.0,1.0,0.1/0.3/17.1,1.35,6.46,5.53,-1.2/20.2/-1.7/-0.8/-1.2/-0.5/6.4/-1.4/-0.2/2.0/2.4/2.7,59256/59291/59335/59336/59338/59364/59365/59366/59370/59731/59975/60052,12,2,7,20.2
78852079,3632913892801599744,DA/DZ,H,True,19.87,0.899,14.6,21.5,16.4,n150,80.0,2.48,7.1/10.7/11.0,-0.45,4.64,19.44,5.2/12.9/8.9/11.0/11.4/11.1/8.4/17.2/3.1/3.0/12.2/8.1/4.1/-3.5,59245/59246/59267/59268/59269/59270/59271/59272/59273/59304/59305/59324/60374/60376,14,9,1,17.2
71082670,2688307166863547264,DA,H,True,18.9,0.764,13.73,21.2,14.3,n60,20.0,1.73,3.7/9.8/14.8,2.42,4.15,13.08,1.5/8.9/7.9/6.0/16.3,59373/59374/59375/59820/60605,5,3,1,16.3
70260134,2528877194857837184,DC,nonH,True,16.75,0.846,13.57,128.9,17.05,n150,80.0,1.2,6.1/12.0/11.5,0.71,3.97,1.14,-2.3/1.4/-1.8/2.7/16.1/2.9/2.7/10.4/1.9,59845/59871/59905/60225/60285/60530/60607/60668/60692,9,2,4,16.1
58640149,1017130547266933632,DA/DC,H,True,19.55,0.946,14.31,36.2,13.69,n150,20.0,1.24,5.4/11.6/6.0,1.41,3.36,3.21,-9.7/15.9/15.2/-3.1/-3.1/1.5/2.9/-2.3/6.6/2.1/8.7/2.4/-0.9/5.5/-5.7,59232/59252/59257/59281/59284/59312/59615/59637/59638/59872/59931/60316/60319/60591/60595,15,4,7,15.9
74709777,3107374277060584064,DA:,H,True,17.27,-0.345,8.57,30.7,10.8,dp150,40.0,1.65,5.6/6.0/7.2,2.25,6.49,3.61,7.4/0.9/15.6/5.3,59272/59273/59324/59325,4,2,1,15.6
60715945,1348795004265872000,DC/DA,nonH,True,17.7,1.056,14.83,46.5,19.69,n150,40.0,1.0,5.6/18.1/9.8,0.8,6.55,3.73,-1.1/15.2/14.5/6.0/-0.8,60466/60471/60472/60476/60477,5,2,2,15.2
71018740,2679575704508755840,DC:,nonH,True,19.44,0.155,12.94,20.5,11.97,dp500,-260.0,1.19,8.0/8.5/4.8,-2.11,7.81,7.31,10.5/14.5/11.9/0.0/2.9/-0.6/0.5/-1.9/1.5/-3.9/-1.7/-0.1/2.3/6.0,59167/59168/59169/59379/59380/59381/59382/59820/59874/59882/60475/60477/60557/60558,14,3,8,14.5
88663957,4383394281714881920,DC/DB,nonH,True,19.22,0.331,12.26,16.9,10.81,dp500,300.0,1.19,6.9/7.0/5.5,-0.61,6.21,8.61,4.0/-0.2/10.1/1.5/-0.2/0.6/2.2/3.3/-1.7/14.0/5.0/-1.7/-0.2,59335/59336/59337/59362/59363/59364/59367/59385/59386/59387/59391/59671/59674,13,2,7,14.0
67908974,2151534115695067264,DA,H,True,13.89,-0.384,9.34,181.5,7.98,dp250,40.0,1.37,2.1/5.0/6.7,-0.09,10.13,0.62,1.8/3.2/1.1/3.0/5.7/13.6/7.0,60011/60012/60041/60042/60070/60072/60098,7,2,2,13.6
95893983,5272690766709543680,DC,nonH,True,15.08,1.178,14.94,183.4,8.69,n150,40.0,5.19,3.1/5.7/6.4,-0.7,4.4,1.78,5.5/-12.7/0.5/2.2/6.7/13.0/2.8,60008/60009/60009/60010/60036/60038/60039,7,2,2,13.0
79876887,3820708279802560256,DC,nonH,True,18.41,1.143,14.66,32.4,14.7,n150,20.0,1.0,5.7/10.8/9.2,-2.35,5.01,4.31,13.0/-3.5/-4.8/6.9/1.8/8.0,60352/60353/60376/60377/60400/60401,6,3,3,13.0
