name,gaia,dataset,identifier,date_utc,mjd,snr_pix,ew_A,ew_err_A,cover_min,cont_med,cont_rms,v_gauss_kms,fwhm_gauss_kms,hole
WDJ023415.51-040609.28,2489275328645218560,DESI-DR1,39627688771584461,2021-10-25,59512.365,43.6,1.63,0.33,1.0,1.0,0.029,,,
WDJ023415.51-040609.28,2489275328645218560,ESO XSHOOTER,ADP.2019-02-11T15:34:40.037,2019-01-12,58495.058,88.6,1.46,0.16,1.0,0.999,0.031,64.0,109.0,
WDJ023415.51-040609.28,2489275328645218560,ESO XSHOOTER,ADP.2019-11-05T13:18:13.334,2019-10-08,58764.295,75.4,2.15,0.18,1.0,0.998,0.034,29.0,100.0,
WDJ023415.51-040609.28,2489275328645218560,ESO XSHOOTER,ADP.2019-11-05T13:18:13.254,2019-10-08,58764.302,73.7,1.69,0.18,1.0,1.002,0.039,29.0,95.0,
WDJ023415.51-040609.28,2489275328645218560,ESO XSHOOTER,ADP.2026-09-21T14:52:25.642,,61297.24640168,,,,,,,,,read OSError
WDJ023415.51-040609.28,2489275328645218560,ESO XSHOOTER,ADP.2023-12-27T08:54:23.918,2023-12-17,60295.099,227.7,1.45,0.06,1.0,1.002,0.019,66.0,108.0,
WDJ023415.51-040609.28,2489275328645218560,ESO UVES,ADP.2020-06-08T16:57:51.492,2019-12-20,58837.116,45.6,5.56,0.3,1.0,1.027,0.114,-108.0,45.0,
WDJ023415.51-040609.28,2489275328645218560,ESO XSHOOTER,ADP.2019-02-11T15:34:40.042,2019-01-12,58495.05,83.6,2.68,0.17,1.0,1.004,0.031,68.0,113.0,
WDJ023415.51-040609.28,2489275328645218560,ESO XSHOOTER,ADP.2022-11-24T10:42:36.516,2022-11-13,59896.175,221.6,0.92,0.07,1.0,0.997,0.017,50.0,114.0,
WDJ023415.51-040609.28,2489275328645218560,ESO XSHOOTER,ADP.2020-12-15T08:50:15.694,2020-10-14,59136.191,36.6,-0.07,0.34,1.0,1.0,0.055,,,
WDJ023415.51-040609.28,2489275328645218560,SDSS-V visit,sdss_id 70061066,2024-12-20,60664.0,23.7,-0.96,0.59,1.0,1.005,0.039,,,
WDJ120002.65+572708.24,1575509800786419712,DESI-EDR,39633355582472311,2021-04-03,59307.333,41.3,0.04,0.34,1.0,1.002,0.027,,,
WDJ120002.65+572708.24,1575509800786419712,DESI-EDR,39633355582472311,2021-03-25,59298.314,45.1,0.27,0.32,1.0,1.0,0.027,,,
WDJ120002.65+572708.24,1575509800786419712,DESI-DR1,39633355582472311,2021-03-25,59298.314,43.9,0.02,0.33,1.0,0.999,0.027,,,
WDJ120002.65+572708.24,1575509800786419712,DESI-DR1,39633355582472311,2021-04-03,59307.333,41.3,-0.14,0.34,1.0,1.001,0.026,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2021-02-10,59255.0,45.6,0.14,0.31,1.0,1.003,0.014,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2021-03-11,59284.0,38.5,-0.54,0.37,1.0,1.0,0.023,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2021-03-17,59290.0,27.8,-0.36,0.5,1.0,0.998,0.04,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2021-04-13,59317.0,42.2,1.0,0.32,1.0,0.999,0.025,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2021-05-14,59348.0,38.3,-0.82,0.37,1.0,0.995,0.02,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2021-05-16,59350.0,31.5,-0.56,0.45,1.0,1.001,0.028,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2021-05-17,59351.0,31.4,-1.14,0.42,1.0,1.0,0.03,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2022-03-06,59644.0,22.5,-0.98,0.63,1.0,1.003,0.032,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2022-04-06,59675.0,11.9,2.18,1.41,1.0,0.991,0.093,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2023-05-09,60073.0,22.1,-2.23,0.62,1.0,0.998,0.034,,,
WDJ120002.65+572708.24,1575509800786419712,SDSS-V visit,sdss_id 62065115,2024-12-03,60647.0,27.8,-0.52,0.52,1.0,0.996,0.03,,,
WDJ111056.70+395916.97,765404128955927424,DESI-DR1,39633076736754610,2022-02-20,59630.322,40.7,0.83,0.33,1.0,1.002,0.034,,,
WDJ111056.70+395916.97,765404128955927424,SDSS-V visit,sdss_id 56914137,2021-05-24,59358.0,45.5,0.68,0.29,1.0,1.0,0.024,,,
WDJ111056.70+395916.97,765404128955927424,SDSS-V visit,sdss_id 56914137,2021-05-28,59362.0,42.9,3.22,0.33,1.0,0.998,0.021,-63.0,268.0,
WDJ111056.70+395916.97,765404128955927424,SDSS-V visit,sdss_id 56914137,2024-12-14,60658.0,25.3,3.25,0.54,1.0,1.0,0.029,-266.0,1483.0,
WDJ020851.67+005332.45,2507365009341338752,DESI-DR1,39627809424939781,2021-12-20,59568.203,32.0,0.54,0.44,1.0,1.001,0.037,,,
WDJ020851.67+005332.45,2507365009341338752,SDSS-DR17,790504916446636032,2001-09-26,52178.0,9.5,0.85,1.53,1.0,1.002,0.073,,,
WDJ020851.67+005332.45,2507365009341338752,BOSS-DR17,8819219722270955520,2015-09-18,57283.43,2.9,-18.55,6.55,1.0,1.02,0.203,,,
WDJ020851.67+005332.45,2507365009341338752,DESI-DR1,39627809424939781,2021-10-09,59496.384,40.6,0.9,0.41,1.0,1.003,0.031,,,
WDJ020851.67+005332.45,2507365009341338752,LAMOST DR11,500008165,2016-12-24,57746.0,3.8,-3.75,4.02,1.0,0.972,0.205,,,
WDJ020851.67+005332.45,2507365009341338752,LAMOST DR11,709813161,2019-01-02,58485.0,15.3,6.97,0.76,0.05,1.005,0.109,-36.0,863.0,
WDJ020851.67+005332.45,2507365009341338752,SDSS-V visit,sdss_id 70154783,2023-10-17,60234.0,21.3,1.3,0.65,1.0,1.003,0.039,,,
WDJ020851.67+005332.45,2507365009341338752,SDSS-V visit,sdss_id 70154783,2024-10-09,60592.0,28.5,2.81,0.53,1.0,1.001,0.03,1083.0,3765.0,
WDJ085252.86+514246.63,1017136594580182400,DESI-DR1,39633274351389989,2021-10-23,59510.505,18.3,0.33,0.79,1.0,0.993,0.053,,,
WDJ085252.86+514246.63,1017136594580182400,BOSS-DR17,8222684631843231744,2014-12-21,57012.285,13.6,0.9,1.2,1.0,1.003,0.049,,,
WDJ085252.86+514246.63,1017136594580182400,SDSS-DR17,503294607157651456,2000-11-29,51877.0,7.3,1.45,1.96,1.0,1.014,0.103,,,
WDJ085252.86+514246.63,1017136594580182400,DESI-DR1,39633274351389989,2021-11-28,59546.431,24.4,1.3,0.69,1.0,1.003,0.047,,,
WDJ085252.86+514246.63,1017136594580182400,LAMOST DR11,867705159,2020-12-15,59198.0,3.4,3.23,5.58,1.0,0.997,0.136,,,
WDJ085252.86+514246.63,1017136594580182400,SDSS-V visit,sdss_id 58640185,2021-01-18,59232.0,29.5,-0.47,0.48,1.0,0.996,0.03,,,
WDJ085252.86+514246.63,1017136594580182400,SDSS-V visit,sdss_id 58640185,2021-02-07,59252.0,33.6,-0.28,0.42,1.0,0.999,0.029,,,
WDJ085252.86+514246.63,1017136594580182400,SDSS-V visit,sdss_id 58640185,2021-02-12,59257.0,22.0,2.33,0.63,1.0,1.0,0.042,,,
WDJ085252.86+514246.63,1017136594580182400,SDSS-V visit,sdss_id 58640185,2021-03-08,59281.0,21.2,2.97,0.68,1.0,1.006,0.052,,,
WDJ085252.86+514246.63,1017136594580182400,SDSS-V visit,sdss_id 58640185,2021-03-11,59284.0,24.6,0.51,0.59,1.0,1.003,0.039,,,
WDJ085252.86+514246.63,1017136594580182400,SDSS-V visit,sdss_id 58640185,2021-04-08,59312.0,31.6,1.64,0.45,1.0,1.007,0.048,,,
