name,alias,gaia,ra,dec,src
SDSS J0738+1835,WD 0735+187,671450448046315520,114.67735922,18.58603145,sesame
SDSS J0845+2257,WD 0842+231,689352219629097856,131.41325807,22.95784752,sesame
SDSS J0959-0200,WD 0956-017,3829599892897720832,149.76957137,-2.01323184,sesame
SDSS J1043+0855,WD 1041+091,3869060540584643328,160.92304738,8.93287248,sesame
SDSS J1228+1040,WD 1226+110,3904415787947492096,187.24972567,10.67584611,sesame
HE 1349-2305,HE 1349-2305,6287259310145684608,208.1838507,-23.33482955,sesame
SDSS J1617+1620,WD 1615+164,4465269178854732160,244.32099968,16.33959561,sesame
WD 0145+234,WD 0145+234,291057843317534464,26.97840808,23.6621109,sesame
WD 0842+572,WD 0842+572,1037258898615762048,131.51030434,57.05795419,sesame
WD 1622+587,WD 1622+587,1623866184737702912,245.74851991,58.67524924,sesame
SDSS J1144+0529,SDSS J114404.74+052951.6,3897228138702625280,176.01981902,5.49771635,sesame
SDSS J1344+0324,SDSS J134430.11+032423.2,3713387458076349568,206.12548738,3.40645186,sesame
SDSS J0006+2858,Melis+2020 coords,2860923998433585664,1.6446374999999998,28.979594444444444,gf21
SDSS J0347+1624,Melis+2020 coords,43629828277884160,56.90288333333333,16.402702777777776,gf21
Gaia J0510+2315,Melis+2020 coords,3415788525598117248,77.50894166666666,23.261505555555555,gf21
Gaia J0611-6931,Melis+2020 coords,5279484614703730944,92.88207916666666,-69.51726388888889,gf21
Gaia J0644-0352,Melis+2020 coords,3105360521513256832,101.02179583333331,-3.86845,gf21
Gaia J2100+2122,Melis+2020 coords,1837948790953103232,315.14436666666666,21.382469444444446,gf21
WD J1930-5028,,6646693887514073984,,,known id
WD J0529-3401,,4823042355496728832,,,known id
SDSS J0234-0406,,2489275328645218560,,,known id
WD J2133+2428,,1797494081674032512,,,known id
WD J1829+4537,,2118281993556276096,,,known id
WD J2307-0002,,2651256614304360576,,,known id
WD J0857-2245,,5654689998440806912,,,known id
WD 0856+048,,578709631539357440,,,known id
WD J1959+2208,,1827014701883095680,,,known id
GALEX J0039-0356,,2527617665632689024,,,known id
SDSS J2054+1610,,1764314497240770176,,,known id
WDJ1448+3225,,1283510882895711872,,,known id
WDJ1611+4017,,1379988076130545536,,,known id
WD J2212-1352,WDJ221202.88-135239.96,2600209141285265280,,,gf21 name
