name,gaia,dataset,identifier,date_utc,mjd,snr_pix,ew_A,ew_err_A,cover_min,cont_med,cont_rms,v_gauss_kms,fwhm_gauss_kms,hole
SDSS J0738+1835,671450448046315520,SDSS-DR17,2312693573973207040,2005-03-02,53431.0,5.4,20.28,2.44,1.0,1.002,0.127,-156.0,1378.0,
SDSS J0738+1835,671450448046315520,SDSS-DR17,3253948112967854080,2008-01-30,54495.0,7.5,5.68,1.74,1.0,1.003,0.133,,,
SDSS J0738+1835,671450448046315520,ESO XSHOOTER,ADP.2014-05-15T19:35:21.900,2010-12-07,55537.319,61.6,8.79,0.28,1.0,0.997,0.048,48.0,98.0,
SDSS J0738+1835,671450448046315520,ESO XSHOOTER,ADP.2023-11-23T09:47:20.255,2023-11-17,60265.279,98.3,2.77,0.2,1.0,1.001,0.041,43.0,90.0,
SDSS J0738+1835,671450448046315520,ESO XSHOOTER,ADP.2014-05-16T12:14:36.727,2011-01-29,55590.061,56.1,3.46,0.27,1.0,0.997,0.055,73.0,100.0,
SDSS J0738+1835,671450448046315520,ESO XSHOOTER,ADP.2018-11-22T14:19:59.901,2018-11-08,58430.313,70.6,7.4,0.22,1.0,0.996,0.039,30.0,89.0,
SDSS J0738+1835,671450448046315520,ESO XSHOOTER,ADP.2026-02-23T08:51:33.348,,61081.13752136,,,,,,,,,read OSError
SDSS J0738+1835,671450448046315520,ESO XSHOOTER,ADP.2017-11-03T09:03:13.136,2017-10-22,58048.336,65.7,10.69,0.26,1.0,1.0,0.047,32.0,87.0,
SDSS J0738+1835,671450448046315520,ESO XSHOOTER,ADP.2022-12-21T13:51:49.779,2022-12-16,59929.175,82.9,5.03,0.2,1.0,1.0,0.043,48.0,103.0,
SDSS J0738+1835,671450448046315520,SDSS-V visit,sdss_id 56367604,2020-12-03,59186.0,7.2,18.02,1.87,1.0,0.983,0.205,148.0,4.0,
SDSS J0738+1835,671450448046315520,SDSS-V visit,sdss_id 56367604,2020-12-25,59208.0,5.6,8.1,2.46,1.0,1.029,0.253,,,
SDSS J0738+1835,671450448046315520,SDSS-V visit,sdss_id 56367604,2020-12-26,59209.0,23.0,9.47,0.63,1.0,1.004,0.063,20.0,154.0,
SDSS J0738+1835,671450448046315520,SDSS-V visit,sdss_id 56367604,2020-12-27,59210.0,22.0,4.57,0.63,1.0,0.998,0.057,33.0,183.0,
SDSS J0738+1835,671450448046315520,SDSS-V visit,sdss_id 56367604,2020-12-28,59211.0,17.5,2.58,0.8,1.0,0.996,0.052,,,
SDSS J0738+1835,671450448046315520,SDSS-V visit,sdss_id 56367604,2020-12-29,59212.0,5.1,10.02,2.7,1.0,0.989,0.169,,,
SDSS J0738+1835,671450448046315520,SDSS-V visit,sdss_id 56367604,2021-03-29,59302.0,20.1,7.81,0.66,1.0,0.995,0.05,36.0,186.0,
SDSS J0738+1835,671450448046315520,SDSS-V visit,sdss_id 56367604,2024-10-07,60590.0,8.7,4.69,2.02,1.0,1.012,0.094,,,
SDSS J0738+1835,671450448046315520,SDSS-V visit,sdss_id 56367604,2024-10-08,60591.0,12.3,11.59,1.25,1.0,1.001,0.067,40.0,169.0,
SDSS J0845+2257,689352219629097856,SDSS-DR17,2174135041561487360,2004-12-19,53358.0,18.4,21.71,0.75,1.0,1.0,0.028,58.0,927.0,
SDSS J0845+2257,689352219629097856,ESO XSHOOTER,ADP.2014-11-11T10:52:58.373,2014-10-20,56950.354,130.6,14.67,0.12,1.0,1.002,0.023,62.0,1083.0,
SDSS J0845+2257,689352219629097856,ESO XSHOOTER,ADP.2018-02-02T09:08:24.451,2018-01-06,58124.201,168.2,9.03,0.09,1.0,1.0,0.019,172.0,895.0,
SDSS J0845+2257,689352219629097856,ESO UVES,ADP.2020-06-23T08:12:58.532,2009-04-11,54932.059,21.8,15.36,0.61,1.0,0.999,0.083,180.0,1049.0,
SDSS J0845+2257,689352219629097856,ESO UVES,ADP.2020-06-26T06:07:15.171,2009-01-08,54839.291,24.2,15.54,0.55,1.0,1.007,0.068,121.0,981.0,
SDSS J0845+2257,689352219629097856,ESO XSHOOTER,ADP.2026-01-30T10:51:31.317,,61053.28931924,,,,,,,,,read OSError
SDSS J0845+2257,689352219629097856,ESO XSHOOTER,ADP.2019-01-11T13:14:44.946,2018-12-29,58481.195,139.2,8.39,0.11,1.0,1.0,0.02,152.0,967.0,
SDSS J0845+2257,689352219629097856,ESO UVES,ADP.2021-09-16T15:30:30.792,2008-04-05,54561.002,14.7,16.41,0.92,1.0,1.008,0.103,319.0,537.0,
