name,n,span,mean,min,max,chi2r,sig
SDSS J0738+1835,16,19.6,6.4,2.6,20.3,6.1,5.0
SDSS J0845+2257,16,19.0,10.9,5.3,24.8,8.3,4.6
SDSS J0959-0200,13,11.4,1.2,-6.2,3.8,3.2,5.6
SDSS J1043+0855,10,14.2,20.5,17.3,24.0,0.9,2.0
SDSS J1228+1040,36,22.2,65.8,54.8,79.0,0.5,2.5
HE 1349-2305,24,14.1,5.4,4.0,8.3,0.8,2.5
SDSS J1617+1620,21,18.8,1.5,-0.8,19.1,5.0,8.0
WD 0145+234,5,2.9,5.4,4.2,7.0,0.9,1.7
WD 0842+572,1,0.0,40.3,40.3,40.3,0.0,0.0
WD 1622+587,2,2.9,6.4,6.2,6.4,0.0,0.0
SDSS J1144+0529,37,8.0,2.7,-0.8,7.4,2.4,4.3
SDSS J1344+0324,4,20.9,0.9,-0.1,4.1,1.8,1.9
SDSS J0006+2858,5,5.9,46.5,43.2,52.1,0.5,1.3
SDSS J0347+1624,19,5.8,27.4,21.1,40.1,3.0,4.0
Gaia J0510+2315,6,11.0,1.5,-5.6,3.3,2.1,3.0
Gaia J0611-6931,6,4.2,54.6,48.2,87.0,3.5,3.9
Gaia J0644-0352,6,4.4,2.6,1.3,3.8,0.8,1.7
Gaia J2100+2122,49,5.9,1.9,0.2,8.7,2.3,5.1
WD J1930-5028,6,6.0,12.5,11.7,13.2,0.2,0.7
WD J0529-3401,9,5.9,4.7,3.0,6.8,1.1,2.2
SDSS J0234-0406,10,5.9,1.6,-1.0,5.6,2.3,3.9
WD J2133+2428,3,3.0,4.7,1.0,12.2,17.7,5.9
WD J1829+4537,3,2.0,57.2,50.7,65.1,1.3,1.6
WD J2307-0002,10,14.1,22.9,18.6,32.4,2.8,2.9
WD J0857-2245,2,2.6,0.2,0.2,0.3,0.0,0.1
WD 0856+048,11,14.4,16.9,3.0,32.9,8.5,7.0
WD J1959+2208,2,0.0,20.8,17.8,26.6,6.2,2.5
GALEX J0039-0356,4,1.7,32.6,23.2,48.7,6.6,3.4
SDSS J2054+1610,2,0.0,25.6,24.2,26.4,0.1,0.3
WDJ1448+3225,2,12.2,21.8,19.2,23.5,0.6,0.8
WDJ1611+4017,2,9.0,5.0,3.5,5.9,1.4,1.2
WD J2212-1352,8,8.6,17.7,12.8,23.0,4.0,3.4
