filter,mag_psf,e_mag_psf,flags,nimaflags,use_in_clipped,date
u,16.890783,0.0144,0,1,1,59435.57930701
u,16.931503,0.0305,0,0,-1,59087.39487269
u,16.840195,0.0635,0,0,1,56860.62784722
u,16.899801,0.0312,0,0,1,56868.60516204
v,17.114357,0.0294,0,0,1,58700.59903935
v,17.130095,0.0594,0,0,1,56868.60587963
g,17.454893,0.0075,0,0,1,58701.58885417
g,17.479895,0.0443,0,0,1,56860.6290162
r,17.686546,0.0118,0,0,1,56868.60671296
r,17.56343,0.0532,0,0,1,56860.629375
i,18.1617,0.0089,0,0,1,58728.37447917
i,18.1597,0.0316,0,0,1,57666.3915625
u,16.802788,0.029,0,0,1,57281.4608912
v,17.11314,0.0117,0,0,1,58700.61633102
g,17.366653,0.0315,0,0,1,56869.6040162
r,17.621788,0.0729,0,0,1,56869.60436343
i,18.0225,0.0405,0,0,0,56868.60700231
z,18.5258,0.0123,0,0,1,57666.39574074
z,18.4061,0.069,0,0,1,58728.37587963
u,16.908525,0.0198,0,0,-1,58987.80291667
u,16.768734,0.0543,0,0,1,56859.62612269
u,17.020271,0.0332,0,0,1,56869.60282407
v,17.118382,0.0193,0,0,1,58700.6028588
v,17.155834,0.0709,0,0,1,56869.60353009
g,17.434986,0.0091,0,0,1,58728.51377315
r,17.624546,0.0849,0,0,1,57281.46234954
i,18.2149,0.0772,0,0,1,56869.60467593
z,18.3334,0.2423,512,0,-1,56868.60734954
u,16.878433,0.0264,0,0,1,58700.59765046
u,16.932182,0.0458,16,0,-1,58311.65976852
v,17.179966,0.0166,0,0,1,59087.39626157
v,17.09788,0.0763,0,0,1,56860.62855324
v,16.98911,0.091,0,0,1,57281.46158565
g,17.400862,0.04,8216,87,-1,58691.63318287
g,17.443686,0.0076,0,0,1,58728.5165625
g,17.367567,0.0521,0,0,1,56868.60634259
g,17.329033,0.0305,0,0,0,57281.46204861
i,18.1554,0.0191,0,0,1,58751.5675463
i,18.1574,0.0179,0,0,1,57666.39435185
z,18.4427,0.0431,0,0,1,57666.39297454
