oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
338110300001929,50945976,2458263.9622467193,58263.4597685,17.4313774,0.0205577351,0,zg,312.8299738,-16.2973667,0.818000019,0.0469999984,20180525459757,338,0xa,0x3,20.9799995,26.1309986,0.0311678723,-0.0202500764,8.87203259e-06,30,1.70599997,1
338110300001929,51345950,2458267.9623369486,58267.4595023,17.4311237,0.0205549411,0,zg,312.8299693,-16.2973352,0.462000012,0.0209999997,20180529458935,338,0xa,0x3,19.3400002,26.1320839,0.0425787978,0.00182337395,4.82722135e-05,30,1.65699995,1
338110300001929,52043932,2458274.942755631,58274.4393287,17.3651314,0.0198489279,0,zg,312.829959,-16.2973717,0.814999998,-0.00100000005,20180605439317,338,0xa,0x3,20.0300007,25.9976711,0.0441985652,-0.0596454144,2.76001665e-05,30,1.66199994,1
338110300001929,52344140,2458277.9450689526,58277.4414005,17.3768559,0.0199710205,0,zg,312.829955,-16.2973614,0.92900002,-0.050999999,20180608441389,338,0xa,0x3,20.8299999,26.076107,0.0307721719,-0.0905566514,8.82980476e-06,30,1.62800002,1
338110300001929,52641877,2458280.9226723216,58280.4187731,17.4124107,0.020350052,0,zg,312.8299801,-16.2973903,0.609000027,-0.0329999998,20180611418762,338,0xa,0x3,21.3299999,26.1531372,0.0250982251,-0.0525751747,5.86454144e-06,30,1.68200004,1
338110300001929,52941865,2458283.9227796933,58283.4186574,17.4075813,0.0202977862,0,zg,312.8299657,-16.2973844,0.814999998,-0.0170000009,20180614418646,338,0xa,0x3,21.2800007,26.1632729,0.0267042425,-0.0602475554,6.66286815e-06,30,1.64999998,1
338110300001929,53243549,2458286.9398341337,58286.4354977,17.4044838,0.0202643853,0,zg,312.8300173,-16.29743,1.35300004,0.00499999989,20180617435498,338,0xa,0x3,20.8299999,26.1950531,0.0328162722,-0.0623332523,1.02075783e-05,30,1.58599997,1
338110300001929,54841931,2458302.92459745,58302.4193171,17.4071236,0.0202928483,0,zg,312.8299925,-16.2973736,1.36800003,0.0909999982,20180703419306,338,0xa,0x3,20.2299995,26.1245575,0.0362330303,-0.00824546721,1.48738172e-05,30,1.58200002,1
338110300001929,55144062,2458305.9460445098,58305.440625,17.4123783,0.0203497,0,zg,312.8299873,-16.297398,0.811999977,0.0179999992,20180706440613,338,0xa,0x3,20.7399998,25.9941654,0.0319150053,-0.0560167581,9.72404359e-06,30,1.64100003,1
338110300001929,56037652,2458314.8822787832,58314.3765278,17.4408131,0.0206625164,0,zg,312.8299744,-16.2973792,0.462000012,0.0260000005,20180715376516,338,0xa,0x3,21.0400009,25.9457684,0.0297170877,-0.0206917692,8.33390732e-06,30,1.58299994,1
338110300001929,56641851,2458320.9244226166,58320.4185185,17.4157562,0.0203863997,0,zg,312.8299975,-16.2973885,1.49300003,0.116999999,20180721418484,338,0xa,0x3,21.0200005,25.7901878,0.0321562849,-0.0304117631,9.62271861e-06,30,1.727,1
338110300001929,57644210,2458330.948134243,58330.4421065,17.3099251,0.0192927234,0,zg,312.8300466,-16.2973875,0.648999989,0.0280000009,20180731442095,338,0xa,0x3,18.6200008,25.8985958,0.0465525202,-0.0875380337,0.000151790082,30,2.21000004,1
338110300001929,57930859,2458333.8146323133,58333.3085995,17.396946,0.0201835539,0,zg,312.8299778,-16.2973842,0.839999974,0.0,20180803308588,338,0xa,0x3,20.6399994,26.0045643,0.0328965113,-0.0575774536,1.03981265e-05,30,1.602,1
338110300001929,58227207,2458336.7780954945,58336.2720718,17.4234276,0.0204702206,0,zg,312.8299891,-16.2973912,0.694999993,0.061999999,20180806271678,338,0xa,0x3,21.2299995,26.1520157,0.0241016764,-0.0327268019,5.45395915e-06,30,1.67900002,1
338110300001929,58435700,2458338.8630108405,58338.3570023,17.3808403,0.0200128444,0,zg,312.8300008,-16.2973801,0.667999983,-0.0120000001,20180808356991,338,0xa,0x3,20.9500008,26.1247921,0.029335646,-0.110591449,7.96422773e-06,30,1.67700005,3
338110300001929,58830922,2458342.8151844726,58342.3092245,17.45187,0.0207865313,0,zg,312.8299672,-16.2973696,0.708999991,0.0350000001,20180812309225,338,0xa,0x3,21.0300007,25.8949089,0.0299381185,-0.0328998566,8.28941484e-06,30,1.60099995,1
338110300001929,60635715,2458360.862569313,58360.3571528,17.3472519,0.0196654499,0,zg,312.829995,-16.2973804,0.765999973,0.0130000003,20180830357106,338,0xa,0x3,19.2999992,26.0945263,0.0423175208,-0.0198106933,4.97031142e-05,30,2.12599993,1
338110300001929,60929378,2458363.799065048,58363.2937847,17.4028816,0.0202471539,0,zg,312.8299926,-16.2973643,0.531000018,0.0199999996,20180902293738,338,0xa,0x3,20.2600002,26.1164494,0.0406527929,-0.0608045682,1.82706863e-05,30,1.66799998,1
338110300001929,61527284,2458369.7778112837,58369.2728472,17.4060593,0.0202813633,0,zg,312.8299872,-16.2973732,0.474999994,0.0419999994,20180908272847,338,0xa,0x3,21.2199993,26.1076736,0.0257479344,-0.0319176987,6.16585749e-06,30,1.64999998,1
