sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp
88987105,4429106481934491136,232.4229,6.066825,15.99398,15.97239,16.08895,11.38519,DA,1.0,-9999.0,-9999.0,232.2758,-0.11655999999999977
90843307,4622856957782901504,70.94196,-78.86393,13.43546,13.3265,13.6631,22.74427,DA,1.0,24625.55,7.739345,232.1691,-0.3366000000000007
54794907,458558784733311232,34.39109,57.11305,13.64038,13.54271,13.8507,25.15803,DA,1.0,23875.84,7.941552,226.6758,-0.3079900000000002
62875497,1724418928279944576,247.7229,85.12613,14.87225,14.69749,15.22442,3.975578,DA,0.9603281,72010.84,7.453334,215.9801,-0.5269300000000001
57463417,866719456827107712,111.9071,23.30346,14.16743,13.97916,14.53468,4.344491,DA,0.6347536,83510.97,7.647495,204.2821,-0.5555199999999996
67908974,2151534115695067264,275.1241,58.07805,13.89299,13.74348,14.12713,12.28352,DA,0.9485844,46358.52,7.764538,195.5064,-0.3836499999999994
56382949,672856143597851520,115.1003,20.49356,15.93471,15.85019,16.14148,9.624933,DA,1.0,21816.77,8.081585,180.048,-0.2912900000000018
80363179,3915436124273192192,171.6584,10.48026,17.22609,17.12424,17.2801,5.996345,DA,1.0,17748.12,7.99611,174.3606,-0.15586000000000055
57920817,921460739159662080,121.493,41.15874,15.17405,15.01416,15.48434,4.471597,DA,0.8642207,-9999.0,-9999.0,168.7462,-0.47017999999999915
78853102,3633076830976374784,205.8595,-4.89632,16.60459,16.46544,16.92077,4.052831,DA,0.986,34327.42,7.955965,165.7288,-0.45533
75787962,3209308900555979776,81.15108,-5.586879,13.86052,13.80308,14.00834,27.97647,DA,1.0,18645.51,7.898305,155.7608,-0.2052600000000009
57579772,879036662822920448,117.2206,30.42865,17.78345,17.64225,18.03608,5.161805,DA,0.9360272,26262.25,8.837535,154.2604,-0.3938299999999977
95929036,5276369492098540416,123.6061,-64.53642,14.77865,14.70414,14.94145,16.77073,DA,1.0,-9999.0,-9999.0,150.6427,-0.23730999999999902
71017417,2679330242833214848,335.3784,1.348724,16.8801,16.774,17.07226,3.700217,DA,0.9940255,30777.93,7.673698,149.3013,-0.2982599999999991
60577405,1332512641511400704,247.6427,38.9598,16.81051,16.74189,16.99121,6.243786,DA,1.0,19527.2,7.835365,148.2812,-0.24931999999999732
61609267,1489703805980259712,220.7144,41.67005,17.27704,17.24755,17.39575,6.313078,DA,1.0,15325.9,7.96555,145.1346,-0.14819999999999922
78848914,3632418223511334016,205.8244,-5.760056,16.69352,16.5577,16.98036,3.782828,DA,0.988,34680.84,7.832244,143.6228,-0.4226600000000005
59568140,1176497786981052160,217.7495,10.0286,16.82737,16.7355,17.02509,5.063471,DA,1.0,-9999.0,-9999.0,143.1935,-0.28959000000000046
92608778,4775127807717312640,69.26679,-57.47228,15.63215,15.54659,15.83338,11.45069,DA,1.0,21352.11,8.017481,142.0202,-0.2867899999999999
92606182,4774755245074357120,69.81406,-57.31677,15.6257,15.48777,15.91375,4.084831,DA,0.996,30296.1,7.099137,141.7271,-0.4259800000000009
75537110,3168905043690276992,114.0674,16.38239,16.48415,16.43218,16.58294,4.319086,DA,0.994,21074.49,7.350806,140.3312,-0.15076000000000178
70078909,2492691408193400576,30.43189,-3.033368,16.9306,16.86191,17.11557,6.919528,DA,0.7437121,30737.16,9.110435,138.9833,-0.25366
57543297,874635528230580992,118.2141,27.25373,16.90063,16.81018,17.09145,4.45441,DA,1.0,23373.46,7.705967,131.6278,-0.28126999999999924
88500151,4359468672472377600,247.3545,-0.3391595,16.64598,16.57856,16.79251,6.068904,DA,0.998,-9999.0,-9999.0,128.4165,-0.21395000000000053
92551890,4767225652008399104,89.14807,-56.16833,15.44061,15.3421,15.64891,13.10503,DA,0.5343888,78812.43,9.305424,126.8995,-0.30681000000000047
61904409,1545714066473060224,183.5959,48.72121,16.96312,16.8818,17.145,5.474689,DA,1.0,20911.04,7.86952,123.4773,-0.2632000000000012
76489759,3327735850578745088,98.45941,10.6879,13.79326,13.66492,14.05326,18.06717,DA,1.0,27850.93,7.888373,119.9822,-0.38833999999999946
73890368,3045399720045550080,107.808,-11.62265,15.79936,15.6927,16.02915,8.838797,DA,0.7179255,25508.84,8.009244,118.8034,-0.336450000000001
74321244,3074407546904630144,133.4626,-0.1453972,16.76368,16.71585,16.90572,7.053299,DA,1.0,17483.83,7.901414,118.6461,-0.1898699999999991
71013104,2678506876127556864,335.886,1.003609,17.18901,17.17453,17.27954,6.222217,DA,1.0,15864.93,8.050544,118.2064,-0.10501000000000005
62779446,1705853227768335232,252.7243,77.81274,15.09087,14.95642,15.36563,5.359375,DA,0.992,30239.95,7.2016,118.0051,-0.40920999999999985
71080025,2688020950242446976,321.5974,0.4441897,16.68393,16.62787,16.83123,7.520721,DA,1.0,19227.23,7.985806,117.8548,-0.20335999999999999
57465421,866919567943315712,112.7931,24.28418,16.31865,16.26175,16.45354,8.923505,DA:,0.3429047,20881.71,8.579103,117.3218,-0.19179000000000102
67935076,2154593644238192640,282.4011,58.84262,15.56388,15.54045,15.6676,14.35998,DA,1.0,15050.11,8.082271,116.9056,-0.12715000000000032
55778801,579381093842430464,139.2307,4.192242,16.8722,16.83703,16.97763,5.229051,DA,1.0,16335.98,7.572793,115.3973,-0.14060000000000272
57555268,875888795390849664,117.9702,29.20037,17.50854,17.45932,17.61842,3.087821,DA,1.0,17090.55,7.703027,114.1471,-0.1590999999999987
62578337,1667619154020851840,213.8051,63.07034,16.75952,16.74325,16.86115,8.76509,DA,1.0,-9999.0,-9999.0,112.0836,-0.11789999999999878
62008562,1564838903000947200,196.5115,56.25968,17.52887,17.49349,17.62938,4.706195,DA,1.0,18301.13,7.849735,111.2887,-0.13588999999999984
70821588,2642052911705956352,358.3118,-0.3057341,17.70153,17.68569,17.8153,5.718956,DA,1.0,15742.22,8.141623,111.1723,-0.12960999999999956
70108986,2498647943717424256,41.51156,0.4276249,17.36333,17.33597,17.46001,6.421319,DA,1.0,15280.59,8.05635,111.1538,-0.12404000000000082
61252137,1429017434212861312,243.0241,54.58218,16.97803,16.85664,17.26621,3.797489,DA,0.996,-9999.0,-9999.0,110.6197,-0.4095700000000022
66872278,2062283217823775488,304.7526,40.28073,15.30911,15.21683,15.37419,13.30353,DA,0.7370512,18429.87,7.869032,110.3748,-0.1573600000000006
62362476,1630034273171842432,245.0894,64.60016,15.60812,15.46862,15.88737,6.370273,DA,0.9720255,31020.86,7.772538,109.39,-0.41875000000000107
60770387,1355633897871121280,250.7299,39.51799,17.58057,17.48818,17.82788,3.392835,DA,1.0,25157.26,7.843611,108.4006,-0.33970000000000056
55613193,546656707224057984,36.89048,72.96212,16.04861,15.95108,16.11694,9.307562,DA,1.0,18725.15,7.852004,107.0842,-0.16586000000000034
69019594,2258413758380511488,270.0396,68.59746,14.79821,14.63877,15.11937,6.66695,DA,0.9160777,47707.56,7.845306,106.9122,-0.4806000000000008
74661664,3103530586268279936,98.24081,-5.097147,15.53525,15.38028,15.86014,8.000807,DA,0.9282612,47176.72,8.133529,106.7372,-0.4798599999999986
58194365,956449050285099776,94.06344,40.05296,17.0571,16.96013,17.25834,4.546032,DA,1.0,25473.06,7.811685,105.9205,-0.298210000000001
54399798,423119119786115072,1.549396,59.00374,16.40806,16.34156,16.57096,8.273281,DA,1.0,18416.36,7.914925,105.8071,-0.22939999999999827
71011919,2678298278156118144,335.8272,0.09916424,16.75443,16.64251,16.98488,3.141277,DA,0.8900892,70485.48,7.144904,103.8289,-0.34236999999999895
60570805,1331560292643238272,249.936,38.56297,17.57458,17.4492,17.84596,3.104286,DA,1.0,-9999.0,-9999.0,103.8263,-0.39676000000000045
74333841,3075924872951556224,132.1503,1.872925,17.24704,17.206,17.39294,5.613337,DA,1.0,-9999.0,-9999.0,103.7623,-0.18693999999999988
62388695,1634314740658456320,264.5108,66.89648,14.54118,14.35853,14.8897,5.821639,DA,0.7916797,87212.1,7.750422,103.3942,-0.5311699999999995
77552121,3429193393407592576,87.69388,26.20554,15.41829,15.32873,15.61201,10.62886,DA,1.0,21486.71,7.844958,102.6965,-0.28327999999999953
109624519,6337563994341063936,223.7236,-4.464087,16.229,16.14954,16.41523,8.306164,DA,0.996,24152.87,8.001013,101.4985,-0.26569000000000287
75539297,3169103432526660224,114.9054,17.27187,17.40407,17.2892,17.48663,4.494923,DA,0.9940255,20632.91,7.798966,101.2026,-0.19743000000000066
