sdss_id,gaia_dr3_source_id,ra,dec,g_mag,bp_mag,rp_mag,plx,classification,p_da,teff,logg,snr,bp_rp,FUVmag,e_FUVmag,NUVmag,e_NUVmag,fuv_nuv,M_G,locus,locus_sd,resid,sig
88987105,4429106481934491136,232.4229,6.066825,15.99398,15.97239,16.08895,11.38519,DA,1.0,-9999.0,-9999.0,232.2758,-0.1165599999999997,15.9871,0.0187,16.0634,0.0136,-0.07630000000000159,11.275681413342998,-0.10844999999999949,0.1407728699999998,0.0321499999999979,0.22536224210992367
62875497,1724418928279944576,247.7229,85.12613,14.87225,14.69749,15.22442,3.975578,DA,0.9603281,72010.84,7.453334,215.9801,-0.5269300000000001,12.7333,0.007,14.0266,0.0072,-1.2933000000000003,7.869251393216393,-0.48879999999999946,0.10126158000000102,-0.8045000000000009,-7.90599053580162
56382949,672856143597851520,115.1003,20.49356,15.93471,15.85019,16.14148,9.624933,DA,1.0,21816.77,8.081585,180.048,-0.2912900000000018,14.9839,0.0142,15.3077,0.0098,-0.3238000000000003,10.851698575146036,-0.30079999999999885,0.12424188000000014,-0.023000000000001464,-0.18336315035853779
57920817,921460739159662080,121.493,41.15874,15.17405,15.01416,15.48434,4.471597,DA,0.8642207,-9999.0,-9999.0,168.7462,-0.4701799999999991,13.7169,0.0098,14.0772,0.0055,-0.36029999999999873,8.426363280560453,-0.4894999999999987,0.08480471999999988,0.12919999999999998,1.510297271397307
78853102,3633076830976374784,205.8595,-4.89632,16.60459,16.46544,16.92077,4.052831,DA,0.986,34327.42,7.955965,165.7288,-0.45533,14.9509,0.0184,15.3862,0.0137,-0.4352999999999998,9.643382471832457,-0.4894999999999987,0.08480471999999988,0.054199999999998916,0.6169420216111627
57579772,879036662822920448,117.2206,30.42865,17.78345,17.64225,18.03608,5.161805,DA,0.9360272,26262.25,8.837535,154.2604,-0.3938299999999977,15.8165,0.0234,16.217,0.0154,-0.4004999999999992,11.347457969826937,-0.4347499999999993,0.08094995999999832,0.034250000000000114,0.399837096517556
60577405,1332512641511400704,247.6427,38.9598,16.81051,16.74189,16.99121,6.243786,DA,1.0,19527.2,7.835365,148.2812,-0.2493199999999973,16.098,0.0282,16.3695,0.0149,-0.27149999999999963,10.787750048015475,-0.2311999999999994,0.13321161000000292,-0.040300000000000225,-0.29421088233826964
61609267,1489703805980259712,220.7144,41.67005,17.27704,17.24755,17.39575,6.313078,DA,1.0,15325.9,7.96555,145.1346,-0.1481999999999992,17.3317,0.0423,17.3004,0.0247,0.03130000000000166,11.278245776004994,-0.10844999999999949,0.1407728699999998,0.13975000000000115,0.9375947349158328
78848914,3632418223511334016,205.8244,-5.760056,16.69352,16.5577,16.98036,3.782828,DA,0.988,34680.84,7.832244,143.6228,-0.4226600000000005,14.9919,0.0165,15.5425,0.0139,-0.5506000000000011,9.582602974836593,-0.47579999999999956,0.08554602000000078,-0.07480000000000153,-0.8478360097715625
59568140,1176497786981052160,217.7495,10.0286,16.82737,16.7355,17.02509,5.063471,DA,1.0,-9999.0,-9999.0,143.1935,-0.2895900000000004,15.6725,0.018,16.113,0.0129,-0.4405000000000001,10.34961163494627,-0.30079999999999885,0.12424188000000014,-0.13970000000000127,-1.1069725461766569
92606182,4774755245074357120,69.81406,-57.31677,15.6257,15.48777,15.91375,4.084831,DA,0.996,30296.1,7.099137,141.7271,-0.4259800000000009,14.1102,0.0095,14.586,0.0072,-0.47579999999999956,8.681570466783167,-0.47579999999999956,0.08554602000000078,0.0,0.0
70078909,2492691408193400576,30.43189,-3.033368,16.9306,16.86191,17.11557,6.919528,DA,0.7437121,30737.16,9.110435,138.9833,-0.25366,16.3761,0.0214,16.4411,0.0133,-0.06499999999999773,11.130982355241402,-0.30079999999999885,0.12424188000000014,0.23580000000000112,1.8600463755351815
57543297,874635528230580992,118.2141,27.25373,16.90063,16.81018,17.09145,4.45441,DA,1.0,23373.46,7.705967,131.6278,-0.2812699999999992,15.7876,0.0191,16.1701,0.0146,-0.38250000000000206,10.144580942859935,-0.30079999999999885,0.12424188000000014,-0.08170000000000321,-0.645612520996744
88500151,4359468672472377600,247.3545,-0.3391595,16.64598,16.57856,16.79251,6.068904,DA,0.998,-9999.0,-9999.0,128.4165,-0.2139500000000005,15.7135,0.0164,16.1333,0.0133,-0.4197999999999986,10.561531338630445,-0.2311999999999994,0.13321161000000292,-0.1885999999999992,-1.398334962834993
92551890,4767225652008399104,89.14807,-56.16833,15.44061,15.3421,15.64891,13.10503,DA,0.5343888,78812.43,9.305424,126.8995,-0.3068100000000004,14.3151,0.0097,14.6935,0.0076,-0.37840000000000096,11.02780009734768,-0.38175000000000026,0.09874116000000163,0.003349999999999298,0.03366593307816835
61904409,1545714066473060224,183.5959,48.72121,16.96312,16.8818,17.145,5.474689,DA,1.0,20911.04,7.86952,123.4773,-0.2632000000000012,16.1536,0.0299,16.4327,0.0153,-0.2790999999999997,10.65491726649217,-0.30079999999999885,0.12424188000000014,0.021699999999999164,0.16860685412624243
74321244,3074407546904630144,133.4626,-0.1453972,16.76368,16.71585,16.90572,7.053299,DA,1.0,17483.83,7.901414,118.6461,-0.1898699999999991,16.3847,0.0266,16.5313,0.0189,-0.14660000000000295,11.005641473170051,-0.14999999999999858,0.15092868000000642,0.0033999999999956287,0.022018473515644954
71080025,2688020950242446976,321.5974,0.4441897,16.68393,16.62787,16.83123,7.520721,DA,1.0,19227.23,7.985806,117.8548,-0.2033599999999999,16.1595,0.0223,16.4062,0.0157,-0.24669999999999703,11.065227388670646,-0.2311999999999994,0.13321161000000292,-0.015499999999997627,-0.11399181256170948
57465421,866919567943315712,112.7931,24.28418,16.31865,16.26175,16.45354,8.923505,DA:,0.3429047,20881.71,8.579103,117.3218,-0.191790000000001,16.0085,0.0203,15.9707,0.0133,0.03780000000000072,11.071327356618538,-0.14999999999999858,0.15092868000000642,0.1877999999999993,1.228515576659554
