sid,gaia,note,cls,snr,G,MG,Tph,mwdd,desiA,swan,simbad
111443015,6589369272547881856,warmDQ(CI),DC,33.3,15.97,12.97,12233,DQ,,,"[['EC 21373-3651', 'WD*', 'DQ']]"
61975553,1558730836735094528,warmDQ(CI),DC,29.5,19.19,12.88,12392,DQ,DQ:,DQ,"[['SDSS J133940.53+503612.8', 'WD*', 'DQw']]"
67251506,2087569060381096960,warmDQ(CI),DC,23.4,17.34,13.0,12789,DQ,,,"[['LSPM J2011+4910', 'WD*', 'DQ']]"
60245681,1287258636998635008,warmDQ(CI),DC:,20.6,19.12,13.08,12044,DQA,DQA,DQ,"[['GALEX J142812.5+323817', 'WD*', 'DQ']]"
80012172,3845201035182583424,warmDQ(CI),DC:,18.5,19.04,13.02,12401,DQ,,DQ,"[['SDSS J091922.18+023605.0', 'WD*', 'DQ']]"
110590717,6465542891501713408,warmDQ(CI),DC:,18.0,18.64,13.17,11021,DC:,,,"[['GALEX J213644.9-515758', 'WD*', 'DC:']]"
78875223,3636650514349119232,warmDQ(CI)?,DC/DQ,18.2,18.59,11.78,9920,DA+DB,,DAB,"[['2QZ J131907.4-023407', 'WD*', 'DA+DB/DC']]"
67111869,2076678981825545088,DAQ?(Balmer+CI7115),DA,12.6,18.7,12.91,17041,DA,,,"[['Gaia DR3 2076678981825545088', 'WD*', 'DA']]"
70357755,2546243976722685952,polar-like,DC,64.0,18.68,7.85,8309,,,EXGAL,"[['[VV2006] J001047.5+001900', 'QSO', None]]"
109578830,6329772962320814080,CV/polar-like,DC:,16.9,19.14,8.74,8223,,,,"[['Gaia DR3 6329772962320814080', '*', None]]"
114982976,50865027106484096,CV-like,DC/CV,27.6,17.96,7.32,9506,,,,"[['Gaia DR3 50865027106484096', '*', None]]"
91787777,4676459695824014976,Ha-em,DC/CV,27.9,19.77,11.2,7406,,,,[]
77079397,3377010532896116608,Ha-em,DC:,15.9,18.94,13.66,7690,DA,,,"[['Gaia DR3 3377010532896116608', 'WD*', 'DA']]"
75060082,3132347136765574912,Balmer-em?,DC:,15.8,18.61,11.95,10274,DC:,,,"[['Gaia DR3 3132347136765574912', 'WD*', 'DC:']]"
89127038,4445480473519600128,Ha-em?,DC,15.6,18.1,12.74,10917,DC,DC,DC,"[['GALEX J164100.3+083310', 'WD*', 'DC']]"
65114808,1967172369638700928,DZ?/unclear,CV/DC,33.1,18.46,12.12,7674,,,,[]
