Detailed Schedule,,,,
Monday 03 Aug 2026,,,,
Time,Session,Topics,Author,Title
08:30,bus departure in Vienna,,,
09:15,coffee,,,
09:30,welcome remarks,,,
09:45,S1.1,"S1.1
WD Populations

Chair: Boris Gänsicke",Mairi O'Brien,White dwarfs within 13 pc: Insights from HST near-UV spectroscopy
10:00,,,Emily Roberts,Simulating all-sky and part-sky 100pc white dwarf samples
10:15,,,Gracyn Jewett,The Upper Mass Limit and Merger Fraction of Ultra-massive White Dwarfs
10:30-11:30,coffee break (1 hour),,,
11:30,S1.2,"S1.2
Clusters, Wide Binaries + IFMR

Chair: Roberto Raddi",David Miller,New constraints and open questions in the cluster white dwarf initial-final mass relation
11:45,,,María Jesús Flores Moraga,Refining the Low-Mass End of the IFMR with Gravitational Redshifts in WD + Subgiant Binaries
12:00,,,Stefan Arseneau,Constraints on White Dwarf Stellar Structure with Gravitational Redshifts
12:15,,,Aina Ferreri Burjachs,Low-mass white dwarfs in wide binaries: uncovering hierarchical triples and alternative formation channels
12:30,,,Alexander Venner,Digging Deeper for Dog Stars: The Search for Hidden Nearby White Dwarfs in Multi-star Systems
12:45-13:45,lunch (1 hr),,,
13:45-14:30,poster session (45 min),,,
14:30,S1.3,"S1.3
Large Spectroscopic Surveys

Chair: Alberto Rebassa-Mansergas",Andrew Swan,The DESI DR1 white dwarf catalogue
14:45,,,James Munday,Classifying white dwarfs from multi-object spectroscopy surveys with machine learning
15:00,,,Sicheng Yu,Measuring white dwarf parameters using noisy spectra
15:15,,,Xander Byrne,"Big-data methods for polluted white dwarfs: past, present, and future"
15:30-16:00,coffee break (30 min),,,
16:00,S1.4,"S1.4
Asteroseismology + Hot WDs

Chair: Keaton Bell",Steven Savery,XCov31: Concurrent Multi-wavelength Photometry of the DAV G29-38
16:15,,,Kaylee Grace,The Blue Edge of the Helium White Dwarf Instability Strip
16:30,,,Paulina Sowicka,Pulsations and Abundances of PG 1159 Stars: New Observational Constraints on the GW Vir Instability Strip
16:45,,,Tiara Battich,Formation of trans-iron elements in H-deficient WDs precursors
17:00,,,Semih Filiz,"Spectral Analysis of the Largest Far-Ultraviolet Sample of Hot, Hydrogen-Rich White Dwarfs"
17:15,bus to Vienna / Schwedenplatz,,,
Tuesday 04 Aug 2026,,,,
Time,Session,Topics,Author,Title
08:30,bus departure in Vienna,,,
09:15,coffee,,,
09:30,S2.1,"S2.1
Advances in WD Modeling

Chair: Marcelo Miguel Miller Bertolami",Evan Bauer,Building and Testing New White Dwarf Physics Capabilities at LLNL
09:45,,,Antoine Bédard,A new generation of STELUM white dwarf cooling models
10:00,,,Bart Dunlap,Inconsistencies in White Dwarf Balmer Lines
