_q,WDJname,GaiaEDR3,Pwd,TeffH,loggH,MassH,TeffHe,MassHe,Gmag,Plx
1,WDJ123213.30-040925.74,3681220906102862720,0.998859,19774.48,8.092891,0.677067,16011.48,0.530769,15.6941,11.3481
2,WDJ231459.20-220821.70,2385217170235210496,0.999408,26336.76,8.696417,1.055497,32548.67,1.117554,16.3002,10.6616
3,WDJ223621.10-195224.21,2401659365900957056,0.999746,19377.40,8.004939,0.625081,20244.33,0.689530,15.5524,11.5511
4,WDJ002001.81+135247.96,2756156315721682816,0.999800,17879.59,7.881065,0.553670,18176.78,0.594011,15.3420,12.6164
5,WDJ083523.43-435958.23,5523202602640503040,0.999756,17710.77,8.060089,0.653511,17935.99,0.696564,15.3214,14.3928
6,WDJ223531.08-571626.63,6504527691174533120,0.999851,16529.98,7.924124,0.573490,16518.68,0.592082,15.1085,15.3306
7,WDJ130130.71-723447.50,5840399578267225472,0.999812,17341.58,7.975897,0.604120,17555.46,0.642204,15.2427,14.3371
8,WDJ023802.20+221112.94,89512001827263616,0.999694,18382.28,7.791598,0.509699,18891.23,0.554066,15.4025,11.4099
9,WDJ201900.44+401649.99,2062283217823775488,0.999634,17622.95,7.896395,0.561150,16623.20,0.534811,15.3091,13.3035
10,WDJ025251.00-022517.99,5187346124402986752,0.999461,15142.08,7.956523,0.588204,14942.66,0.579403,14.7877,19.5510
11,WDJ084215.02-022226.79,3072348715677121280,0.998746,23155.11,8.882229,1.150168,25324.32,1.189797,16.0020,16.3241
12,WDJ022340.37+481647.23,354464720387633792,0.999757,16505.47,8.007953,0.620562,16242.98,0.625745,15.0753,16.6996
13,WDJ181348.56+211920.66,4528087336172846848,0.999762,17825.46,7.883791,0.554970,18163.60,0.597662,15.2926,13.1976
14,WDJ122448.14+792042.55,1717665659142919168,0.999749,19767.87,8.014080,0.631142,20638.70,0.693325,15.5381,11.6086
15,WDJ222734.23-601142.21,6407702841805650688,0.999766,18284.64,8.030901,0.637621,18703.91,0.690082,15.3194,13.7628
16,WDJ052137.30-111434.43,2989191208160928000,0.999647,21169.88,8.061984,0.661734,22813.00,0.725136,15.6809,10.5130
17,WDJ085628.48+653946.01,1044784918268692224,0.999702,19049.52,8.135712,0.701434,19647.16,0.762963,15.4306,13.6350
18,WDJ200946.56-772116.06,6363307963890671360,0.999737,19436.95,7.896950,0.565983,20301.21,0.624202,15.4463,11.2336
19,WDJ080132.70-060735.48,3067262203092220160,0.999789,17581.92,7.897020,0.561383,17342.44,0.574178,15.1938,13.8293
20,WDJ205538.86-174004.87,6882669221937314944,0.998977,16154.46,8.285791,0.790423,15612.19,0.777981,14.9770,21.3939
21,WDJ043704.01-572821.62,4775127807717312640,0.999636,20865.59,8.134503,0.704104,22183.85,0.771468,15.6321,11.4507
22,WDJ192000.84-224152.97,6771076831905714048,0.999707,20236.41,7.916808,0.578527,19965.06,0.593490,15.5510,10.5784
23,WDJ002702.78-075111.86,2430332636288329088,0.999639,21905.11,7.913915,0.581159,25297.65,0.637057,14.0973,19.1092
24,WDJ221153.92+564946.77,2198431172852758656,0.999370,16830.89,8.070505,0.657911,16702.12,0.675938,14.1262,26.4332
26,WDJ005340.54+360118.17,363925536907389440,0.999027,27281.08,7.928479,0.601828,33425.51,0.696734,14.3820,13.8298
27,WDJ213849.48-404127.74,6578616598584224640,0.999760,19011.47,8.049556,0.649990,19684.05,0.712019,13.5187,30.8366
28,WDJ022827.20-324233.80,5063539946887524864,0.999604,22287.74,7.994095,0.625551,25960.42,0.684325,13.8512,22.2472
29,WDJ012923.99+510846.97,406775841506041344,0.999653,22089.90,7.995154,0.625688,25543.02,0.684972,13.5352,26.0649
30,WDJ014128.80+833458.83,572487740053132288,0.999760,19003.01,8.044448,0.646996,19654.33,0.708139,13.1233,36.8957
31,WDJ073739.33-294456.83,5599365360779915008,0.999294,15535.66,7.572621,0.427634,15641.22,0.453927,14.7165,14.9918
