#Table1
sdss_id,gaia_dr3_source_id,classification,p_da,teff,logg,snr,g_mag,bp_mag,rp_mag,plx,telescope,n_boss_visits
65524951,1990425494382123008,DA,0.8894964,23207.33,8.628208,15.38373,18.45523,18.37051,18.70317,5.162856,apo25m,3
75651831,3187477852371266688,DA,0.9332669,-9999,-9999,11.6592,18.84014,18.75381,19.07348,3.337823,apo25m,2
86034728,4186589263787739264,DA,0.9820818,12000,9.49,46.72626,16.13299,15.54594,15.90295,12.8335,apo25m,1
62915553,1731704184950327168,DA,0.7740952,34356.44,9.110179,19.91777,17.73953,17.62335,18.00437,5.084291,apo25m,1
105205123,5952252724358960256,DA,0.79863,27419.02,8.337893,14.49578,18.21324,18.12599,18.44831,4.329572,lco25m,1
68929799,2244229233750606208,DA/DC,0.3396405,-9999,-9999,16.00543,16.7833,16.67108,17.0334,8.031489,apo25m,1
75942551,3229621411510200704,DA,0.930109,-9999,-9999,19.39119,18.62375,18.52166,18.84956,3.475056,apo25m,3
66970133,2069323455191269760,DA,0.7841305,32216.6,8.417244,16.20033,18.27863,18.19066,18.52931,3.985039,apo25m,2
100536766,5666458346271348992,DA:,0.4515702,32265.07,9.489922,11.34001,19.12465,19.06595,19.3665,4.983582,lco25m,1
79672444,3780111080689647488,DA,0.8207895,25514.06,9.167621,81.63679,16.35103,16.2507,16.57712,14.20292,lco25m,3
87778573,4302241596214473856,DA,0.7591363,47802.53,8.890799,18.86803,17.77657,17.64856,18.11819,5.870897,apo25m,1
92423903,4754118610115454848,DA,0.8932511,32805.86,8.644866,19.92851,18.52354,18.39949,18.81774,3.509721,lco25m,1
75044158,3131089712078903168,DA,0.941013,27693.71,8.690816,71.15271,16.97034,16.85124,17.2282,8.077813,apo25m,5
71792802,2820666514054125568,DA,0.9013195,15614.68,8.179422,13.14577,18.70354,18.78206,19.17571,3.419231,apo25m,2
105176520,5950891906959484672,DA,0.820809,29623.73,8.494361,14.20273,17.6222,17.51153,17.81981,6.230124,lco25m,1
56442153,680446342946238208,DA,0.9569626,16653.79,7.990681,19.1117,19.21887,19.16117,19.46481,3.403529,apo25m,3
88908181,4418961661806565376,DA/DAH,0.483664,-9999,-9999,23.06563,17.00708,16.89035,17.24367,8.461514,apo25m,1
67561685,2115672233989337472,DA,0.9170795,19254.68,8.448746,12.098,18.88589,18.79456,19.16499,3.576014,apo25m,2
110525712,6456928385401888640,DA,0.8857336,26451.75,8.513714,10.54824,18.65512,18.54462,18.92581,3.815909,lco25m,2
96103732,5291344148976488448,DA,0.9550115,26787.54,8.734101,12.95485,18.34557,18.24351,18.61115,4.205549,lco25m,2
56218327,653368640025892864,DA,0.992,-9999,-9999,19.60177,17.64255,17.5522,17.87132,5.174157,apo25m,2
67473770,2107147857778499200,DA,0.9582285,24736.97,8.425432,19.24124,17.80272,17.73796,18.05499,5.962469,apo25m,2
71868584,2833867392391927936,DAH/DA,0.2975195,-9999,-9999,19.74716,17.68832,17.59119,17.94335,6.728136,apo25m,2
68727015,2216050296922508160,DA/DAH,0.3969405,-9999,-9999,11.87766,19.38614,19.28992,19.68539,3.891308,apo25m,3
75728716,3200485624683949696,DA,0.7433408,34259.72,9.3336,10.71473,18.99132,18.90757,19.35561,4.470861,apo25m,2
95077848,5208047381438507520,DA:,0.4568548,72177.88,8.750557,23.4724,16.56434,16.43245,16.84028,10.37596,lco25m,1
74558258,3095360665117928832,DA,0.9621307,-9999,-9999,21.30695,18.44981,18.36751,18.67466,3.550551,apo25m,2
56282529,661270898815358720,DA,0.9740576,24906.96,8.154207,17.0651,17.65233,17.55521,17.87362,5.527404,apo25m,3
56282529,661270898815358720,DA,0.9660783,23040.84,8.300309,25.25099,17.65233,17.55521,17.87362,5.527404,lco25m,3
110101735,6410630909988533120,DA_MS:,0.1335532,-9999,-9999,40.35577,18.97819,14.06379,15.2841,4.204457,lco25m,2
117117312,373714656432998400,DA,0.8091188,25421.56,9.116613,19.71856,18.22166,18.14344,18.45443,4.202287,apo25m,4
90509820,4584906966059113344,DA,0.9540866,21608.68,8.304397,21.87332,18.79973,18.81456,19.13585,3.593615,apo25m,3
93750876,4958095746692870528,DA,0.9226078,23534.73,8.849669,15.83884,18.7537,18.64623,18.98579,6.110658,lco25m,1
74858700,3115382600062991872,DA,0.5863395,27877.99,9.49,18.33931,18.41168,18.33581,18.70178,6.130694,apo25m,2
57398010,856540075097365504,DA,0.9740273,25638.15,8.444587,56.36517,16.8974,16.7975,17.14664,7.997552,apo25m,3
110942752,6509200198978273152,DA/DAH,0.3231863,-9999,-9999,13.88325,18.72318,18.67078,19.02726,3.618003,lco25m,2
92605802,4774700441291533568,DA,0.9681014,24712.59,8.269592,18.96085,18.41695,18.35881,18.82075,3.907737,lco25m,2
70559730,2587497068880829568,DA,0.9583201,26725.94,8.572965,28.703,18.61923,18.59367,18.92387,3.504867,apo25m,4
55917078,601566038739612160,DA,0.7576951,-9999,-9999,29.11146,17.39836,17.27619,17.65239,10.12066,apo25m,2
74833084,3113876956327736448,DA,0.7001566,-9999,-9999,14.54481,19.42549,19.40823,19.82196,3.295974,apo25m,2
106130138,5982219501452160000,DA/DC,0.3344899,-9999,-9999,18.36493,17.84546,17.72438,18.17546,4.813461,lco25m,2
67567164,2116343627572365440,DA,0.6392559,95087.32,9.458512,37.03252,16.83787,16.67459,17.16088,8.835438,apo25m,2
67185917,2082641225367920768,DA,0.9039329,22614.95,8.559653,14.70432,18.57167,18.4827,18.82297,3.845583,apo25m,2
63291038,1777333642625268736,DA,0.9845961,19323.26,8.055933,14.34747,19.5173,19.51454,19.89044,3.509624,apo25m,3
75916665,3226519762223501696,DA,0.8543534,23310.73,9.0367,19.24794,17.66197,17.57294,17.88597,10.72721,apo25m,2
57464341,866805287453778304,DA,0.9360528,27694.27,8.821794,35.30038,18.7087,18.53722,19.05137,3.840224,apo25m,7
57753428,896444440150774144,DA,0.9421445,-9999,-9999,16.12468,18.89745,18.85401,19.20328,3.062661,apo25m,2
