#Table1
sdss_id,gaia_dr3_source_id,classification,p_hotdq,p_dq,p_da,teff,logg,snr,g_mag,bp_mag,rp_mag,plx,telescope
78875223,3636650514349119232,DC/DQ,0.02216922,0.3152866,0.09998275,-9999,-9999,18.19447,18.58871,18.58055,18.57449,4.339442,apo25m
80022940,-1,DQ,0.001939438,0.8068337,0.005266415,-9999,-9999,73.19078,-9999,-9999,-9999,-9999,apo25m
80362737,3915335961340525056,DQ:,0.1664286,0.3761393,0.07089368,-9999,-9999,55.43938,18.76416,18.83056,18.73729,6.040412,apo25m
69005507,-1,DQpec:,0.05680333,0.08687727,0.09986513,-9999,-9999,25.389,-9999,-9999,-9999,-9999,apo25m
79745562,3794415245931016320,DQ:,0.1613165,0.4529007,0.007263751,-9999,-9999,25.86918,17.37418,17.4037,17.32706,14.66043,apo25m
70148947,2506320640798428928,DQ/DC,0.177697,0.3893758,0.01848862,-9999,-9999,41.86486,19.2437,19.24476,19.24863,5.270346,apo25m
70916622,2662208372887759744,hotDQ/DC,0.2539559,0.129879,0.222494,-9999,-9999,49.61188,17.12157,17.13132,17.12092,15.34569,apo25m
95489940,5243591401210032000,DA/hotDQ,0.2235282,0.02902741,0.2669468,-9999,-9999,14.28254,17.67557,17.66411,17.7413,11.67906,lco25m
100048863,5617381954006206208,DC/DQ,0.09555186,0.2262792,0.0590821,-9999,-9999,10.52491,18.421,18.48296,18.39752,9.439606,apo25m
70017474,2480243386083359360,DA:,0.2369929,0.007570973,0.4030173,-9999,-9999,23.14641,18.16465,18.13717,18.14009,9.147894,apo25m
92085350,4697078562502515840,DC/DQ,0.04028131,0.2711828,0.03042419,-9999,-9999,10.98557,19.30653,19.39488,19.30326,4.177017,lco25m
79068566,3668901977825959040,DA:,0.2009104,0.002,0.4939772,119998.9,9.49,29.40846,19.37144,19.35032,19.59411,3.933274,apo25m
79656677,3776918275016618112,DC/DQ,0.06734054,0.1926905,0.1448206,-9999,-9999,77.96796,16.81869,16.74485,16.98729,12.10182,lco25m
114749573,-1,DQ/DZ,0.04042371,0.1420505,0.07793833,-9999,-9999,9.61924,-9999,-9999,-9999,-9999,apo25m
93263260,4876216249643782656,DQ/DC,0.07529403,0.3917923,0.02047937,-9999,-9999,13.55947,19.43955,19.47575,19.41246,5.081058,lco25m
63724552,1820913580577574912,DC/DQ,0.07036107,0.1901676,0.06464992,-9999,-9999,12.63025,19.1131,17.34017,17.99333,0.8430844,apo25m
89905789,4519466580903738880,DA:,0.219306,0.004754703,0.4240997,117937.5,9.489719,16.1734,18.19486,18.16116,18.36019,8.82665,apo25m
61206487,1422012892308493568,DA:,0.2245363,0.00537689,0.4240344,120000,9.49,31.56882,16.14238,16.07471,16.26738,21.24115,apo25m
93192104,4864552767735594240,DQ,0.01817811,0.5207562,0.01234805,-9999,-9999,19.35188,18.4191,18.43621,18.43481,8.081659,lco25m
55794491,581820218658061952,DQ,0.01205335,0.5007648,0.0160019,-9999,-9999,17.19891,19.05721,19.09544,19.10108,5.00457,apo25m
105158630,5950072354156640128,DQ:,0.04120564,0.347442,0.06570861,-9999,-9999,13.39103,17.86658,17.87292,17.84254,9.675375,lco25m
70109605,-1,DQ:,0.01560994,0.4774532,0.06151969,-9999,-9999,18.04157,-9999,-9999,-9999,-9999,apo25m
59458229,1158766577140118144,DQ/hotDQ,0.2109952,0.3368752,0.06187582,-9999,-9999,24.26787,19.60754,19.59722,19.5362,5.541604,apo25m
