# VarWISE J105943.85-274050.1 = Gaia DR3 5456743064671253632; NEOWISE-R W1 forced PSF photometry (2-source fixed-position fit), flux in mJy; phase at P = 0.12097159 d
# mjd_utc,bjd_tdb,f_mjy,e_mjy,phase
56825.5026664,2456826.0036270,0.2659984,0.0293103,0.5834774
56825.2395863,2456825.7405689,0.4055337,0.0335629,0.4089329
56826.0290802,2456826.5299969,0.4614472,0.0302010,0.9346629
56825.0422130,2456825.5432121,0.4315084,0.0357807,0.7775017
56825.1737528,2456825.6747409,0.3211422,0.0410830,0.8647719
56825.6343334,2456826.1352831,0.2037803,0.0323185,0.6717994
56648.9567688,2456649.4577826,0.4075419,0.0313522,0.1842548
56648.6933061,2456649.1942972,0.4638204,0.0280599,0.0061781
56825.3052925,2456825.8062696,0.4989448,0.0279270,0.9520415
56825.4369597,2456825.9379258,0.4938417,0.0291328,0.0403644
56648.8909349,2456649.3919431,0.2045277,0.0369682,0.6399986
56651.5265803,2456652.0278155,0.4067687,0.0352242,0.4291840
56825.5684999,2456826.0694551,0.3657381,0.0287905,0.1276385
57014.5535688,2457015.0546032,0.3843275,0.0352808,0.3551675
57184.2506359,2457184.7521315,0.4832137,0.0320105,0.1434445
57015.0135145,2457015.5145886,0.4677939,0.0296950,0.1575921
57184.3817937,2457184.8832784,0.5441083,0.0354333,0.2275579
57184.1850570,2457184.6865580,0.2258647,0.0290743,0.6013877
57014.0277886,2457014.5287776,0.5169671,0.0271011,0.0084810
57014.4878622,2457014.9888910,0.4270222,0.0335932,0.8119637
57184.4475000,2457184.9489793,0.4393644,0.0377396,0.7706677
57183.7256224,2457184.2271615,0.3863971,0.0338133,0.8038302
57184.1193507,2457184.6208572,0.4704931,0.0315161,0.0582782
57184.7098156,2457185.2112732,0.4871017,0.0365408,0.9388952
57014.6849818,2457015.1860275,0.3645508,0.0277665,0.4415741
57184.5786577,2457185.0801262,0.3525511,0.0351589,0.8547811
57014.7506883,2457015.2517397,0.5017470,0.0406465,0.9847778
57184.3162148,2457184.8177050,0.1519393,0.0380393,0.6855012
57014.1592017,2457014.6602021,0.5195999,0.0319276,0.0948885
57014.6192753,2457015.1203154,0.4890680,0.0275513,0.8983711
57014.8821014,2457015.3831642,0.4664345,0.0329646,0.0711851
57376.1549572,2457376.6556839,0.2351906,0.0311272,0.4956813
57552.3493355,2457552.8506053,0.4574423,0.0360236,0.9940325
57543.2425134,2457543.7445323,0.2676532,0.0266685,0.7195574
57552.3494628,2457552.8507326,0.4654910,0.0332287,0.9950853
57376.6138857,2457377.1146520,0.4468033,0.0257288,0.2896966
57377.0073616,2457377.5081618,0.2042195,0.0256565,0.5426081
57543.0460305,2457543.5480654,0.4847977,0.0304847,0.0954823
57543.6356052,2457544.1375924,0.5001083,0.0322500,0.9687503
57543.1770617,2457543.6790860,0.5080771,0.0268969,0.1785515
57543.3080923,2457543.8101060,0.5024395,0.0335618,0.2616159
57376.0237986,2457376.5245139,0.3577686,0.0269679,0.4113774
57543.1114827,2457543.6135123,0.2570605,0.0309920,0.6364933
57542.5217805,2457543.0238578,0.3261394,0.0323106,0.7621708
57375.8926399,2457376.3933439,0.4207018,0.0289481,0.3270735
