# VarWISE J105943.85-274050.1 = Gaia DR3 5456743064671253632; NEOWISE-R single exposures, clean cuts as lane M; mjd (UTC), Vega mags
mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro
59362.163270,15.661000,0.215000,14.991000,nan
59362.228594,14.826000,0.090000,14.694000,0.289000
59362.294045,15.393000,0.128000,14.793000,0.328000
59362.620794,15.188000,0.165000,15.113000,0.388000
59362.424694,14.959000,0.096000,14.487000,0.249000
59362.751570,15.422000,0.128000,14.793000,0.282000
59362.490146,14.896000,0.104000,14.621000,nan
59362.359370,14.919000,0.115000,14.656000,0.287000
59362.555470,14.728000,0.078000,14.664000,nan
59362.228721,14.663000,0.076000,14.213000,0.152000
59574.990848,14.863000,0.093000,14.934000,0.530000
56648.693306,14.498000,0.065000,14.008000,0.137000
56648.890935,15.158000,0.119000,14.741000,0.321000
57740.207444,14.578000,0.078000,14.387000,0.217000
58107.587767,14.545000,0.071000,14.594000,0.279000
59203.156840,14.799000,0.095000,14.662000,0.309000
59202.960739,15.388000,0.139000,14.699000,nan
59202.764638,14.918000,0.098000,14.344000,0.188000
59203.221782,14.771000,0.083000,14.281000,0.215000
59203.614620,14.640000,0.079000,14.594000,0.301000
59202.895414,14.769000,0.085000,14.561000,0.224000
59203.026191,14.694000,0.076000,14.352000,0.232000
59203.156967,14.727000,0.084000,14.419000,0.210000
59202.633862,14.797000,0.087000,14.525000,0.221000
59203.287616,14.733000,0.111000,14.498000,0.243000
59934.161529,15.095000,0.118000,14.953000,0.335000
59934.878569,14.989000,0.096000,14.327000,nan
59934.748175,15.022000,0.147000,14.582000,0.288000
59935.008836,15.125000,0.108000,14.528000,0.221000
59934.552329,15.156000,0.119000,14.805000,0.276000
59934.683105,15.098000,0.156000,15.034000,0.378000
59934.748302,14.940000,0.094000,14.882000,nan
59934.617908,15.229000,0.116000,14.999000,0.330000
60298.764711,15.226000,0.115000,14.393000,0.304000
60298.635590,15.096000,0.107000,15.084000,0.393000
60298.571030,15.433000,0.136000,14.680000,0.301000
60298.958392,15.177000,0.155000,14.795000,nan
60298.505960,15.009000,0.100000,14.299000,nan
60298.829271,15.354000,0.155000,14.908000,nan
60299.087513,15.701000,0.208000,14.622000,0.300000
60299.216634,15.131000,0.181000,15.000000,0.356000
