# J1226-2304 = Gaia DR3 3513017956589117056: SkyMapper DR4 epoch photometry (object_id 103918297), dr4.photometry x dr4.images, queried 2026-09-23
image_id,filter,flags,nimaflags,mag_psf,e_mag_psf,chi2_psf,ra_img,decl_img,date,night_mjd,exp_time,image_type,img_qual,fwhm_mean
20160629082937,i,0,0,18.8208,0.0704,2.6331,186.6576421,-23.0705906,57568.35391204,57568,100.0,ms,1,2.0611525
20160629083137,z,0,0,18.0984,0.0534,1.1758,186.6576689,-23.0706699,57568.3553125,57568,100.0,ms,1,2.0496454
20160703081537,z,0,0,18.056,0.0577,0.6886,186.6576272,-23.0706554,57572.34418981,57572,100.0,ms,1,3.127416
20160703081937,z,0,0,18.0388,0.0618,1.2008,186.6576357,-23.0706021,57572.34697917,57572,100.0,ms,1,2.6528301
20170418130515,z,512,0,18.153,0.1445,1.6299,186.6575352,-23.0706871,57861.54533565,57861,20.0,fs,1,2.0501897
20180715090913,i,24,7,18.8146,0.0443,0.5764,186.6575504,-23.0706574,58314.38141204,58314,100.0,ms,1,3.2441113
20180715091113,z,16,0,18.0286,0.0495,0.7304,186.657591,-23.0706539,58314.3828125,58314,100.0,ms,1,2.9567873
20190112163826,g,0,0,20.66274,0.1177,3.2402,186.6575954,-23.0706226,58495.69337963,58495,100.0,ms,1,2.4036746
20190205180725,i,0,0,18.8198,0.0432,1.0693,186.657618,-23.0706369,58519.75517361,58519,100.0,ms,1,2.897276
20190205180925,z,0,0,18.1095,0.044,0.809,186.6576076,-23.0706764,58519.75657407,58519,100.0,ms,1,2.445615
20190411133213,i,0,0,18.6598,0.0365,0.9791,186.657568,-23.0706764,58584.56405093,58584,100.0,ms,1,2.3742893
20190411133413,z,0,0,18.0867,0.0551,1.4669,186.6576187,-23.0706671,58584.56543981,58584,100.0,ms,1,2.2523773
20200607100231,i,0,0,18.8298,0.0564,0.5577,186.6576635,-23.0706858,59007.4184375,59007,100.0,ms,1,2.9686446
20200607100433,z,0,0,17.9721,0.025,0.1582,186.6576011,-23.0706457,59007.41983796,59007,100.0,ms,1,3.0898194
