# Subset of vw_below_ms.csv with |b|>10 deg, -0.5<G-W1 excess<1.8, w1_amp>0.15, W1<15.5 (226 rows): input to vw_pipeline.py.
designation,ra,dec,vartype,confidence,variability_snr,period1,period2,period_significance,suspect_period,w1_amp,w2_amp,n_obs,w1mag,w2mag,w3mag,jmag,hmag,kmag,gmag,bpmag,rpmag,plx,e_plx,simbad_type,known_extragalactic,blended_source,latent_artifact,cat,bprp,MG,d_ridge,env,gw1_exc,b
VarWISE J181419.77-384849.6,273.58238,-38.8138,ew,0.6802,4.792,1.42275,2.97295,6.841,0,0.315,0.662,184,14.824,14.838,12.47,16.07,15.44,14.88,20.12,20.76,18.42,10.0766,1.0174,,0,0.06,0.1,varwiseext,2.34,15.136570095902467,5.5671719297074915,10.853950296547346,1.786000000000001,-10.021248834372152
VarWISE J120937.85-504604.0,182.40771,-50.7678,agn,1.0,4.782,771.0,388.0,5.826,1,0.32,0.381,343,14.957,13.815,10.93,16.38,15.77,15.47,20.16,21.36,18.84,10.4734,0.6862,,0,0.05,0.07,varwiseext,2.5199999999999996,15.260438452107955,5.119327211703801,11.378272158543574,1.423,11.55722248090402
VarWISE J053139.43-054457.4,82.91433,-5.7493,ew,0.5066,5.076,0.518075,3.6265,7.266,0,0.387,0.714,181,15.106,15.24,12.04,16.87,15.82,15.3,20.06,20.73,18.49,6.1654,0.682,,0,0.11,0.07,varwiseext,2.240000000000002,14.009806290431168,4.769135914539749,10.808014882007727,1.6039999999999952,-20.349420641638293
VarWISE J175303.84-024727.5,268.26604,-2.791,ew,0.7197,4.02,0.471075,0.94215,7.972,0,0.299,0.881,173,14.904,15.074,12.33,15.86,15.18,14.85,18.76,19.38,17.34,7.5368,0.9548,,0,0.05,0.14,varwiseext,2.039999999999999,13.145934953930375,4.540476769886331,10.71905615497531,0.8393333333333364,11.640536911434339
VarWISE J173009.94-151020.6,262.54145,-15.1724,ew,0.8551,4.771,2.316775,7.5652,7.083,0,0.282,0.528,208,14.627,14.678,12.34,15.99,15.2,15.1,18.63,19.48,17.38,7.8579,0.9303,,0,0.09,0.07,varwiseext,2.1000000000000014,13.106532488296134,4.318213205994356,10.758652637911617,0.886333333333329,10.306694637728548
VarWISE J060704.48-165130.9,91.7687,-16.8586,yso,0.9931,4.573,0.258475,0.54845,10.173,0,0.158,0.285,314,14.003,13.742,12.69,15.59,14.53,14.1,20.07,21.39,18.51,12.0931,0.4639,,0,0.04,0.15,varwiseext,2.879999999999999,15.48268822073032,4.230464373361615,12.19953318593589,1.7470000000000017,-17.222563563566233
VarWISE J173351.82-140616.5,263.46593,-14.1046,lpv,0.5335,4.388,1.9599,5.60375,5.625,0,0.284,0.736,258,14.644,14.838,11.74,15.92,15.01,14.98,18.17,18.69,17.06,4.8671,0.4356,,0,0.06,0.1,varwiseext,1.6300000000000026,11.606351346999364,4.138194788132456,11.22207301911476,1.0672499999999987,10.107497456148051
VarWISE J032711.59-171858.3,51.79831,-17.3162,cv,0.9993,7.779,37.065,58.965,6.493,0,0.167,0.195,323,12.842,12.233,10.36,14.32,13.79,13.33,17.1,17.8,16.13,7.8351,0.0692,,0,0.04,0.09,varwisepure,1.6700000000000017,11.570222718873744,3.99412291115582,10.102945480911096,1.754249999999999,-52.80611212007074
VarWISE J184903.11-272541.1,282.26299,-27.4281,rr,0.6518,4.455,0.7193,1.031175,5.845,0,0.239,0.559,220,14.531,14.598,12.28,16.05,15.3,15.24,18.74,19.43,17.5,5.0491,0.6356,,0,0.07,0.04,varwiseext,1.9299999999999995,12.256069861021611,3.978315879524599,9.979758852129883,1.363999999999998,-11.643318152790075
VarWISE J002347.65+180923.7,5.94858,18.1566,cv,,3.496,,,,0,0.29,0.943,264,15.333,15.369,12.34,,,,20.22,21.24,18.87,4.2995,0.702,,0,0.07,0.08,varwiseext,2.3699999999999974,13.387089766424944,3.727179904794242,10.941071536549346,1.332000000000002,-44.22184033638062
VarWISE J153210.64-425045.5,233.04434,-42.846,rr,0.7281,4.89,1.545975,2.073025,5.395,0,0.274,0.633,259,14.698,14.69,12.29,16.18,15.38,15.0,19.02,19.62,17.48,5.2505,0.9838,,0,0.12,0.1,varwiseext,2.140000000000001,12.621003314078608,3.7106597619889854,10.722086655276652,1.1386666666666647,10.860861085616284
VarWISE J105943.85-274050.1,164.93271,-27.6806,ew,0.9749,9.721,0.362075,0.8468,9.217,0,0.673,0.771,280,14.82,14.533,12.01,16.33,15.72,15.36,19.47,20.39,18.35,3.6284,0.3632,,0,0.05,0.09,varwiseext,2.039999999999999,12.268575791357268,3.663117607313223,10.71905615497531,1.6333333333333333,28.981416464860228
VarWISE J182002.99-384751.7,275.01247,-38.7977,rr,0.8478,4.657,0.748975,1.497925,9.781,0,0.231,0.681,225,14.485,14.613,12.43,15.52,14.81,14.64,18.33,18.84,16.91,4.9377,0.5609,,0,0.05,0.15,varwiseext,1.9299999999999995,11.797623499767276,3.519869518270262,9.979758852129883,0.9999999999999992,-11.0115916650799
VarWISE J130923.02-492820.9,197.34592,-49.4725,ea,0.9909,5.717,0.52645,0.875725,24.636,0,0.323,0.796,308,14.83,15.068,12.83,15.91,14.96,15.11,18.0,18.54,16.88,4.0962,0.3112,,0,0.05,0.08,varwisepure,1.66,11.061905766176604,3.5131771401407637,10.153771565805592,0.6774999999999998,13.294897208071633
VarWISE J173332.39-132207.3,263.38497,-13.3687,rr,0.7066,4.478,2.677025,0.51505,5.918,0,0.29,0.745,253,14.778,14.96,11.38,15.68,15.01,14.92,18.19,18.63,16.94,3.88,0.4901,,0,0.06,0.1,varwiseext,1.6899999999999975,11.134158627971038,3.5033164568889665,10.00129331112214,0.8857500000000034,10.55852031128507
VarWISE J183826.28-301542.8,279.60952,-30.2619,rr,0.7951,4.953,2.170025,1.206675,6.234,0,0.272,0.658,133,14.543,14.699,12.46,15.24,14.54,14.4,18.06,18.42,16.55,5.0974,0.6631,,0,0.04,0.4,varwiseext,1.870000000000001,11.596743573060907,3.483171651586126,10.06507389680394,0.7619999999999978,-10.731967667551833
VarWISE J154557.26-674251.1,236.4886,-67.7142,agn,0.7322,4.797,189.0,569.0,5.616,1,0.154,0.255,338,13.854,13.733,,,,,18.08,18.88,16.48,10.6569,0.4809,,0,0.07,0.03,varwiseext,2.3999999999999986,13.218154452772511,3.4717127768100102,11.065858044543717,0.6260000000000008,-10.231658126796612
