gaia_dr3,name,pulsation_claim(source;strength),magnetic_claim(source),own_spectral_check,literature_status,verdict,confidence,evidence_files
1980205739970324224,J2159+5102,"Vincent+2020 table 3 new ZZ Ceti: P=1286 s, A=1.2%, FAP<0.1%, ONE unfiltered 1.7-h run on 2020-08-07 (408x15 s, OMM 1.6 m) = ~4.8 cycles; SIMBAD Pu*/MWDD VAR are only copies of that paper","today (SnowWhite p_dah 0.46; SDSS-V Zeeman 5.6 MG); in no other magnetic list","SDSS-V single visit (xcsao -162 km/s): triplet recovered by my zfit, B=5.65 MG, metric 729 (highest of 238 pulsator-list SDSS-V spectra)","ADS full text: only Vincent+2020 (AJ + IAUS 357). No paper links pulsation and magnetism","class conflict SECURE (published ZZ Ceti vs a 5.6 MG field). The single-period 1286 s signal is more simply explained by rotation (rotation period 1286 or 2572 s) than by pulsation. 3 of the other 4 magnetic stars Vincent observed were NOV","secure (conflict); pulsation claim itself weak","/tmp/fanout/magpuls/plots/sdssv_screen_top.png; /tmp/mwd/j2159/j2159_spectrum.png"
1434744751625887616,SDSS J173235.19+590533.4 (WD 1731+591),"Mukadam+2004 ZZ Ceti (1122 s 10 mma, 1248 s 22 mma); Castanheira+2009; Bognar&Sodor 2016; VSX ZZA; MWDD 2 periods","DAH in Kleinman+2013, Kepler+2013 (1.0 MG), Kepler+2019, Amorim+2023 (2.56 MG), Amorim+2026 DESI (DAH); Kalita+2024 M-R sample. Swan+2026 DESI = DA (conf 1.0); Tremblay+2011 fitted it as a normal DA","SDSS plate 366 (S/N 12; the spectrum behind the DAH labels), plate 356 (S/N 5) and DESI DR1: Balmer profiles match 3 non-magnetic DESI ZZ Cetis and 3 SDSS ZZ Cetis of the same Teff/logg within noise; no sigma components at +-20 A (1 MG) or +-51 A (2.56 MG)","nobody discusses the ZZ Ceti + DAH conflict (ADS full text: only Bognar&Sodor 2016)","published class conflict, best explained by a spurious DAH label propagated through 5 SDSS-based catalogues + DESI; B >~1 MG disfavoured, B <~0.5-1 MG not excluded","probable (label spurious)","/tmp/fanout/magpuls/plots/J1732+5905_vs_ZZCeti_DESI.png; /tmp/fanout/magpuls/plots/J1732+5905_vs_ZZCeti_SDSS.png; /tmp/fanout/magpuls/plots/J1732+5905_spectra.png"
928600654136951936,SDSS J081531.75+443710.3,"Mukadam+2004 ZZ Ceti (5 periods 258-788 s); VSX ZZA; MWDD 5 periods","Amorim+2026 DESI 'DAH:' only (uncertain); Swan+2026 DESI = DA (conf 1.0)","SDSS (S/N 9-11) and DESI (S/N ~6-7): no identifiable triplet; noisy","no discussion","DAH: label unconfirmed, most likely spurious","possible (label spurious)","/tmp/fanout/magpuls/plots/J0815+4437_spectra.png; /tmp/fanout/magpuls/plots/J0815+4437_vs_ZZCeti.png"
1524417247791633536,SDSS J130516.51+405640.8,"known DBV (Vanderbosch+2022 ref list; Corsico+2019)","Kleinman+2013 'DBH:' only","SDSS 1458-53119 (S/N 21) + BOSS 4706 (S/N 27): He I 4388/4471/4922/5876/6678 single, identical to comparison DBVs","none","spurious DBH: label","probable (label spurious)","/tmp/fanout/magpuls/plots/DBV_DBH_labels_vs_DBVs.png"
3244673691333998976,SDSS J034153.03-054905.8,"DBV (Corsico+2019)","Kleinman+2013 'DBH:' only","SDSS 462 + 2070 (S/N 10-25): normal DB lines","none","spurious DBH: label","probable (label spurious)","/tmp/fanout/magpuls/plots/DBV_DBH_labels_vs_DBVs.png"
3846920568289584640,SDSS J094749.40+015501.8,"DBV (Nitta+2009 via Vanderbosch ref list; Corsico+2019)","Kleinman+2013 'DBH' only","SDSS 480-51989 S/N 5: too noisy to test","none","untestable with SDSS; label unsupported","none","/tmp/fanout/magpuls/plots/DBV_DBH_labels_vs_DBVs.png"
1611753479314421888,SDSS J142625.70+575218.4,"hot DQV (Montgomery/Dufour 2008; Corsico+2019 DQV list); VSX ZZ","1.2 MG (Dufour+2008); MWDD ismag","not re-checked","known and discussed: Dufour+2008 'first pulsating WD with a detectable magnetic field'; Williams+2016 argue hot-DQ variability may be rotation","known class conflict (positive control of the cross-match)","secure (known)","-"
2620067523873892352,SDSS J220029.08-074121.5,"hot DQV (Corsico+2019; VSX ZZ)","DESI Amorim+26 DAH / Swan+26 DH; Corsico 'Magnetic'","not re-checked","known (Dufour+2009; Williams+2016)","known class conflict","secure (known)","-"
1059498612934930176,SDSS J103655.39+652252.2,"hot DQV (Corsico+2019; VSX ZZ)","Amorim+2023 (15.4 MG), Kepler+2019 DAH, DESI DAH/DQH; Corsico 'Magnetic'","not re-checked","known (Dunlap+2010; Williams+2016)","known class conflict; note SDSS/DESI catalogues call this hot DQ 'DAH'","secure (known)","-"
4613612951211823104,RE J0317-853 (CL Oct),"Huang+2026 ApJS 284 72 Table 1 'white dwarf oscillator' (TESS 119.051 c/d = 725.7 s, 70.8 ppt, + 2f harmonic); VSX type ZZ; SIMBAD Pu* (from Barstow+1995)","ultramassive, 200-800 MG, 725 s ROTATION period (Barstow+1995; Ferrario+1997)","not needed","rotation is textbook; Huang+2026 does not mention it","published misclassification (known magnetic rotator listed as oscillator/ZZ)","secure","-"
