source_id,name,group,G,dec,B_MG,nb5,ztf_status,ztf_n,ztf_bands,ztf_span_d,ztf_best_f,ztf_best_P_h,ztf_best_amp_pct,ztf_best_fap_baluev,ztf_best_sysflag,ztf_1to5d_P_d,ztf_1to5d_fapw,zg_best_f,zg_best_fap,zr_best_f,zr_best_fap,tess_sectors,tess_n,tess_best_P_h,tess_fap,tess_amp_pct,tess_crowdsap,tess_A90_5_60min,tess_A90_1_24h,ztf_1to5d_masked_P_d,ztf_1to5d_masked_fapw,verdict,evidence_files,perm_K,masked_best_f,masked_best_P_h,masked_fap_baluev,masked_fap_perm_emp,masked_fap_perm_gumbel,A90_5_60min,A90_1_24h,A90_1_5d,A50_5_60min,A50_1_24h,A50_1_5d
1980205739970324224,Gaia DR3 1980205739970324224,no_label_22,17.06,51.05,5.64,"1.6""/G18.8;2.3""/G18.7;3.3""/G20.5;3.8""/G20.8",OK,1866,g773+r1046+i47,2752,0.99982,24.00443,0.96,3.5e-20,f0 ~ 1 x sidereal day; f0 ~ 1 x sidereal day +- 1/yr; f0 ~ 1 x solar day; f0 ~ 1 x solar day +- 1/yr; f0 ~ 1x window peak 1.0000 c/d (W=0.94),1.0002,1.2e-22,1.00294,0.00013,0.99982,1.5e-13,56+57+84,54318,34.02668,2.5e-09,3.27,0.03;0.04;0.03,0.03,0.05,1.1538,0.065,NOT_ATTRIBUTABLE: TESS S84 39 h signal (FAP 3e-17) with CROWDSAP 0.03 -> from neighbours; J2159+5102 ZTF analysed separately,plots/1980205739970324224_ls.png;plots/1980205739970324224_tess.png,,,,,,,,,,,,
6430762242043644032,GALEX J203016.2-620507,no_label_22,18.77,-62.09,6.95,,no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,94+101+102+103+104,76423,9.66037,0.058,2.0,0.16;0.03;0.07;0.07;0.29,0.03,0.03,,,NULL: no significant period (see A90 limits),plots/6430762242043644032_tess.png,,,,,,,,,,,,
6499095244738784128,GALEX J231613.4-552927,no_label_22,16.7,-55.49,8.01,,no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,68+95+102+103+104+105,90189,14.61671,0,2.21,0.19;0.14;0.11;0.10;0.19;0.13,0.005,0.005,,,"NOT_TARGET: TESS 14.6 h signal in S95/S102-S105 is on Gaia DR3 6499095141659569280 (G 14.27, 22"" away; pixel fit dchi2 4491 in S103), already VSX ROT OID 8203637 with P 0.60621 d; target CROWDSAP 0.10-0.19",plots/6499095244738784128_tess.png,,,,,,,,,,,,
4236646794083461120,Gaia DR3 4236646794083461120,no_label_22,18.07,0.41,5.23,"3.9""/G19.5;4.9""/G21.0",OK,1415,g502+r780+i133,2741,1.00016,23.99627,0.85,0.14,f0 ~ 1 x sidereal day; f0 ~ 1 x sidereal day +- 1/yr; f0 ~ 1 x solar day; f0 ~ 1 x solar day +- 1/yr; f0 ~ 1x window peak 1.0027 c/d (W=0.97),2.4239,0.36,2.00294,0.027,276.42633,0.97,,,,,,,,,2.4238,0.37,NULL: no significant period (see A90 limits),plots/4236646794083461120_ls.png,40,269.9198,0.08892,0.65,0.683,0.67,0.015,0.015,0.015,0.01,0.01,0.01
5680077137810906624,GALEX J091732.4-185850,no_label_22,17.62,-18.98,6.19,,NO_TARGET_OID,,,,,,,,,,,,,,,62+99,28371,32.9941,1.7e-09,5.3,0.02;0.01,0.08,0.05,,,"NOT_ATTRIBUTABLE: TESS S99 33 h signal (FAP 5e-13, 11% of aperture flux) with CROWDSAP 0.013-0.018 -> from neighbours; no ZTF",plots/5680077137810906624_tess.png,,,,,,,,,,,,
4307667617377160704,Gaia DR3 4307667617377160704,no_label_22,17.89,9.23,8.45,,OK,2313,g643+r1670,2765,183.04699,0.13111,0.47,0.014,,1.5883,0.0056,1.00334,0.019,183.04698,0.06,,,,,,,,,1.5884,0.0089,"NOT_SIGNIFICANT: ZTF 7.87 min peak, Baluev FAP 0.010 but permutation FAP 0.098; zr only, stronger in shallow epochs",plots/4307667617377160704_ls.png,40,183.04698,0.13111,0.01,0.098,0.065,0.0075,0.0075,0.0075,0.005,0.0075,0.0075
4800536829945050752,GALEX J052137.6-425430,no_label_22,19.52,-42.91,6.93,,no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,,,,,,,,,,,NO_DATA: no usable ZTF or TESS light curve,,,,,,,,,,,,,
4680104332056706304,GALEX J035849.5-605233,no_label_22,18.7,-60.88,5.99,,no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,97,28558,27.80929,0.12,4.83,0.12,0.08,0.08,,,NULL: no significant period (see A90 limits),plots/4680104332056706304_tess.png,,,,,,,,,,,,
6412133010376770560,GALEX J215736.7-574324,no_label_22,18.64,-57.72,8.0,,no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,102+103+104+105,60340,0.10554,0.065,2.5,0.38;0.25;0.27;0.43,0.05,0.05,,,NULL: no significant period (see A90 limits),plots/6412133010376770560_tess.png,,,,,,,,,,,,
1199447137276626048,GALEX J155847.0+165740,no_label_22,18.28,16.96,5.5,,OK,76,g35+r41,2152,213.81528,0.11225,2.16,0.48,,2.6904,0.38,,,,,78,8581,0.11778,0.33,4.47,0.10,0.08,0.08,2.6907,0.48,NULL: no significant period (see A90 limits),plots/1199447137276626048_ls.png;plots/1199447137276626048_tess.png,40,213.81527,0.11225,0.38,0.171,0.16,0.05,0.05,0.05,0.05,0.05,0.05
