gaia_dr3,simbad_name,simbad_sptype,ra2000,dec2000,G,dist_pc,snowwhite_class,sdssv_snr,B_Ha_MG,eB_Ha,B_Hb_MG,eB_Hb,mwdd_sptype,desi_dr1,lamost_dr10,vizier_tables,vizier_magnetic_hits,ads_alias_hits,paper_source_matches,prior_magnetic,verdict
3347953532952671360,Gaia DR3 3347953532952671360,DA,86.75008,15.0305,16.27,69.0,DA,27.7,5.29,0.03,5.22,0.03,DAH,no spectrum,spectrum,79,3,1,Jewett2024;Yu2026,"MWDD DAH | VizieR: J/ApJS/245/34/catalog, V/156/dr7lrs, V/164/dr5 | Jewett2024 (source match) | Yu2026 (source match)",KNOWN_MAGNETIC
1980205739970324224,Gaia DR3 1980205739970324224,DA,329.82138,51.04923,17.06,79.0,DA,23.4,5.64,0.03,5.57,0.03,DA:,no spectrum,no spectrum,63,0,1,,none found,NO_MAGNETIC_LABEL
3786801922478222208,GALEX J111808.6-043051,DA,169.53591,-4.51435,18.56,198.0,DAH,26.3,5.0,0.03,5.0,0.02,DAH,STAR: B,no spectrum,56,0,0,Amorim2026a,Swan+2026 DESI DR1 DAH | MWDD DAH | Amorim2026a (source match),KNOWN_MAGNETIC
6430762242043644032,GALEX J203016.2-620507,DA,307.56826,-62.08543,18.77,150.0,DAH/DA,26.5,6.95,0.04,6.73,0.04,DA,no spectrum,OUT_OF_LAMOST_DEC,51,0,0,,none found,NO_MAGNETIC_LABEL
6499095244738784128,GALEX J231613.4-552927,DA,349.05639,-55.49124,16.7,62.0,DAH,60.6,8.01,0.02,7.83,0.04,DA,no spectrum,OUT_OF_LAMOST_DEC,83,0,0,,none found,NO_MAGNETIC_LABEL
2505660658943681024,GALEX J014620.5-013849,DA:,26.58594,-1.64722,18.69,348.0,DA/DAH,18.1,7.97,0.08,7.86,0.06,DAH,"GALAXY, z = 1.519",no spectrum,59,0,0,Amorim2026a,Amorim+2026 DESI DR1 DAH | Swan+2026 DESI DR1 DAH | MWDD DAH | Amorim2026a (source match),KNOWN_MAGNETIC
1350726601382165632,SDSS J175953.53+465216.7,DA,269.97308,46.87131,18.94,175.0,DA,12.7,6.22,0.11,5.98,0.06,DAH,STAR: WD,no spectrum,59,0,0,,Swan+2026 DESI DR1 DAH | MWDD DAH,KNOWN_MAGNETIC
4236646794083461120,Gaia DR3 4236646794083461120,DA,302.12975,0.40904,18.07,135.0,DA/DAH,20.6,5.23,0.12,5.39,0.06,DA,no spectrum,no spectrum,56,0,0,,none found,NO_MAGNETIC_LABEL
5680077137810906624,GALEX J091732.4-185850,DA,139.38505,-18.98065,17.62,89.0,DAH,18.8,6.19,0.05,6.2,0.05,DA:,no spectrum,OUT_OF_LAMOST_DEC,58,0,0,,none found,NO_MAGNETIC_LABEL
4307667617377160704,Gaia DR3 4307667617377160704,DA,287.09698,9.22614,17.89,84.0,DA/DAH,34.5,8.45,0.04,8.37,0.05,DA:,no spectrum,no spectrum,61,0,0,,none found,NO_MAGNETIC_LABEL
3666514280951973504,2QZ J141957.7+013002,DA,214.99062,1.50066,19.33,193.0,DA,11.5,5.07,0.04,4.92,0.04,DAH,STAR: WD,no spectrum,60,0,0,,Swan+2026 DESI DR1 DAH | MWDD DAH,KNOWN_MAGNETIC
