sdss_id,gaia_dr3_source_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_dah,p_dahe,p_dbh,p_mwd,p_cv,teff,logg,snr,telescope,run2d,v_astra,release,filetype,source,spectrum_pk,min_mjd,max_mjd,n_visits
92551890,4767225652008399104,89.14807,-56.16833,15.44061,13.10503,0.028007,DA,0.5343888,0.3396246,0,0.001835616,0,0.005522827,78812.43,9.305424,126.8995,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,1876079,9703932,60331,60400,7
74330213,3075454522492869376,132.2757,0.6230023,18.10184,5.611894,0.1262396,DAH,0.2873145,0.6273188,0,0,0,0.01179743,-9999,-9999,79.93597,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2581268,9876407,59200,59226,5
93112431,4850889278472424320,47.40981,-42.67844,16.23112,19.7192,0.0337278,DAH/DA,0.449751,0.4581148,0,0,0,0.01159486,-9999,-9999,77.27161,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,3071743,8105378,60645,60646,2
71386381,2741567445689272192,1.354071,3.644338,17.21811,10.99578,0.1879037,DA,0.6349972,0.3298637,0,0,0,0.004,7429.438,9.49,61.11372,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,137073,7536502,59905,60265,3
110869723,6499095244738784128,349.0569,-55.49118,16.7013,16.0029,0.05190375,DAH,0.3476106,0.5675185,0,0,0.003996429,0.005898715,-9999,-9999,60.58405,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,2897931,11785334,60581,60582,2
61903177,1545497424020389248,185.7048,48.1926,18.68166,7.319666,0.1610838,DA,0.5602917,0.4098364,0,0,0,0.003898714,9264.63,9.49,56.86366,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,201756,9319919,59257,60707,10
54603061,440396914222763264,44.34167,51.06214,15.26246,14.55154,0.04046958,DA/DAH,0.4829422,0.4555458,0,0,0,0.004,-9999,-9999,55.57782,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,2246859,11451757,60681,60682,2
72166485,2883030508640778752,91.88354,-39.02746,17.58157,7.156583,0.07647339,DAH,0.3455109,0.5407575,0,0,0.002,0.008788557,-9999,-9999,48.44356,lco25m,v6_2_1,0.8.1,sdss5,mwmStar,264341,8226678,60648,60699,4
60443554,1315047071103575808,253.0153,35.47097,19.28489,3.819773,0.2173622,DAH,0.3290311,0.6096616,0,0,0,0.008581227,-9999,-9999,42.52723,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,169126,9680239,59314,60119,8
76163048,3266337781252698880,46.03077,-0.4283406,17.81962,7.357624,0.1469221,DA,0.5067864,0.4280653,0,0,0,0.01704231,24218.4,9.49,40.596,apo25m,v6_2_1,0.8.1,sdss5,mwmStar,634550,7637141,59884,60609,2
