oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1455107400018821,67339375,2458427.8965806863,58427.39375,16.6495132,0.0176375788,0,zg,101.1586506,-0.762877,0.569999993,0.00700000022,20181105393738,1455,0x7,0x4,20.1299992,25.9074497,0.0228286684,-0.0548570715,7.8060375e-06,30,1.421,2
1455107400018821,67637748,2458430.8805494034,58430.3774884,16.6275406,0.0175169166,0,zg,101.158642,-0.762884,0.749000013,-0.023,20181108377488,1455,0x7,0x4,21.0499992,26.1819172,0.0151780555,-0.0475097299,3.38726318e-06,30,1.47000003,2
1455107400018821,68442756,2458438.931210804,58438.4275694,16.6374359,0.0175709855,0,zg,101.1586508,-0.7628629,0.537,-0.0399999991,20181116427558,1455,0x7,0x4,20.9899998,26.0482159,0.016367482,-0.0569546744,4.0216346e-06,30,1.21500003,2
1455107400018821,68543618,2458439.9398900806,58439.4361806,16.6453094,0.0176143255,0,zg,101.1586373,-0.7628766,0.605000019,-0.0140000004,20181117436157,1455,0x7,0x4,21.0400009,25.9489365,0.0162321534,-0.0896695107,3.99387818e-06,30,1.204,2
1455107400018821,68931167,2458443.8156387405,58443.3116782,16.6453552,0.0176145751,0,zg,101.15862,-0.7628635,0.882000029,-0.0270000007,20181121311632,1455,0x7,0x4,19.8999996,26.1549015,0.0186923686,-0.076867491,5.14056819e-06,30,1.73500001,2
1455107400018821,99452900,2458749.0279620606,58748.5290046,16.6102047,0.0174232591,0,zg,101.1586453,-0.7628637999999999,0.888999999,-0.0560000017,20190922528993,1455,0x7,0x4,19.7800007,26.0916195,0.0199730452,-0.0465722904,5.68014229e-06,30,1.329,2
1455107400018821,100451930,2458759.019161156,58758.5193056,16.6261768,0.0175094996,0,zg,101.1586472,-0.7628755,0.432999998,-0.0270000007,20191002519259,1455,0x7,0x4,21.1299992,26.1481133,0.0150210364,-0.0880402699,3.45925446e-06,30,1.26600003,2
1455107400018821,100451975,2458759.0196124977,58758.5197569,16.6404762,0.0175876841,0,zg,101.1586453,-0.7628704,0.861999989,-0.0379999988,20191002519757,1455,0x7,0x4,21.0799999,26.1624775,0.0161719229,-0.100112826,4.00837416e-06,30,1.26499999,3
1455107400018821,101343672,2458767.9373900094,58767.4367245,16.6286507,0.017522959,0,zg,101.1586757,-0.7628763,0.990999997,-0.0120000001,20191011436725,1455,0x7,0x4,19.2199993,26.0546322,0.0297295377,-0.0655155927,1.29187911e-05,30,1.58099997,2
1455107400018821,101345593,2458767.956604768,58767.4559375,16.6162567,0.0174558051,0,zg,101.158643,-0.7628597999999999,0.675999999,-0.0149999997,20191011455926,1455,0x7,0x4,19.7700005,26.104187,0.0211073514,-0.091276966,6.64727168e-06,30,1.43900001,3
1455107400018821,101444575,2458768.946509074,58768.4457523,16.6622944,0.0177087896,0,zg,101.1586279,-0.7628519,0.625999987,-0.0130000003,20191012445752,1455,0x7,0x4,19.75,26.0914116,0.0208609942,-0.0954986438,6.35622564e-06,30,1.48899996,2
1455107400018821,101444620,2458768.946960513,58768.4462037,16.5975761,0.0173558742,0,zg,101.1586402,-0.7628637999999999,0.759000003,-0.0160000008,20191012446204,1455,0x7,0x4,19.8999996,26.0913754,0.0197747778,-0.0962289348,5.76492675e-06,30,1.48500001,3
1455107400018821,138843552,2459142.9370577307,59142.4355208,16.6299782,0.0175301954,0,zg,101.1586504,-0.7628791,0.351000011,0.00700000022,20201020435521,1455,0x7,0x4,21.2700005,26.2447414,0.0160674844,-0.0712602735,3.70794737e-06,30,1.403,2
1455107400018821,138843598,2459142.9375207727,59142.4359838,16.6447868,0.0176114365,0,zg,101.158643,-0.7628781,0.654999971,-0.0340000018,20201020435984,1455,0x7,0x4,21.4599991,26.2536068,0.0166155603,-0.0766019449,3.9655506e-06,30,1.39999998,3
1455107400018821,139049008,2459144.9917975487,59144.490081,16.6468048,0.0176225845,0,zg,101.1586496,-0.7628753,0.508000016,-0.0410000011,20201022490081,1455,0x7,0x4,21.5900002,26.3119583,0.017296914,-0.0943589061,4.44051557e-06,30,1.204,2
1455107400018821,139049055,2459144.9922721907,59144.4905556,16.6433964,0.017603768,0,zg,101.1586477,-0.7628717,1.079,-0.0460000001,20201022490544,1455,0x7,0x4,21.6700001,26.3075256,0.0173473023,-0.0897586644,4.52791846e-06,30,1.20299995,3
1455107400018821,139834842,2459152.850808986,59152.3484259,16.5927734,0.0173304323,0,zg,101.1586665,-0.7628384,0.444999993,0.0,20201030348426,1455,0x7,0x4,19.1700001,26.1763935,0.045972921,-0.0482212529,3.13784112e-05,30,2.00099993,2
1455107400018821,139834888,2459152.851272024,59152.3488889,16.6172218,0.0174610056,0,zg,101.1586644,-0.7628688,1.16100001,-0.0399999991,20201030348889,1455,0x7,0x4,19.25,26.1659451,0.0360340625,-0.0481322631,1.90488172e-05,30,1.99300003,3
1455107400018821,139945515,2459153.957624514,59153.4551505,16.607399,0.0174082275,0,zg,101.1586394,-0.7628686,0.38499999,0.00100000005,20201031455104,1455,0x7,0x4,19.9599991,26.3467941,0.0188943595,-0.0819218755,5.35127492e-06,30,1.222,2
1455107400018821,139945562,2459153.9580990537,59153.455625,16.6388206,0.0175785888,0,zg,101.158634,-0.7628658999999999,0.689999998,0.00300000003,20201031455625,1455,0x7,0x4,19.8799992,26.3673573,0.0193900391,-0.109022096,5.68499127e-06,30,1.22099996,3
1455107400018821,140035229,2459154.854838667,59154.3522917,16.6162529,0.017455779,0,zg,101.1586638,-0.7628744,0.423999995,-0.00499999989,20201101352292,1455,0x7,0x4,19.3400002,26.2147007,0.0262210146,-0.0590240583,9.76985302e-06,30,1.85699999,2
1455107400018821,140035276,2459154.855313208,59154.3527662,16.600359,0.0173706654,0,zg,101.1586398,-0.7628757999999999,0.273000002,-0.0109999999,20201101352755,1455,0x7,0x4,19.3999996,26.2097301,0.0253392924,-0.0544375405,9.26349821e-06,30,1.85000002,3
1455107400018821,140945322,2459163.9564815667,59163.4532292,16.6252632,0.0175045375,0,zg,101.1586472,-0.7628542999999999,1.329,0.00100000005,20201110453229,1455,0x7,0x4,20.8899994,26.3459377,0.0170369707,-0.0944193378,4.38437337e-06,30,1.18799996,2
1455107400018821,140945369,2459163.956944501,59163.4536921,16.6381683,0.0175750013,0,zg,101.1586462,-0.7628557,0.788999975,0.0280000009,20201110453692,1455,0x7,0x4,21.0300007,26.3409004,0.0150104091,-0.0828699246,3.44137561e-06,30,1.18700004,3
1455107400018821,141246624,2459166.9697197364,59166.46625,16.6412411,0.0175918955,0,zg,101.158642,-0.7628696999999999,1.26800001,-0.0390000008,20201113466250,1455,0x7,0x4,21.4400005,26.3378468,0.0153613864,-0.0992038175,3.5583264e-06,30,1.18299997,2
1455107400018821,141246672,2459166.970194269,59166.4667245,16.6158104,0.0174533967,0,zg,101.1586487,-0.7628711999999999,1.22399998,-0.0250000004,20201113466725,1455,0x7,0x4,21.5100002,26.3282928,0.0153617905,-0.0892929584,3.53539394e-06,30,1.18299997,3
1455107400018821,141339392,2459167.8974584285,59167.3939236,16.4293594,0.0165223032,0,zg,101.1586618,-0.7629652999999998,0.972000003,0.0179999992,20201114393924,1455,0x7,0x4,19.7700005,26.3169975,0.0280393679,-0.0620993376,1.1723735e-05,30,1.28299999,2
1455107400018821,141339439,2459167.897932965,59167.3943981,16.636137,0.0175638609,0,zg,101.1586547,-0.7628787999999999,0.541000009,-0.00300000003,20201114394387,1455,0x7,0x4,20.3500004,26.3117542,0.0197083168,-0.0555390343,5.76669618e-06,30,1.28199995,3
1455107400018821,141536946,2459169.873138099,59169.3694676,16.6270752,0.0175143853,0,zg,101.1586367,-0.7628743,0.699000001,-0.0299999993,20201116369468,1455,0x7,0x4,21.1299992,26.3017387,0.016115794,-0.0677420422,3.77289575e-06,30,1.36099994,2
1455107400018821,141536993,2459169.87360113,59169.3699306,16.6265259,0.0175113995,0,zg,101.1586447,-0.7628703,1.04700005,-0.0790000036,20201116369931,1455,0x7,0x4,21.1499996,26.302187,0.0166584495,-0.0638797358,4.13686485e-06,30,1.35800004,3
1455107400018821,142525989,2459179.7641790644,59179.2598958,16.6285133,0.0175222103,0,zg,101.1586577,-0.7629173999999999,0.656000018,0.0,20201126259896,1455,0x7,0x4,19.2399998,26.105402,0.0280500203,-0.0396102779,1.13542956e-05,30,2.29999995,2
1455107400018821,142526035,2459179.764642094,59179.2603588,16.643364,0.0176035911,0,zg,101.1586385,-0.7628658999999999,1.18099999,-0.0289999992,20201126260359,1455,0x7,0x4,19.1599998,26.1063366,0.0296533499,-0.0422899351,1.24868156e-05,30,2.28900003,3
1455107400018821,144637326,2459200.878423683,59200.3732639,16.610672,0.0174257681,0,zg,101.1586501,-0.7628713,0.495999992,-0.0140000004,20201217373252,1455,0x7,0x4,20.6800003,25.8921852,0.0171500221,-0.0598878637,4.33308605e-06,30,1.18299997,2
1455107400018821,144637373,2459200.878898195,59200.3737384,16.6260262,0.0175086819,0,zg,101.1586524,-0.7628759,0.175999999,-0.0199999996,20201217373738,1455,0x7,0x4,20.7099991,25.8716145,0.0162375178,-0.0624452196,3.75787658e-06,30,1.18299997,3
1455107400018821,145027072,2459204.7759782528,59204.2707292,16.6319847,0.017541144,0,zg,101.1586416,-0.7628799,0.536000013,-0.0189999994,20201221270729,1455,0x7,0x4,20.6399994,26.2856464,0.0159084834,-0.0697993413,3.74562183e-06,30,1.37699997,2
1455107400018821,145027120,2459204.776452763,59204.2712037,16.6243038,0.0174993295,0,zg,101.1586496,-0.7628719999999999,0.375,0.00499999989,20201221271204,1455,0x7,0x4,20.7700005,26.2849293,0.016029885,-0.0691567212,3.74948354e-06,30,1.37399995,3
1455107400018821,145635325,2459210.8585927133,59210.3532523,16.6369743,0.0175684541,0,zg,101.1586571,-0.7628698,0.680000007,-0.0170000009,20201227353252,1455,0x7,0x4,19.8700008,26.3295822,0.0196302067,-0.0690199137,5.67294956e-06,30,1.18599999,2
1455107400018821,145636760,2459210.8729447564,59210.3676042,16.6479454,0.0176288988,0,zg,101.1586629,-0.7628690999999999,0.653999984,-0.0170000009,20201227367512,1455,0x7,0x4,19.6200008,26.3216515,0.0216293223,-0.064645946,6.77936214e-06,30,1.199,3
1455107400018821,146133011,2459215.8354868223,59215.3301157,16.6436157,0.0176049769,0,zg,101.1586063,-0.7628631999999999,0.949000001,0.0219999999,20210101330116,1455,0x7,0x4,18.5699997,26.0682774,0.0419763438,-0.0577332228,2.72100006e-05,30,1.18200004,2
1455107400018821,146133059,2459215.835961424,59215.3305903,16.5817795,0.0172725748,0,zg,101.1586729,-0.7628557999999999,1.13800001,-0.0199999996,20210101330590,1455,0x7,0x4,18.4500008,26.07514,0.0442059562,-0.0615655072,3.35184995e-05,30,1.18200004,3
1455107400018821,146234798,2459216.8533585942,59216.3479861,16.6615829,0.0177048035,0,zg,101.158642,-0.7628593999999999,0.683000028,0.0149999997,20210102347975,1455,0x7,0x4,20.0300007,26.3293209,0.0218178816,-0.081438072,7.07086747e-06,30,1.19500005,2
1455107400018821,146234844,2459216.8538215943,59216.3484491,16.6289406,0.0175245423,0,zg,101.1586555,-0.7628683,0.439999998,-0.0120000001,20210102348449,1455,0x7,0x4,20.1000004,26.3345184,0.019351488,-0.078228116,5.45962484e-06,30,1.19599998,3
1455107400018821,212547755,2459879.9796586973,59879.4775579,16.6486778,0.0176329501,0,zg,101.1586523,-0.7628778,0.418000013,-0.00400000019,20221027477558,1455,0x7,0x4,20.9099998,26.3092365,0.0179819372,-0.090953812,4.80279596e-06,30,1.204,2
1455107400018821,212747237,2459881.974641112,59881.4723727,16.6283169,0.0175211411,0,zg,101.158664,-0.7628694999999999,0.971000016,-0.00499999989,20221029472361,1455,0x7,0x4,21.2000008,26.3247261,0.0161922332,-0.0961589813,3.80995903e-06,30,1.204,2
