target,archive,night_UT,mjd_int,pred_ra,pred_dec,pred_V,SMAA_3sig_as,SMIA_3sig_as,search_rad_as,n_obj_in_cone,outcome
2001 KN76,NSC_DR2(DECam),2013-03-11,56362,228.802187,-20.82706,22.56,9.08,2.05,15.0,,"CANDIDATE: 2 same-night detections, sep 0.66-0.71"" (<0.3sigma cross-track), r~23.19, id 133189_17045"
2001 KN76,NSC_DR2(DECam),2014-04-23,56770,229.718478,-21.097164,22.45,11.23,2.32,15.0,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2014-06-28,56836,228.431053,-20.757926,22.52,10.7,2.35,15.0,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2014-06-29,56837,228.41753,-20.753632,22.52,10.7,2.35,15.0,,"REJECT (single-frame ndet=1 at sep 5.5""; no same-night companion; fails chain rule 2)"
2001 KN76,NSC_DR2(DECam),2015-05-20,57162,230.724205,-21.35355,22.39,13.5,2.56,17.5,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2015-05-21,57163,230.702686,-21.34824,22.4,13.49,2.56,17.5,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2015-05-22,57164,230.681223,-21.34292,22.4,13.48,2.56,17.5,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2015-05-23,57165,230.659822,-21.33759,22.41,13.47,2.56,17.5,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2015-05-24,57166,230.638492,-21.332254,22.41,13.46,2.56,17.5,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2015-07-15,57218,229.796844,-21.092516,22.55,12.99,2.56,16.9,,"CANDIDATE: 2 same-night detections, sep 1.07"" (<0.3sigma cross-track), r~23.21, id 133703_14601"
2001 KN76,NSC_DR2(DECam),2017-01-28,57781,234.893537,-22.224582,22.6,18.84,2.84,24.5,,"REJECT (no valid r-mag [99.99], sep 7.8""; flagged photometry, not a clean source)"
2001 KN76,NSC_DR2(DECam),2017-03-12,57824,235.040446,-22.306154,22.56,19.52,2.92,25.4,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2017-05-02,57875,234.283587,-22.180147,22.43,19.42,2.99,25.2,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2017-08-17,57982,232.830734,-21.787095,22.59,18.31,2.98,23.8,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2019-03-01,58543,238.250107,-22.951382,22.57,25.98,3.32,33.8,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2019-05-16,58619,237.218506,-22.802559,22.38,25.95,3.44,33.7,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2019-06-07,58641,236.74026,-22.702053,22.43,25.58,3.44,33.3,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2021-06-07,59372,239.98272,-23.329322,22.41,33.14,3.88,43.1,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2021-10-16,59503,239.96804,-23.205556,22.57,32.42,3.78,42.1,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2022-01-09,59588,242.365563,-23.63766,22.58,35.63,3.84,46.3,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2023-01-10,59954,243.95929,-23.894568,22.57,39.74,4.04,51.7,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2023-04-19,60053,244.298063,-24.047259,22.48,42.38,4.25,55.1,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2023-07-19,60144,242.519753,-23.739885,22.52,40.58,4.28,52.8,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2(DECam),2023-07-21,60146,242.49643,-23.733997,22.52,40.53,4.28,52.7,,null (no on-night single-epoch source in ellipse)
2001 KN76,NSC_DR2 NEG-CONTROL +1deg Dec,2013-03-11,56362,229.801217+1degDec,,,,,15.0,,NEG-CTRL: 0 on-night single-epoch sources in ellipse (TRUE=1). Clean.
2001 KN76,NSC_DR2 NEG-CONTROL +1deg Dec,2015-07-15,57218,229.797647,-20.092806(+1deg),,,,16.9,,NEG-CTRL: 0 on-night single-epoch sources in ellipse (TRUE=1). Clean.
