archive,MJD_night,decimal_year,filters,approx_depth,pred_RA_deg,pred_Dec_deg,pred_V,SMAA_3sig_as,SMIA_3sig_as,box_diam_as,n_cat_sources,n_in_3sigma,n_nonstationary,chain_result,outcome_note
PS1_DR2,55088,2009.7,grizy,PS1 3pi ~21.5-22,3.40481,2.80818,21.8,1.23,0.75,7.4,3,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55089,2009.7,grizy,PS1 3pi ~21.5-22,3.38409,2.79923,21.79,1.24,0.75,7.4,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55103,2009.74,grizy,PS1 3pi ~21.5-22,3.09556,2.67337,21.75,1.35,0.76,8.1,2,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55104,2009.75,grizy,PS1 3pi ~21.5-22,3.07408,2.66392,21.75,1.36,0.76,8.2,3,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55105,2009.75,grizy,PS1 3pi ~21.5-22,3.05522,2.65559,21.76,1.37,0.76,8.2,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55399,2010.55,grizy,PS1 3pi ~21.5-22,5.70114,3.74048,21.95,2.37,0.86,14.2,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55449,2010.69,grizy,PS1 3pi ~21.5-22,5.01741,3.45947,21.82,2.09,0.9,12.6,3,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55452,2010.7,grizy,PS1 3pi ~21.5-22,4.95924,3.43453,21.81,2.08,0.9,12.5,4,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55478,2010.77,grizy,PS1 3pi ~21.5-22,4.42496,3.20141,21.79,2.14,0.91,12.9,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55483,2010.78,grizy,PS1 3pi ~21.5-22,4.32421,3.15661,21.81,2.18,0.91,13.1,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55501,2010.83,grizy,PS1 3pi ~21.5-22,3.99489,3.00757,21.87,2.36,0.92,14.2,8,3,3,NULL,in3sig=3; nonstationary=3; NO coherent moving track
PS1_DR2,55555,2010.98,grizy,PS1 3pi ~21.5-22,3.60974,2.80728,21.98,2.76,0.92,16.5,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55557,2010.99,grizy,PS1 3pi ~21.5-22,3.61812,2.80951,21.98,2.76,0.92,16.5,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55743,2011.5,grizy,PS1 3pi ~21.5-22,7.22269,4.33945,21.98,3.44,1.0,20.6,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55751,2011.52,grizy,PS1 3pi ~21.5-22,7.23775,4.34937,21.97,3.47,1.01,20.8,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55850,2011.79,grizy,PS1 3pi ~21.5-22,5.81443,3.75317,21.81,3.12,1.07,18.7,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55853,2011.8,grizy,PS1 3pi ~21.5-22,5.75711,3.72761,21.82,3.13,1.07,18.8,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55859,2011.81,grizy,PS1 3pi ~21.5-22,5.64372,3.67673,21.84,3.15,1.08,18.9,1,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
PS1_DR2,55878,2011.87,grizy,PS1 3pi ~21.5-22,5.33496,3.53506,21.9,3.25,1.08,19.5,0,0,0,NULL,in3sig=0; nonstationary=0; NO coherent moving track
