night,mjd,obs_ra,obs_dec,obs_mag,filter,resid_as,smaa_3s,smia_3s,pred_V,class_star,fwhm,exposure
2013,56353.323833,246.1295,-26.251832,21.63,r,0.413,0.82,0.27,21.61,0.61,2.84,tu2037227
2013,56353.325326,246.129491,-26.251832,21.57,r,0.33,0.82,0.27,21.61,0.73,2.71,tu2037424
2013,56784.270129,246.129255,-26.251948,21.72,i,23543.597,1.44,0.34,21.54,0.72,1.25,c4d_140507_063102_ooi_i_v1
2013,56814.126156,246.129247,-26.25195,23.09,r,19566.335,1.31,0.34,21.41,0.37,0.85,c4d_140606_030412_ooi_r_v1
2013,57193.220878,246.129244,-26.251946,22.99,r,41424.63,2.08,0.39,21.63,0.5,1.69,c4d_150620_052121_ooi_r_v2
2013,57889.24069,246.129254,-26.251962,20.92,Y,87810.191,4.24,0.44,22.09,0.82,1.07,c4d_170516_054959_ooi_Y_v1
2013,57890.204587,246.129272,-26.251971,21.24,Y,87710.867,4.24,0.44,22.09,0.75,0.97,c4d_170517_045800_ooi_Y_v1
2013,58233.428521,246.12925,-26.251961,21.21,z,107273.056,5.28,0.46,22.34,0.92,1.28,c4d_180425_101704_ooi_z_v1
2013,58235.111431,246.129223,-26.251952,21.02,z,107214.092,5.29,0.46,22.34,0.93,1.36,c4d_180427_024027_ooi_z_v1
2013,58235.11869,246.129269,-26.251966,21.14,z,107213.678,5.29,0.46,22.34,0.97,1.09,c4d_180427_025054_ooi_z_v1
2014a,56835.075645,249.498565,-29.939206,21.83,VR,0.088,1.2,0.34,21.54,0.69,2.92,c4d_140627_015128_ooi_VR_v1
2014b,56837.089792,249.396348,-29.930352,21.6,VR,0.143,1.19,0.34,21.55,0.6,1.97,c4d_140629_021153_ooi_VR_v1
2015a,57139.229396,260.30699,-32.379144,21.53,VR,0.154,2.29,0.37,21.79,0.43,2.11,c4d_150427_053222_ooi_VR_v1
2015a,57139.232968,260.306891,-32.379149,21.66,VR,0.029,2.29,0.37,21.79,0.59,1.87,c4d_150427_053734_ooi_VR_v1
