mjd,ra,dec,V
56380,246.09568,-26.56291,21.52
56385,245.98973,-26.60533,21.5
56390,245.85463,-26.64238,21.48
56395,245.69193,-26.67396,21.46
56400,245.50371,-26.7,21.44
56405,245.29231,-26.72051,21.41
56410,245.06028,-26.73556,21.39
56415,244.81013,-26.74525,21.36
56420,244.54462,-26.74972,21.33
56425,244.26688,-26.74918,21.3
56430,243.98032,-26.74392,21.27
56435,243.68836,-26.73434,21.23
56440,243.3943,-26.72085,21.22
56445,243.10129,-26.70393,21.24
56450,242.81261,-26.68408,21.28
56455,242.53167,-26.66187,21.32
56460,242.26175,-26.63794,21.35
56465,242.00584,-26.61295,21.38
56470,241.76656,-26.58755,21.41
56475,241.5463,-26.56236,21.44
56480,241.3475,-26.53803,21.47
56485,241.17239,-26.51519,21.5
56490,241.02289,-26.49448,21.53
56495,240.90045,-26.47648,21.55
56500,240.80615,-26.46167,21.58
56505,240.74097,-26.45051,21.6
56510,240.70582,-26.44342,21.62
56515,240.70133,-26.44077,21.64
56520,240.72777,-26.4429,21.66
56525,240.78501,-26.45001,21.68
56530,240.87271,-26.46227,21.69
56535,240.99062,-26.47978,21.7
56540,241.13833,-26.50261,21.72
56545,241.31518,-26.53081,21.73
56550,241.5202,-26.56432,21.74
56555,241.75217,-26.60306,21.74
